drugName	score	gene_name	expert	Entrez
RGB-286638	0.38	CDK7	yes	1022
BMS-387032	0.82	CDK7	yes	1022
AT-7519	0.12	CDK7	yes	1022
ZOTIRACICLIB	0.22	CDK7	yes	1022
ALVOCIDIB	0.82	CDK7	yes	1022
RONICICLIB	0.12	CDK7	yes	1022
PHA-793887	0.12	CDK7	yes	1022
AZD-5438	0.12	CDK7	yes	1022
SELICICLIB	1.02	CDK7	yes	1022
ELOCALCITOL	0.42	VDR	yes	7421
INECALCITOL	0.55	VDR	yes	7421
ERGOCALCIFEROL	0.45	VDR	yes	7421
CALCITRIOL	0.47	VDR	yes	7421
CALCIFEDIOL	0.18	VDR	yes	7421
CHOLECALCIFEROL	0.07	VDR	yes	7421
1.ALPHA.-HYDROXYVITAMIN D5	0.07	VDR	yes	7421
DIHYDROTACHYSTEROL	1.25	VDR	yes	7421
DOXERCALCIFEROL	0.69	VDR	yes	7421
CALCIPOTRIENE	0.09	VDR	yes	7421
PARICALCITOL	0.76	VDR	yes	7421
SEOCALCITOL	0.69	VDR	yes	7421
PEFCALCITOL	0.07	VDR	yes	7421
LUNACALCIPOL	0.07	VDR	yes	7421
ILX23-7553	0.28	VDR	yes	7421
DP001	0.28	VDR	yes	7421
BECOCALCIDIOL	0.28	VDR	yes	7421
ELDECALCITOL	0.14	VDR	yes	7421
CALCIPOTRIOL	2.91	VDR	yes	7421
ENILURACIL	10.63	DPYD	yes	1806
TEGAFUR	136.44	DPYD	yes	1806
GIMERACIL	7.09	DPYD	yes	1806
FLUOROURACIL	0.74	DPYD	yes	1806
CAPECITABINE	1.18	DPYD	yes	1806
LEUCOVORIN	1.52	DPYD	yes	1806
CHENODIOL	1.61	NR1H4	yes	9971
URSODIOL	0.31	NR1H4	yes	9971
TUROFEXORATE ISOPROPYL	0.94	NR1H4	yes	9971
OBETICHOLIC ACID	4.69	NR1H4	yes	9971
PX-102	0.94	NR1H4	yes	9971
TRAFERMIN	0.63	FGFR2	yes	2263
MUPARFOSTAT	0.13	FGFR2	yes	2263
PEMIGATINIB	2.08	FGFR2	yes	2263
ORANTINIB	0.13	FGFR2	yes	2263
ENMD-981693	0.05	FGFR2	yes	2263
RG-1530	0.01	FGFR2	yes	2263
ENMD-2076	0.1	FGFR2	yes	2263
XL-999	0.11	FGFR2	yes	2263
FP-1039	0.75	FGFR2	yes	2263
FULVESTRANT	0.18	FGFR2	yes	2263
DERAZANTINIB	1.56	FGFR2	yes	2263
BRIVANIB	0.57	FGFR2	yes	2263
BRIVANIB ALANINATE	0.18	FGFR2	yes	2263
FUTIBATINIB	1.25	FGFR2	yes	2263
CP-459632	0.16	FGFR2	yes	2263
THALIDOMIDE	0.11	FGFR2	yes	2263
AZD-4547	0.31	FGFR2	yes	2263
NINTEDANIB	0.51	FGFR2	yes	2263
LUCITANIB	0.1	FGFR2	yes	2263
RABEPRAZOLE SODIUM	0.15	FGFR2	yes	2263
LENVATINIB	0.21	FGFR2	yes	2263
INFIGRATINIB	1.03	FGFR2	yes	2263
PALIFERMIN	2.71	FGFR2	yes	2263
PONATINIB	0.69	FGFR2	yes	2263
ROGARATINIB	1	FGFR2	yes	2263
PAZOPANIB	0.12	FGFR2	yes	2263
TG100-801	0.08	FGFR2	yes	2263
REGORAFENIB	0.09	FGFR2	yes	2263
XL-228	0.16	FGFR2	yes	2263
ERDAFITINIB	1.41	FGFR2	yes	2263
NINTEDANIB ESYLATE	0.14	FGFR2	yes	2263
DOVITINIB	0.24	FGFR2	yes	2263
MASITINIB	0.09	FGFR2	yes	2263
LY-2874455	0.75	FGFR2	yes	2263
AZD9056	11.6	P2RX7	yes	5027
EVT401	11.6	P2RX7	yes	5027
CE-224535	11.6	P2RX7	yes	5027
GSK1482160	17.4	P2RX7	yes	5027
DANUSERTIB	1.28	AURKA	yes	6790
PF-03814735	1.91	AURKA	yes	6790
ENMD-981693	0.05	AURKA	yes	6790
ILORASERTIB	0.05	AURKA	yes	6790
RG-1530	0.04	AURKA	yes	6790
ENMD-2076	0.37	AURKA	yes	6790
MLN-8054	0.24	AURKA	yes	6790
CISPLATIN	0.03	AURKA	yes	6790
MK-5108	2.13	AURKA	yes	6790
CENISERTIB	0.04	AURKA	yes	6790
MK-6592	0.43	AURKA	yes	6790
AT-9283	0.59	AURKA	yes	6790
TTP-607	0.43	AURKA	yes	6790
KW-2449	0.51	AURKA	yes	6790
SNS-314	0.21	AURKA	yes	6790
TAS-119	2.55	AURKA	yes	6790
ALISERTIB	0.24	AURKA	yes	6790
TOZASERTIB	0.13	AURKA	yes	6790
PACLITAXEL	0.03	AURKA	yes	6790
TAMOXIFEN	0.04	AURKA	yes	6790
FLUOROURACIL	0.02	AURKA	yes	6790
AMG-900	1.28	AURKA	yes	6790
XL-228	0.08	AURKA	yes	6790
CYC-116	0.04	AURKA	yes	6790
JI-101	0.27	PDGFRB	yes	5159
CM-082	0.2	PDGFRB	yes	5159
CEDIRANIB	0.07	PDGFRB	yes	5159
AXITINIB	0.17	PDGFRB	yes	5159
ORANTINIB	0.24	PDGFRB	yes	5159
MOTESANIB	0.4	PDGFRB	yes	5159
PUQUITINIB	0.07	PDGFRB	yes	5159
FAMITINIB	0.35	PDGFRB	yes	5159
ENMD-981693	0.03	PDGFRB	yes	5159
ILORASERTIB	0.02	PDGFRB	yes	5159
RG-1530	0.02	PDGFRB	yes	5159
XL-999	0.07	PDGFRB	yes	5159
PAZOPANIB HYDROCHLORIDE	0.07	PDGFRB	yes	5159
TAK-593	0.32	PDGFRB	yes	5159
BECAPLERMIN	2.02	PDGFRB	yes	5159
CRENOLANIB	0.2	PDGFRB	yes	5159
QUIZARTINIB	0.18	PDGFRB	yes	5159
SUNITINIB MALATE	0.09	PDGFRB	yes	5159
VATALANIB	0.31	PDGFRB	yes	5159
TELATINIB	0.54	PDGFRB	yes	5159
NILOTINIB	0.19	PDGFRB	yes	5159
XL-820	0.27	PDGFRB	yes	5159
X-82	0.32	PDGFRB	yes	5159
NINTEDANIB	0.26	PDGFRB	yes	5159
AMUVATINIB	0.12	PDGFRB	yes	5159
PD-0166285	0.03	PDGFRB	yes	5159
MIDOSTAURIN	0.06	PDGFRB	yes	5159
FORETINIB	0.06	PDGFRB	yes	5159
CDP-860	0.81	PDGFRB	yes	5159
IMATINIB MESYLATE	0.08	PDGFRB	yes	5159
SORAFENIB TOSYLATE	0.05	PDGFRB	yes	5159
SU-014813	0.2	PDGFRB	yes	5159
LENVATINIB	0.07	PDGFRB	yes	5159
TANDUTINIB	0.32	PDGFRB	yes	5159
REBASTINIB	0.32	PDGFRB	yes	5159
PONATINIB	0.12	PDGFRB	yes	5159
PAZOPANIB	0.12	PDGFRB	yes	5159
TG100-801	0.05	PDGFRB	yes	5159
REGORAFENIB	0.12	PDGFRB	yes	5159
IMATINIB	0.23	PDGFRB	yes	5159
SUNITINIB	0.26	PDGFRB	yes	5159
SORAFENIB	0.13	PDGFRB	yes	5159
NINTEDANIB ESYLATE	0.09	PDGFRB	yes	5159
ANLOTINIB	0.16	PDGFRB	yes	5159
DASATINIB	0.12	PDGFRB	yes	5159
DOVITINIB	0.04	PDGFRB	yes	5159
LINIFANIB	0.06	PDGFRB	yes	5159
MASITINIB	0.23	PDGFRB	yes	5159
PEGPLERANIB SODIUM	0.13	PDGFRB	yes	5159
CEP-2563	0.05	PDGFRB	yes	5159
BAFETINIB	0.4	PDGFRB	yes	5159
MARIMASTAT	3.38	MMP2	yes	4313
BEVACIZUMAB	0.14	MMP2	yes	4313
S-3304	1.18	MMP2	yes	4313
PRINOMASTAT	0.68	MMP2	yes	4313
INCYCLINIDE	2.36	MMP2	yes	4313
BUTORPHANOL TARTRATE	0.36	OPRK1	yes	4986
NALOXONE	0.33	OPRK1	yes	4986
CODEINE PHOSPHATE	0.24	OPRK1	yes	4986
CODEINE POLISTIREX	0.24	OPRK1	yes	4986
LEVALLORPHAN TARTRATE	0.36	OPRK1	yes	4986
ANILERIDINE PHOSPHATE	0.36	OPRK1	yes	4986
PENTAZOCINE	0.72	OPRK1	yes	4986
MEPERIDINE	1.08	OPRK1	yes	4986
DEZOCINE	2.87	OPRK1	yes	4986
CEBRANOPADOL	0.36	OPRK1	yes	4986
BENZHYDROCODONE HYDROCHLORIDE	0.24	OPRK1	yes	4986
NALBUPHINE	1.79	OPRK1	yes	4986
CODEINE SULFATE	0.24	OPRK1	yes	4986
NALMEFENE HYDROCHLORIDE	0.24	OPRK1	yes	4986
DIFELIKEFALIN	2.15	OPRK1	yes	4986
NALTREXONE	0.81	OPRK1	yes	4986
PROPOXYPHENE	0.72	OPRK1	yes	4986
AXOMADOL	0.24	OPRK1	yes	4986
NALBUPHINE HYDROCHLORIDE	0.24	OPRK1	yes	4986
BUPRENORPHINE HYDROCHLORIDE	0.24	OPRK1	yes	4986
SUFENTANIL	0.31	OPRK1	yes	4986
BUTORPHANOL	1.33	OPRK1	yes	4986
BUPRENORPHINE	0.43	OPRK1	yes	4986
ANILERIDINE HYDROCHLORIDE	0.36	OPRK1	yes	4986
MORPHINE	0.23	OPRK1	yes	4986
HYDROCODONE POLISTIREX	0.24	OPRK1	yes	4986
HYDROCODONE	0.29	OPRK1	yes	4986
NALTREXONE HYDROCHLORIDE	0.48	OPRK1	yes	4986
HYDROMORPHONE	0.86	OPRK1	yes	4986
ASIMADOLINE	1.43	OPRK1	yes	4986
OXYMORPHONE HYDROCHLORIDE	0.24	OPRK1	yes	4986
NALOXONE HYDROCHLORIDE	0.36	OPRK1	yes	4986
CODEINE	0.63	OPRK1	yes	4986
HYDROCODONE BITARTRATE	0.24	OPRK1	yes	4986
COCAINE	0.07	OPRK1	yes	4986
TRAMADOL	0.2	OPRK1	yes	4986
NALFURAFINE HYDROCHLORIDE	0.72	OPRK1	yes	4986
NALMEFENE	0.96	OPRK1	yes	4986
OXYCODONE	0.56	OPRK1	yes	4986
ODELEPRAN	0.24	OPRK1	yes	4986
TRIAPINE	2.13	NR2E3	yes	10002
CORDYCEPIN	5.32	DNTT	yes	1791
MLN-2480	2.36	ARAF	yes	369
XL-281	2.36	ARAF	yes	369
TRAMETINIB	0.32	ARAF	yes	369
LY-3009120	2.36	ARAF	yes	369
REGORAFENIB	0.25	ARAF	yes	369
ENCORAFENIB	0.89	ARAF	yes	369
SORAFENIB	0.75	ARAF	yes	369
OMIPALISIB	0.19	PIK3R2	yes	5296
COPANLISIB	0.3	PIK3R2	yes	5296
VEMURAFENIB	0.12	PIK3R2	yes	5296
TASELISIB	0.16	PIK3R2	yes	5296
GEDATOLISIB	0.18	PIK3R2	yes	5296
APITOLISIB	0.15	PIK3R2	yes	5296
PUQUITINIB	0.16	PIK3R2	yes	5296
SONOLISIB	0.35	PIK3R2	yes	5296
SAMOTOLISIB	0.18	PIK3R2	yes	5296
PI-103	0.09	PIK3R2	yes	5296
GSK-1059615	0.22	PIK3R2	yes	5296
PILARALISIB	0.18	PIK3R2	yes	5296
ALPELISIB	0.11	PIK3R2	yes	5296
VS-5584	0.15	PIK3R2	yes	5296
DS-7423	0.15	PIK3R2	yes	5296
PF-04691502	0.21	PIK3R2	yes	5296
PWT-33587	0.2	PIK3R2	yes	5296
WX-037	0.22	PIK3R2	yes	5296
BUPARLISIB	0.15	PIK3R2	yes	5296
RG-7666	0.2	PIK3R2	yes	5296
SF-1126	0.2	PIK3R2	yes	5296
ZSTK-474	0.22	PIK3R2	yes	5296
QUERCETIN	0.02	PIK3R2	yes	5296
PA-799	0.15	PIK3R2	yes	5296
INFIGRATINIB	0.08	PIK3R2	yes	5296
VOXTALISIB	0.2	PIK3R2	yes	5296
BGT-226	0.2	PIK3R2	yes	5296
GSK-2636771	0.11	PIK3R2	yes	5296
PICTILISIB	0.12	PIK3R2	yes	5296
AZD-6482	0.15	PIK3R2	yes	5296
RECILISIB	0.22	PIK3R2	yes	5296
DACTOLISIB	0.12	PIK3R2	yes	5296
PANULISIB	0.15	PIK3R2	yes	5296
BENTAMAPIMOD	0.51	MAPK8	yes	5599
BRIMAPITIDE, C-TERMINAL ACID	1.01	MAPK8	yes	5599
TANZISERTIB	1.52	MAPK8	yes	5599
CC-401	1.01	MAPK8	yes	5599
ALICAFORSEN	25.52	ICAM1	yes	3383
BI-505	19.14	ICAM1	yes	3383
HYALURONAN	4.25	ICAM1	yes	3383
ENLIMOMAB PEGOL	12.76	ICAM1	yes	3383
PANTOPRAZOLE	4.56	ATP4A	yes	495
ESOMEPRAZOLE	4.05	ATP4A	yes	495
ESOMEPRAZOLE SODIUM	2.28	ATP4A	yes	495
DEXLANSOPRAZOLE	4.56	ATP4A	yes	495
LANSOPRAZOLE	1.05	ATP4A	yes	495
OMEPRAZOLE	1.74	ATP4A	yes	495
ESOMEPRAZOLE MAGNESIUM	2.28	ATP4A	yes	495
PANTOPRAZOLE SODIUM	1.52	ATP4A	yes	495
OMEPRAZOLE MAGNESIUM	1.14	ATP4A	yes	495
RABEPRAZOLE SODIUM	0.27	ATP4A	yes	495
RABEPRAZOLE	2.28	ATP4A	yes	495
ESOMEPRAZOLE STRONTIUM	2.28	ATP4A	yes	495
BENZQUINAMIDE	0.44	CHRM5	yes	1133
LEVOMEPROMAZINE	0.28	CHRM5	yes	1133
ACLIDINIUM	0.2	CHRM5	yes	1133
DAROTROPIUM BROMIDE	0.2	CHRM5	yes	1133
PROMETHAZINE	0.2	CHRM5	yes	1133
PROPIOMAZINE	0.28	CHRM5	yes	1133
DOXEPIN	0.22	CHRM5	yes	1133
TOLTERODINE	0.3	CHRM5	yes	1133
ATROPINE	0.66	CHRM5	yes	1133
OLANZAPINE	0.06	CHRM5	yes	1133
METHIXENE	1	CHRM5	yes	1133
SOLIFENACIN	0.6	CHRM5	yes	1133
THIETHYLPERAZINE	0.18	CHRM5	yes	1133
AFACIFENACIN	0.14	CHRM5	yes	1133
PROMAZINE	0.33	CHRM5	yes	1133
VANUTIDE CRIDIFICAR	2.06	APP	yes	351
PONEZUMAB	6.17	APP	yes	351
CRENEZUMAB	6.17	APP	yes	351
PHENSERINE, (+)-	0.69	APP	yes	351
CAPROSPINOL	2.06	APP	yes	351
BAPINEUZUMAB	6.17	APP	yes	351
BAN2401	6.17	APP	yes	351
SOLANEZUMAB	6.17	APP	yes	351
GANTENERUMAB	6.17	APP	yes	351
GSK933776	6.17	APP	yes	351
ADUCANUMAB	2.06	APP	yes	351
SCYLLITOL	4.12	APP	yes	351
CETUXIMAB	0.01	IDH1	yes	3417
OLAPARIB	0.02	IDH1	yes	3417
VENETOCLAX	0.08	IDH1	yes	3417
IVOSIDENIB	2.15	IDH1	yes	3417
DASATINIB	0.01	IDH1	yes	3417
TESMILIFENE	0.01	CYP3A4	yes	1576
VORAPAXAR	5.32	F2R	yes	2149
ATOPAXAR	11.96	F2R	yes	2149
VORAPAXAR SULFATE	3.99	F2R	yes	2149
RUSALATIDE	1.33	F2R	yes	2149
RIGOSERTIB SODIUM	3.99	F2R	yes	2149
SYL-1001	1.52	TRPV1	yes	7442
XEN-D0501	3.04	TRPV1	yes	7442
AZD1386	3.04	TRPV1	yes	7442
