Gene	Disease
5692	Adopted_as_a_child
23126	Adopted_as_a_child
677768	Adopted_as_a_child
3965	Adopted_as_a_child
92960	Adopted_as_a_child
10567	Adopted_as_a_child
478	Adopted_as_a_child
150962	Adopted_as_a_child
63926	Adopted_as_a_child
100131208	Adopted_as_a_child
25830	Adopted_as_a_child
10533	Adopted_as_a_child
246175	Adopted_as_a_child
65008	Adopted_as_a_child
64399	Adopted_as_a_child
4056	Adopted_as_a_child
5191	Adopted_as_a_child
6863	Adopted_as_a_child
4885	Adopted_as_a_child
26024	Adopted_as_a_child
10898	Adopted_as_a_child
285989	Adopted_as_a_child
23660	Adopted_as_a_child
221786	Adopted_as_a_child
79027	Adopted_as_a_child
5577	Adopted_as_a_child
57464	Adopted_as_a_child
640	Adopted_as_a_child
2304	Adopted_as_a_child
6837	Adopted_as_a_child
6130	Adopted_as_a_child
11093	Adopted_as_a_child
