Gene	Disease
50651	Bread_intake
473	Bread_intake
50809	Bread_intake
8672	Bread_intake
100302155	Bread_intake
26119	Bread_intake
22955	Bread_intake
10103	Bread_intake
55624	Bread_intake
541468	Bread_intake
8438	Bread_intake
10489	Bread_intake
7388	Bread_intake
2166	Bread_intake
54810	Bread_intake
1806	Bread_intake
400765	Bread_intake
6913	Bread_intake
4170	Bread_intake
2029	Bread_intake
55204	Bread_intake
84072	Bread_intake
1520	Bread_intake
1513	Bread_intake
405	Bread_intake
9869	Bread_intake
29956	Bread_intake
140576	Bread_intake
57402	Bread_intake
6284	Bread_intake
6271	Bread_intake
26097	Bread_intake
23557	Bread_intake
57459	Bread_intake
9909	Bread_intake
200186	Bread_intake
27173	Bread_intake
148327	Bread_intake
10899	Bread_intake
343450	Bread_intake
359948	Bread_intake
100302691	Bread_intake
56243	Bread_intake
1959	Bread_intake
84545	Bread_intake
57715	Bread_intake
84445	Bread_intake
977	Bread_intake
5441	Bread_intake
65975	Bread_intake
341019	Bread_intake
643376	Bread_intake
1656	Bread_intake
5927	Bread_intake
196528	Bread_intake
9169	Bread_intake
7471	Bread_intake
79962	Bread_intake
65244	Bread_intake
23416	Bread_intake
10445	Bread_intake
25766	Bread_intake
84070	Bread_intake
91010	Bread_intake
7009	Bread_intake
57701	Bread_intake
100286844	Bread_intake
3489	Bread_intake
8435	Bread_intake
283373	Bread_intake
1431	Bread_intake
10330	Bread_intake
9924	Bread_intake
51561	Bread_intake
6773	Bread_intake
319	Bread_intake
283377	Bread_intake
11197	Bread_intake
196475	Bread_intake
100128191	Bread_intake
7112	Bread_intake
5992	Bread_intake
55188	Bread_intake
8843	Bread_intake
23457	Bread_intake
79676	Bread_intake
51329	Bread_intake
57634	Bread_intake
100289635	Bread_intake
10253	Bread_intake
55608	Bread_intake
4901	Bread_intake
5106	Bread_intake
2290	Bread_intake
55860	Bread_intake
767563	Bread_intake
767564	Bread_intake
767578	Bread_intake
767579	Bread_intake
767582	Bread_intake
26015	Bread_intake
7301	Bread_intake
80031	Bread_intake
54816	Bread_intake
6938	Bread_intake
196993	Bread_intake
64843	Bread_intake
90381	Bread_intake
374654	Bread_intake
5346	Bread_intake
91948	Bread_intake
9091	Bread_intake
283948	Bread_intake
57799	Bread_intake
117166	Bread_intake
197335	Bread_intake
89941	Bread_intake
9028	Bread_intake
10273	Bread_intake
339123	Bread_intake
84219	Bread_intake
146330	Bread_intake
79006	Bread_intake
124093	Bread_intake
84264	Bread_intake
1489	Bread_intake
283932	Bread_intake
54620	Bread_intake
93129	Bread_intake
9739	Bread_intake
80270	Bread_intake
112755	Bread_intake
6810	Bread_intake
79759	Bread_intake
9726	Bread_intake
339105	Bread_intake
79001	Bread_intake
10295	Bread_intake
