Gene	Disease
140625	Bread_type_Wholemeal_or_wholegrain
23261	Bread_type_Wholemeal_or_wholegrain
473	Bread_type_Wholemeal_or_wholegrain
2023	Bread_type_Wholemeal_or_wholegrain
50809	Bread_type_Wholemeal_or_wholegrain
8672	Bread_type_Wholemeal_or_wholegrain
100302155	Bread_type_Wholemeal_or_wholegrain
54797	Bread_type_Wholemeal_or_wholegrain
65979	Bread_type_Wholemeal_or_wholegrain
1104	Bread_type_Wholemeal_or_wholegrain
8420	Bread_type_Wholemeal_or_wholegrain
54952	Bread_type_Wholemeal_or_wholegrain
85028	Bread_type_Wholemeal_or_wholegrain
6883	Bread_type_Wholemeal_or_wholegrain
115273	Bread_type_Wholemeal_or_wholegrain
57648	Bread_type_Wholemeal_or_wholegrain
64766	Bread_type_Wholemeal_or_wholegrain
252995	Bread_type_Wholemeal_or_wholegrain
58512	Bread_type_Wholemeal_or_wholegrain
79830	Bread_type_Wholemeal_or_wholegrain
6421	Bread_type_Wholemeal_or_wholegrain
79932	Bread_type_Wholemeal_or_wholegrain
23154	Bread_type_Wholemeal_or_wholegrain
192670	Bread_type_Wholemeal_or_wholegrain
128209	Bread_type_Wholemeal_or_wholegrain
55929	Bread_type_Wholemeal_or_wholegrain
7398	Bread_type_Wholemeal_or_wholegrain
85440	Bread_type_Wholemeal_or_wholegrain
257194	Bread_type_Wholemeal_or_wholegrain
10768	Bread_type_Wholemeal_or_wholegrain
85369	Bread_type_Wholemeal_or_wholegrain
11218	Bread_type_Wholemeal_or_wholegrain
3752	Bread_type_Wholemeal_or_wholegrain
149041	Bread_type_Wholemeal_or_wholegrain
63931	Bread_type_Wholemeal_or_wholegrain
10659	Bread_type_Wholemeal_or_wholegrain
3799	Bread_type_Wholemeal_or_wholegrain
54764	Bread_type_Wholemeal_or_wholegrain
1488	Bread_type_Wholemeal_or_wholegrain
55844	Bread_type_Wholemeal_or_wholegrain
664	Bread_type_Wholemeal_or_wholegrain
387264	Bread_type_Wholemeal_or_wholegrain
219493	Bread_type_Wholemeal_or_wholegrain
4221	Bread_type_Wholemeal_or_wholegrain
256472	Bread_type_Wholemeal_or_wholegrain
9610	Bread_type_Wholemeal_or_wholegrain
25855	Bread_type_Wholemeal_or_wholegrain
3177	Bread_type_Wholemeal_or_wholegrain
266743	Bread_type_Wholemeal_or_wholegrain
65003	Bread_type_Wholemeal_or_wholegrain
246330	Bread_type_Wholemeal_or_wholegrain
10072	Bread_type_Wholemeal_or_wholegrain
