Gene	Disease
2046	Breakfast_cereal_consumed
92342	Breakfast_cereal_consumed
55733	Breakfast_cereal_consumed
57118	Breakfast_cereal_consumed
406901	Breakfast_cereal_consumed
23649	Breakfast_cereal_consumed
387911	Breakfast_cereal_consumed
283576	Breakfast_cereal_consumed
80125	Breakfast_cereal_consumed
10099	Breakfast_cereal_consumed
1675	Breakfast_cereal_consumed
10025	Breakfast_cereal_consumed
9745	Breakfast_cereal_consumed
80207	Breakfast_cereal_consumed
1399	Breakfast_cereal_consumed
55888	Breakfast_cereal_consumed
285349	Breakfast_cereal_consumed
10168	Breakfast_cereal_consumed
5981	Breakfast_cereal_consumed
153396	Breakfast_cereal_consumed
345630	Breakfast_cereal_consumed
662	Breakfast_cereal_consumed
100287366	Breakfast_cereal_consumed
