Gene	Disease
338	Celiac_Disease
345	Celiac_Disease
864	Celiac_Disease
941	Celiac_Disease
948	Celiac_Disease
1233	Celiac_Disease
1493	Celiac_Disease
1636	Celiac_Disease
2113	Celiac_Disease
2214	Celiac_Disease
3115	Celiac_Disease
3117	Celiac_Disease
3119	Celiac_Disease
3429	Celiac_Disease
3458	Celiac_Disease
3600	Celiac_Disease
3604	Celiac_Disease
3627	Celiac_Disease
3934	Celiac_Disease
4023	Celiac_Disease
4283	Celiac_Disease
4314	Celiac_Disease
4321	Celiac_Disease
4650	Celiac_Disease
5105	Celiac_Disease
6280	Celiac_Disease
6373	Celiac_Disease
7031	Celiac_Disease
7052	Celiac_Disease
8435	Celiac_Disease
8764	Celiac_Disease
8876	Celiac_Disease
9227	Celiac_Disease
9863	Celiac_Disease
10537	Celiac_Disease
11254	Celiac_Disease
23308	Celiac_Disease
51733	Celiac_Disease
54657	Celiac_Disease
55124	Celiac_Disease
56624	Celiac_Disease
57178	Celiac_Disease
59067	Celiac_Disease
60468	Celiac_Disease
115362	Celiac_Disease
387357	Celiac_Disease
388743	Celiac_Disease
