Gene	Disease
58155	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
5929	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
6660	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
23348	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
9564	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
10428	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
124491	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
4166	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
3643	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
10870	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
7305	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
79414	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
109	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
22979	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
253635	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
284759	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
23616	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
57026	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
3956	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
23001	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
404201	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
100506658	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
116254	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
11104	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
9113	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
348995	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
5110	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
84918	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
3955	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
221927	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
5001	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
9172	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
80036	Cereal_type_Bran_cereal_eg_All_Bran,_Branflakes
