Gene	Disease
79258	Cereal_type_Other_eg_Cornflakes,_Frosties
51032	Cereal_type_Other_eg_Cornflakes,_Frosties
842	Cereal_type_Other_eg_Cornflakes,_Frosties
23341	Cereal_type_Other_eg_Cornflakes,_Frosties
79814	Cereal_type_Other_eg_Cornflakes,_Frosties
79830	Cereal_type_Other_eg_Cornflakes,_Frosties
1579	Cereal_type_Other_eg_Cornflakes,_Frosties
257194	Cereal_type_Other_eg_Cornflakes,_Frosties
51086	Cereal_type_Other_eg_Cornflakes,_Frosties
1806	Cereal_type_Other_eg_Cornflakes,_Frosties
400765	Cereal_type_Other_eg_Cornflakes,_Frosties
51133	Cereal_type_Other_eg_Cornflakes,_Frosties
114131	Cereal_type_Other_eg_Cornflakes,_Frosties
100302129	Cereal_type_Other_eg_Cornflakes,_Frosties
387640	Cereal_type_Other_eg_Cornflakes,_Frosties
8028	Cereal_type_Other_eg_Cornflakes,_Frosties
64215	Cereal_type_Other_eg_Cornflakes,_Frosties
94134	Cereal_type_Other_eg_Cornflakes,_Frosties
3799	Cereal_type_Other_eg_Cornflakes,_Frosties
288	Cereal_type_Other_eg_Cornflakes,_Frosties
29982	Cereal_type_Other_eg_Cornflakes,_Frosties
221037	Cereal_type_Other_eg_Cornflakes,_Frosties
100302150	Cereal_type_Other_eg_Cornflakes,_Frosties
84989	Cereal_type_Other_eg_Cornflakes,_Frosties
221035	Cereal_type_Other_eg_Cornflakes,_Frosties
51207	Cereal_type_Other_eg_Cornflakes,_Frosties
142891	Cereal_type_Other_eg_Cornflakes,_Frosties
9044	Cereal_type_Other_eg_Cornflakes,_Frosties
10023	Cereal_type_Other_eg_Cornflakes,_Frosties
23401	Cereal_type_Other_eg_Cornflakes,_Frosties
22986	Cereal_type_Other_eg_Cornflakes,_Frosties
54764	Cereal_type_Other_eg_Cornflakes,_Frosties
92565	Cereal_type_Other_eg_Cornflakes,_Frosties
253738	Cereal_type_Other_eg_Cornflakes,_Frosties
747	Cereal_type_Other_eg_Cornflakes,_Frosties
50801	Cereal_type_Other_eg_Cornflakes,_Frosties
10235	Cereal_type_Other_eg_Cornflakes,_Frosties
5837	Cereal_type_Other_eg_Cornflakes,_Frosties
7536	Cereal_type_Other_eg_Cornflakes,_Frosties
5871	Cereal_type_Other_eg_Cornflakes,_Frosties
4221	Cereal_type_Other_eg_Cornflakes,_Frosties
256472	Cereal_type_Other_eg_Cornflakes,_Frosties
57124	Cereal_type_Other_eg_Cornflakes,_Frosties
266743	Cereal_type_Other_eg_Cornflakes,_Frosties
114769	Cereal_type_Other_eg_Cornflakes,_Frosties
440068	Cereal_type_Other_eg_Cornflakes,_Frosties
59082	Cereal_type_Other_eg_Cornflakes,_Frosties
7704	Cereal_type_Other_eg_Cornflakes,_Frosties
283358	Cereal_type_Other_eg_Cornflakes,_Frosties
4908	Cereal_type_Other_eg_Cornflakes,_Frosties
50813	Cereal_type_Other_eg_Cornflakes,_Frosties
8079	Cereal_type_Other_eg_Cornflakes,_Frosties
5571	Cereal_type_Other_eg_Cornflakes,_Frosties
8085	Cereal_type_Other_eg_Cornflakes,_Frosties
50846	Cereal_type_Other_eg_Cornflakes,_Frosties
57701	Cereal_type_Other_eg_Cornflakes,_Frosties
10961	Cereal_type_Other_eg_Cornflakes,_Frosties
80018	Cereal_type_Other_eg_Cornflakes,_Frosties
10906	Cereal_type_Other_eg_Cornflakes,_Frosties
283450	Cereal_type_Other_eg_Cornflakes,_Frosties
6128	Cereal_type_Other_eg_Cornflakes,_Frosties
5781	Cereal_type_Other_eg_Cornflakes,_Frosties
341947	Cereal_type_Other_eg_Cornflakes,_Frosties
80031	Cereal_type_Other_eg_Cornflakes,_Frosties
23322	Cereal_type_Other_eg_Cornflakes,_Frosties
79068	Cereal_type_Other_eg_Cornflakes,_Frosties
84501	Cereal_type_Other_eg_Cornflakes,_Frosties
201176	Cereal_type_Other_eg_Cornflakes,_Frosties
9842	Cereal_type_Other_eg_Cornflakes,_Frosties
1394	Cereal_type_Other_eg_Cornflakes,_Frosties
100128977	Cereal_type_Other_eg_Cornflakes,_Frosties
162540	Cereal_type_Other_eg_Cornflakes,_Frosties
4137	Cereal_type_Other_eg_Cornflakes,_Frosties
246744	Cereal_type_Other_eg_Cornflakes,_Frosties
284058	Cereal_type_Other_eg_Cornflakes,_Frosties
644246	Cereal_type_Other_eg_Cornflakes,_Frosties
100506084	Cereal_type_Other_eg_Cornflakes,_Frosties
9884	Cereal_type_Other_eg_Cornflakes,_Frosties
474170	Cereal_type_Other_eg_Cornflakes,_Frosties
51326	Cereal_type_Other_eg_Cornflakes,_Frosties
4905	Cereal_type_Other_eg_Cornflakes,_Frosties
7473	Cereal_type_Other_eg_Cornflakes,_Frosties
22834	Cereal_type_Other_eg_Cornflakes,_Frosties
55181	Cereal_type_Other_eg_Cornflakes,_Frosties
284161	Cereal_type_Other_eg_Cornflakes,_Frosties
4864	Cereal_type_Other_eg_Cornflakes,_Frosties
113178	Cereal_type_Other_eg_Cornflakes,_Frosties
113179	Cereal_type_Other_eg_Cornflakes,_Frosties
646457	Cereal_type_Other_eg_Cornflakes,_Frosties
5566	Cereal_type_Other_eg_Cornflakes,_Frosties
55723	Cereal_type_Other_eg_Cornflakes,_Frosties
23031	Cereal_type_Other_eg_Cornflakes,_Frosties
55094	Cereal_type_Other_eg_Cornflakes,_Frosties
10452	Cereal_type_Other_eg_Cornflakes,_Frosties
348	Cereal_type_Other_eg_Cornflakes,_Frosties
341	Cereal_type_Other_eg_Cornflakes,_Frosties
2524	Cereal_type_Other_eg_Cornflakes,_Frosties
6237	Cereal_type_Other_eg_Cornflakes,_Frosties
58506	Cereal_type_Other_eg_Cornflakes,_Frosties
8462	Cereal_type_Other_eg_Cornflakes,_Frosties
150763	Cereal_type_Other_eg_Cornflakes,_Frosties
431705	Cereal_type_Other_eg_Cornflakes,_Frosties
1844	Cereal_type_Other_eg_Cornflakes,_Frosties
93082	Cereal_type_Other_eg_Cornflakes,_Frosties
10865	Cereal_type_Other_eg_Cornflakes,_Frosties
