Gene	Disease
688	Chronic_Obstructive_Airway_Disease
925	Chronic_Obstructive_Airway_Disease
1543	Chronic_Obstructive_Airway_Disease
1544	Chronic_Obstructive_Airway_Disease
1832	Chronic_Obstructive_Airway_Disease
2006	Chronic_Obstructive_Airway_Disease
2052	Chronic_Obstructive_Airway_Disease
2309	Chronic_Obstructive_Airway_Disease
2919	Chronic_Obstructive_Airway_Disease
2920	Chronic_Obstructive_Airway_Disease
3066	Chronic_Obstructive_Airway_Disease
3162	Chronic_Obstructive_Airway_Disease
3356	Chronic_Obstructive_Airway_Disease
3569	Chronic_Obstructive_Airway_Disease
3576	Chronic_Obstructive_Airway_Disease
4312	Chronic_Obstructive_Airway_Disease
4318	Chronic_Obstructive_Airway_Disease
4323	Chronic_Obstructive_Airway_Disease
4843	Chronic_Obstructive_Airway_Disease
4846	Chronic_Obstructive_Airway_Disease
5265	Chronic_Obstructive_Airway_Disease
6441	Chronic_Obstructive_Airway_Disease
6649	Chronic_Obstructive_Airway_Disease
7040	Chronic_Obstructive_Airway_Disease
7124	Chronic_Obstructive_Airway_Disease
7139	Chronic_Obstructive_Airway_Disease
7157	Chronic_Obstructive_Airway_Disease
10144	Chronic_Obstructive_Airway_Disease
10411	Chronic_Obstructive_Airway_Disease
23255	Chronic_Obstructive_Airway_Disease
59341	Chronic_Obstructive_Airway_Disease
60678	Chronic_Obstructive_Airway_Disease
407001	Chronic_Obstructive_Airway_Disease
