Gene	Disease
22823	Coffee_type_Decaffeinated_coffee_any_type
50999	Coffee_type_Decaffeinated_coffee_any_type
343099	Coffee_type_Decaffeinated_coffee_any_type
1810	Coffee_type_Decaffeinated_coffee_any_type
8497	Coffee_type_Decaffeinated_coffee_any_type
79933	Coffee_type_Decaffeinated_coffee_any_type
729092	Coffee_type_Decaffeinated_coffee_any_type
9632	Coffee_type_Decaffeinated_coffee_any_type
170384	Coffee_type_Decaffeinated_coffee_any_type
118487	Coffee_type_Decaffeinated_coffee_any_type
23053	Coffee_type_Decaffeinated_coffee_any_type
8509	Coffee_type_Decaffeinated_coffee_any_type
818	Coffee_type_Decaffeinated_coffee_any_type
729262	Coffee_type_Decaffeinated_coffee_any_type
54619	Coffee_type_Decaffeinated_coffee_any_type
9849	Coffee_type_Decaffeinated_coffee_any_type
282763	Coffee_type_Decaffeinated_coffee_any_type
2237	Coffee_type_Decaffeinated_coffee_any_type
9415	Coffee_type_Decaffeinated_coffee_any_type
3992	Coffee_type_Decaffeinated_coffee_any_type
3995	Coffee_type_Decaffeinated_coffee_any_type
9973	Coffee_type_Decaffeinated_coffee_any_type
10432	Coffee_type_Decaffeinated_coffee_any_type
83759	Coffee_type_Decaffeinated_coffee_any_type
54737	Coffee_type_Decaffeinated_coffee_any_type
55269	Coffee_type_Decaffeinated_coffee_any_type
390443	Coffee_type_Decaffeinated_coffee_any_type
7080	Coffee_type_Decaffeinated_coffee_any_type
79944	Coffee_type_Decaffeinated_coffee_any_type
7082	Coffee_type_Decaffeinated_coffee_any_type
79622	Coffee_type_Decaffeinated_coffee_any_type
64285	Coffee_type_Decaffeinated_coffee_any_type
4350	Coffee_type_Decaffeinated_coffee_any_type
29117	Coffee_type_Decaffeinated_coffee_any_type
284111	Coffee_type_Decaffeinated_coffee_any_type
25984	Coffee_type_Decaffeinated_coffee_any_type
59348	Coffee_type_Decaffeinated_coffee_any_type
284370	Coffee_type_Decaffeinated_coffee_any_type
80110	Coffee_type_Decaffeinated_coffee_any_type
9668	Coffee_type_Decaffeinated_coffee_any_type
284371	Coffee_type_Decaffeinated_coffee_any_type
6496	Coffee_type_Decaffeinated_coffee_any_type
2641	Coffee_type_Decaffeinated_coffee_any_type
150864	Coffee_type_Decaffeinated_coffee_any_type
93010	Coffee_type_Decaffeinated_coffee_any_type
55423	Coffee_type_Decaffeinated_coffee_any_type
22913	Coffee_type_Decaffeinated_coffee_any_type
8894	Coffee_type_Decaffeinated_coffee_any_type
83737	Coffee_type_Decaffeinated_coffee_any_type
693229	Coffee_type_Decaffeinated_coffee_any_type
83658	Coffee_type_Decaffeinated_coffee_any_type
84557	Coffee_type_Decaffeinated_coffee_any_type
55902	Coffee_type_Decaffeinated_coffee_any_type
2937	Coffee_type_Decaffeinated_coffee_any_type
57644	Coffee_type_Decaffeinated_coffee_any_type
26133	Coffee_type_Decaffeinated_coffee_any_type
55741	Coffee_type_Decaffeinated_coffee_any_type
10544	Coffee_type_Decaffeinated_coffee_any_type
27037	Coffee_type_Decaffeinated_coffee_any_type
5902	Coffee_type_Decaffeinated_coffee_any_type
29801	Coffee_type_Decaffeinated_coffee_any_type
84315	Coffee_type_Decaffeinated_coffee_any_type
10180	Coffee_type_Decaffeinated_coffee_any_type
165679	Coffee_type_Decaffeinated_coffee_any_type
57537	Coffee_type_Decaffeinated_coffee_any_type
23244	Coffee_type_Decaffeinated_coffee_any_type
64116	Coffee_type_Decaffeinated_coffee_any_type
4306	Coffee_type_Decaffeinated_coffee_any_type
2870	Coffee_type_Decaffeinated_coffee_any_type
80758	Coffee_type_Decaffeinated_coffee_any_type
1627	Coffee_type_Decaffeinated_coffee_any_type
81797	Coffee_type_Decaffeinated_coffee_any_type
26268	Coffee_type_Decaffeinated_coffee_any_type
57492	Coffee_type_Decaffeinated_coffee_any_type
273	Coffee_type_Decaffeinated_coffee_any_type
23516	Coffee_type_Decaffeinated_coffee_any_type
1960	Coffee_type_Decaffeinated_coffee_any_type
619434	Coffee_type_Decaffeinated_coffee_any_type
