Gene	Disease
19	Colorectal_Carcinoma
21	Colorectal_Carcinoma
24	Colorectal_Carcinoma
31	Colorectal_Carcinoma
105	Colorectal_Carcinoma
114	Colorectal_Carcinoma
125	Colorectal_Carcinoma
134	Colorectal_Carcinoma
140	Colorectal_Carcinoma
142	Colorectal_Carcinoma
207	Colorectal_Carcinoma
217	Colorectal_Carcinoma
225	Colorectal_Carcinoma
270	Colorectal_Carcinoma
287	Colorectal_Carcinoma
324	Colorectal_Carcinoma
332	Colorectal_Carcinoma
338	Colorectal_Carcinoma
368	Colorectal_Carcinoma
405	Colorectal_Carcinoma
529	Colorectal_Carcinoma
540	Colorectal_Carcinoma
595	Colorectal_Carcinoma
596	Colorectal_Carcinoma
650	Colorectal_Carcinoma
652	Colorectal_Carcinoma
654	Colorectal_Carcinoma
657	Colorectal_Carcinoma
668	Colorectal_Carcinoma
673	Colorectal_Carcinoma
678	Colorectal_Carcinoma
688	Colorectal_Carcinoma
699	Colorectal_Carcinoma
701	Colorectal_Carcinoma
782	Colorectal_Carcinoma
783	Colorectal_Carcinoma
790	Colorectal_Carcinoma
811	Colorectal_Carcinoma
827	Colorectal_Carcinoma
841	Colorectal_Carcinoma
862	Colorectal_Carcinoma
863	Colorectal_Carcinoma
894	Colorectal_Carcinoma
928	Colorectal_Carcinoma
999	Colorectal_Carcinoma
1003	Colorectal_Carcinoma
1005	Colorectal_Carcinoma
1036	Colorectal_Carcinoma
1080	Colorectal_Carcinoma
1105	Colorectal_Carcinoma
1244	Colorectal_Carcinoma
1272	Colorectal_Carcinoma
1281	Colorectal_Carcinoma
1288	Colorectal_Carcinoma
1294	Colorectal_Carcinoma
1363	Colorectal_Carcinoma
1404	Colorectal_Carcinoma
1434	Colorectal_Carcinoma
1437	Colorectal_Carcinoma
1487	Colorectal_Carcinoma
1499	Colorectal_Carcinoma
1501	Colorectal_Carcinoma
1512	Colorectal_Carcinoma
1523	Colorectal_Carcinoma
1544	Colorectal_Carcinoma
1545	Colorectal_Carcinoma
1548	Colorectal_Carcinoma
1620	Colorectal_Carcinoma
1630	Colorectal_Carcinoma
1649	Colorectal_Carcinoma
1669	Colorectal_Carcinoma
1719	Colorectal_Carcinoma
1728	Colorectal_Carcinoma
1741	Colorectal_Carcinoma
1756	Colorectal_Carcinoma
1769	Colorectal_Carcinoma
1776	Colorectal_Carcinoma
1798	Colorectal_Carcinoma
1800	Colorectal_Carcinoma
1806	Colorectal_Carcinoma
1808	Colorectal_Carcinoma
1890	Colorectal_Carcinoma
1896	Colorectal_Carcinoma
1902	Colorectal_Carcinoma
1956	Colorectal_Carcinoma
1981	Colorectal_Carcinoma
2030	Colorectal_Carcinoma
2033	Colorectal_Carcinoma
2041	Colorectal_Carcinoma
2042	Colorectal_Carcinoma
2045	Colorectal_Carcinoma
2051	Colorectal_Carcinoma
2068	Colorectal_Carcinoma
2070	Colorectal_Carcinoma
2074	Colorectal_Carcinoma
2100	Colorectal_Carcinoma
2110	Colorectal_Carcinoma
2115	Colorectal_Carcinoma
2153	Colorectal_Carcinoma
2182	Colorectal_Carcinoma
2189	Colorectal_Carcinoma
2195	Colorectal_Carcinoma
2199	Colorectal_Carcinoma
2201	Colorectal_Carcinoma
2202	Colorectal_Carcinoma
2219	Colorectal_Carcinoma
2220	Colorectal_Carcinoma
2237	Colorectal_Carcinoma
2261	Colorectal_Carcinoma
2275	Colorectal_Carcinoma
2318	Colorectal_Carcinoma
2335	Colorectal_Carcinoma
2346	Colorectal_Carcinoma
2356	Colorectal_Carcinoma
2553	Colorectal_Carcinoma
2559	Colorectal_Carcinoma
2588	Colorectal_Carcinoma
2597	Colorectal_Carcinoma
2626	Colorectal_Carcinoma
2692	Colorectal_Carcinoma
2737	Colorectal_Carcinoma
2778	Colorectal_Carcinoma
2832	Colorectal_Carcinoma
2879	Colorectal_Carcinoma
2894	Colorectal_Carcinoma
2895	Colorectal_Carcinoma
2899	Colorectal_Carcinoma
2903	Colorectal_Carcinoma
2911	Colorectal_Carcinoma
2944	Colorectal_Carcinoma
2947	Colorectal_Carcinoma
2956	Colorectal_Carcinoma
2959	Colorectal_Carcinoma
2972	Colorectal_Carcinoma
2977	Colorectal_Carcinoma
2984	Colorectal_Carcinoma
3008	Colorectal_Carcinoma
3009	Colorectal_Carcinoma
3067	Colorectal_Carcinoma
3101	Colorectal_Carcinoma
3225	Colorectal_Carcinoma
3231	Colorectal_Carcinoma
3235	Colorectal_Carcinoma
3269	Colorectal_Carcinoma
3361	Colorectal_Carcinoma
3417	Colorectal_Carcinoma
3439	Colorectal_Carcinoma
3440	Colorectal_Carcinoma
3481	Colorectal_Carcinoma
3486	Colorectal_Carcinoma
3572	Colorectal_Carcinoma
3576	Colorectal_Carcinoma
3604	Colorectal_Carcinoma
3652	Colorectal_Carcinoma
3671	Colorectal_Carcinoma
3744	Colorectal_Carcinoma
3752	Colorectal_Carcinoma
3791	Colorectal_Carcinoma
3845	Colorectal_Carcinoma
3914	Colorectal_Carcinoma
3915	Colorectal_Carcinoma
3977	Colorectal_Carcinoma
3978	Colorectal_Carcinoma
3980	Colorectal_Carcinoma
3992	Colorectal_Carcinoma
4008	Colorectal_Carcinoma
4035	Colorectal_Carcinoma
4036	Colorectal_Carcinoma
4087	Colorectal_Carcinoma
4088	Colorectal_Carcinoma
4089	Colorectal_Carcinoma
4092	Colorectal_Carcinoma
4093	Colorectal_Carcinoma
4094	Colorectal_Carcinoma
4131	Colorectal_Carcinoma
4133	Colorectal_Carcinoma
4163	Colorectal_Carcinoma
4179	Colorectal_Carcinoma
4288	Colorectal_Carcinoma
4292	Colorectal_Carcinoma
4306	Colorectal_Carcinoma
4312	Colorectal_Carcinoma
4313	Colorectal_Carcinoma
4320	Colorectal_Carcinoma
4353	Colorectal_Carcinoma
4363	Colorectal_Carcinoma
4430	Colorectal_Carcinoma
4436	Colorectal_Carcinoma
4512	Colorectal_Carcinoma
4513	Colorectal_Carcinoma
4519	Colorectal_Carcinoma
4524	Colorectal_Carcinoma
4539	Colorectal_Carcinoma
4552	Colorectal_Carcinoma
4595	Colorectal_Carcinoma
4609	Colorectal_Carcinoma
4694	Colorectal_Carcinoma
4745	Colorectal_Carcinoma
4763	Colorectal_Carcinoma
4772	Colorectal_Carcinoma
4811	Colorectal_Carcinoma
4830	Colorectal_Carcinoma
4831	Colorectal_Carcinoma
4838	Colorectal_Carcinoma
4891	Colorectal_Carcinoma
4893	Colorectal_Carcinoma
4897	Colorectal_Carcinoma
4913	Colorectal_Carcinoma
4929	Colorectal_Carcinoma
4953	Colorectal_Carcinoma
5007	Colorectal_Carcinoma
5016	Colorectal_Carcinoma
5027	Colorectal_Carcinoma
5126	Colorectal_Carcinoma
5157	Colorectal_Carcinoma
5178	Colorectal_Carcinoma
5187	Colorectal_Carcinoma
5236	Colorectal_Carcinoma
5243	Colorectal_Carcinoma
5244	Colorectal_Carcinoma
5268	Colorectal_Carcinoma
5290	Colorectal_Carcinoma
5314	Colorectal_Carcinoma
5316	Colorectal_Carcinoma
5373	Colorectal_Carcinoma
5395	Colorectal_Carcinoma
5424	Colorectal_Carcinoma
5426	Colorectal_Carcinoma
5468	Colorectal_Carcinoma
5498	Colorectal_Carcinoma
5519	Colorectal_Carcinoma
5553	Colorectal_Carcinoma
5579	Colorectal_Carcinoma
5581	Colorectal_Carcinoma
5587	Colorectal_Carcinoma
5590	Colorectal_Carcinoma
5627	Colorectal_Carcinoma
5631	Colorectal_Carcinoma
5644	Colorectal_Carcinoma
5683	Colorectal_Carcinoma
5705	Colorectal_Carcinoma
5728	Colorectal_Carcinoma
5743	Colorectal_Carcinoma
5789	Colorectal_Carcinoma
5799	Colorectal_Carcinoma
5802	Colorectal_Carcinoma
5825	Colorectal_Carcinoma
5826	Colorectal_Carcinoma
5858	Colorectal_Carcinoma
5878	Colorectal_Carcinoma
5900	Colorectal_Carcinoma
5915	Colorectal_Carcinoma
5924	Colorectal_Carcinoma
5949	Colorectal_Carcinoma
5954	Colorectal_Carcinoma
5979	Colorectal_Carcinoma
6009	Colorectal_Carcinoma
6059	Colorectal_Carcinoma
6128	Colorectal_Carcinoma
6198	Colorectal_Carcinoma
6241	Colorectal_Carcinoma
6338	Colorectal_Carcinoma
6340	Colorectal_Carcinoma
6414	Colorectal_Carcinoma
6422	Colorectal_Carcinoma
6423	Colorectal_Carcinoma
6424	Colorectal_Carcinoma
6425	Colorectal_Carcinoma
6431	Colorectal_Carcinoma
6447	Colorectal_Carcinoma
6499	Colorectal_Carcinoma
6512	Colorectal_Carcinoma
6525	Colorectal_Carcinoma
6573	Colorectal_Carcinoma
6578	Colorectal_Carcinoma
6579	Colorectal_Carcinoma
6629	Colorectal_Carcinoma
6648	Colorectal_Carcinoma
6653	Colorectal_Carcinoma
6678	Colorectal_Carcinoma
6712	Colorectal_Carcinoma
6714	Colorectal_Carcinoma
6790	Colorectal_Carcinoma
6792	Colorectal_Carcinoma
6794	Colorectal_Carcinoma
6820	Colorectal_Carcinoma
6833	Colorectal_Carcinoma
6899	Colorectal_Carcinoma
6929	Colorectal_Carcinoma
6934	Colorectal_Carcinoma
6948	Colorectal_Carcinoma
6949	Colorectal_Carcinoma
7037	Colorectal_Carcinoma
7040	Colorectal_Carcinoma
7046	Colorectal_Carcinoma
7048	Colorectal_Carcinoma
7052	Colorectal_Carcinoma
7074	Colorectal_Carcinoma
7083	Colorectal_Carcinoma
7087	Colorectal_Carcinoma
7097	Colorectal_Carcinoma
7099	Colorectal_Carcinoma
7124	Colorectal_Carcinoma
7157	Colorectal_Carcinoma
7280	Colorectal_Carcinoma
7296	Colorectal_Carcinoma
7298	Colorectal_Carcinoma
7372	Colorectal_Carcinoma
7374	Colorectal_Carcinoma
7385	Colorectal_Carcinoma
7403	Colorectal_Carcinoma
7479	Colorectal_Carcinoma
7486	Colorectal_Carcinoma
7515	Colorectal_Carcinoma
7594	Colorectal_Carcinoma
7681	Colorectal_Carcinoma
7711	Colorectal_Carcinoma
7764	Colorectal_Carcinoma
7775	Colorectal_Carcinoma
7802	Colorectal_Carcinoma
7849	Colorectal_Carcinoma
7903	Colorectal_Carcinoma
7980	Colorectal_Carcinoma
8027	Colorectal_Carcinoma
8029	Colorectal_Carcinoma
8079	Colorectal_Carcinoma
8125	Colorectal_Carcinoma
8241	Colorectal_Carcinoma
8289	Colorectal_Carcinoma
8313	Colorectal_Carcinoma
8322	Colorectal_Carcinoma
8328	Colorectal_Carcinoma
8342	Colorectal_Carcinoma
8388	Colorectal_Carcinoma
8471	Colorectal_Carcinoma
8520	Colorectal_Carcinoma
8549	Colorectal_Carcinoma
8556	Colorectal_Carcinoma
8626	Colorectal_Carcinoma
8642	Colorectal_Carcinoma
8647	Colorectal_Carcinoma
8667	Colorectal_Carcinoma
8714	Colorectal_Carcinoma
8728	Colorectal_Carcinoma
8741	Colorectal_Carcinoma
8743	Colorectal_Carcinoma
8836	Colorectal_Carcinoma
8842	Colorectal_Carcinoma
8861	Colorectal_Carcinoma
8888	Colorectal_Carcinoma
8928	Colorectal_Carcinoma
8991	Colorectal_Carcinoma
8997	Colorectal_Carcinoma
9138	Colorectal_Carcinoma
9148	Colorectal_Carcinoma
9156	Colorectal_Carcinoma
9197	Colorectal_Carcinoma
9201	Colorectal_Carcinoma
9202	Colorectal_Carcinoma
9312	Colorectal_Carcinoma
9348	Colorectal_Carcinoma
9365	Colorectal_Carcinoma
9415	Colorectal_Carcinoma
9429	Colorectal_Carcinoma
9437	Colorectal_Carcinoma
9444	Colorectal_Carcinoma
9462	Colorectal_Carcinoma
9472	Colorectal_Carcinoma
9474	Colorectal_Carcinoma
9499	Colorectal_Carcinoma
9590	Colorectal_Carcinoma
9619	Colorectal_Carcinoma
9647	Colorectal_Carcinoma
9668	Colorectal_Carcinoma
9744	Colorectal_Carcinoma
9746	Colorectal_Carcinoma
9754	Colorectal_Carcinoma
9770	Colorectal_Carcinoma
9832	Colorectal_Carcinoma
9839	Colorectal_Carcinoma
9924	Colorectal_Carcinoma
9934	Colorectal_Carcinoma
10057	Colorectal_Carcinoma
10058	Colorectal_Carcinoma
10076	Colorectal_Carcinoma
10084	Colorectal_Carcinoma
10135	Colorectal_Carcinoma
10142	Colorectal_Carcinoma
10155	Colorectal_Carcinoma
10178	Colorectal_Carcinoma
10202	Colorectal_Carcinoma
10241	Colorectal_Carcinoma
10257	Colorectal_Carcinoma
10278	Colorectal_Carcinoma
10286	Colorectal_Carcinoma
10291	Colorectal_Carcinoma
10297	Colorectal_Carcinoma
10342	Colorectal_Carcinoma
10349	Colorectal_Carcinoma
10350	Colorectal_Carcinoma
10351	Colorectal_Carcinoma
10365	Colorectal_Carcinoma
10391	Colorectal_Carcinoma
10395	Colorectal_Carcinoma
10413	Colorectal_Carcinoma
10445	Colorectal_Carcinoma
10457	Colorectal_Carcinoma
10467	Colorectal_Carcinoma
10497	Colorectal_Carcinoma
10565	Colorectal_Carcinoma
10566	Colorectal_Carcinoma
10631	Colorectal_Carcinoma
10666	Colorectal_Carcinoma
10681	Colorectal_Carcinoma
10714	Colorectal_Carcinoma
10752	Colorectal_Carcinoma
10840	Colorectal_Carcinoma
11034	Colorectal_Carcinoma
11086	Colorectal_Carcinoma
11122	Colorectal_Carcinoma
11132	Colorectal_Carcinoma
11171	Colorectal_Carcinoma
11197	Colorectal_Carcinoma
11200	Colorectal_Carcinoma
11257	Colorectal_Carcinoma
22797	Colorectal_Carcinoma
22843	Colorectal_Carcinoma
22854	Colorectal_Carcinoma
22866	Colorectal_Carcinoma
22918	Colorectal_Carcinoma
22974	Colorectal_Carcinoma
22982	Colorectal_Carcinoma
22985	Colorectal_Carcinoma
22992	Colorectal_Carcinoma
23020	Colorectal_Carcinoma
23036	Colorectal_Carcinoma
23101	Colorectal_Carcinoma
23154	Colorectal_Carcinoma
23175	Colorectal_Carcinoma
23199	Colorectal_Carcinoma
23230	Colorectal_Carcinoma
23271	Colorectal_Carcinoma
23287	Colorectal_Carcinoma
23314	Colorectal_Carcinoma
23345	Colorectal_Carcinoma
23415	Colorectal_Carcinoma
23456	Colorectal_Carcinoma
23460	Colorectal_Carcinoma
23461	Colorectal_Carcinoma
23468	Colorectal_Carcinoma
23533	Colorectal_Carcinoma
23600	Colorectal_Carcinoma
23643	Colorectal_Carcinoma
23682	Colorectal_Carcinoma
23742	Colorectal_Carcinoma
24139	Colorectal_Carcinoma
25827	Colorectal_Carcinoma
25902	Colorectal_Carcinoma
26009	Colorectal_Carcinoma
26015	Colorectal_Carcinoma
26038	Colorectal_Carcinoma
26040	Colorectal_Carcinoma
26098	Colorectal_Carcinoma
26140	Colorectal_Carcinoma
26154	Colorectal_Carcinoma
26256	Colorectal_Carcinoma
26278	Colorectal_Carcinoma
26585	Colorectal_Carcinoma
27013	Colorectal_Carcinoma
27030	Colorectal_Carcinoma
27036	Colorectal_Carcinoma
27111	Colorectal_Carcinoma
27151	Colorectal_Carcinoma
27164	Colorectal_Carcinoma
27328	Colorectal_Carcinoma
28234	Colorectal_Carcinoma
29108	Colorectal_Carcinoma
29886	Colorectal_Carcinoma
29945	Colorectal_Carcinoma
29951	Colorectal_Carcinoma
29980	Colorectal_Carcinoma
30833	Colorectal_Carcinoma
50944	Colorectal_Carcinoma
50945	Colorectal_Carcinoma
51005	Colorectal_Carcinoma
51086	Colorectal_Carcinoma
51147	Colorectal_Carcinoma
51150	Colorectal_Carcinoma
51176	Colorectal_Carcinoma
51201	Colorectal_Carcinoma
51203	Colorectal_Carcinoma
51224	Colorectal_Carcinoma
51247	Colorectal_Carcinoma
51322	Colorectal_Carcinoma
51339	Colorectal_Carcinoma
51384	Colorectal_Carcinoma
51466	Colorectal_Carcinoma
51550	Colorectal_Carcinoma
51555	Colorectal_Carcinoma
51614	Colorectal_Carcinoma
51703	Colorectal_Carcinoma
53836	Colorectal_Carcinoma
54084	Colorectal_Carcinoma
54093	Colorectal_Carcinoma
54106	Colorectal_Carcinoma
54436	Colorectal_Carcinoma
54465	Colorectal_Carcinoma
54474	Colorectal_Carcinoma
54520	Colorectal_Carcinoma
54680	Colorectal_Carcinoma
54739	Colorectal_Carcinoma
54790	Colorectal_Carcinoma
54822	Colorectal_Carcinoma
54894	Colorectal_Carcinoma
54959	Colorectal_Carcinoma
55023	Colorectal_Carcinoma
55160	Colorectal_Carcinoma
55229	Colorectal_Carcinoma
55237	Colorectal_Carcinoma
55281	Colorectal_Carcinoma
55294	Colorectal_Carcinoma
55356	Colorectal_Carcinoma
55567	Colorectal_Carcinoma
55616	Colorectal_Carcinoma
55625	Colorectal_Carcinoma
55669	Colorectal_Carcinoma
55726	Colorectal_Carcinoma
55749	Colorectal_Carcinoma
55800	Colorectal_Carcinoma
55806	Colorectal_Carcinoma
56479	Colorectal_Carcinoma
56884	Colorectal_Carcinoma
56924	Colorectal_Carcinoma
56947	Colorectal_Carcinoma
57007	Colorectal_Carcinoma
57016	Colorectal_Carcinoma
57124	Colorectal_Carcinoma
57140	Colorectal_Carcinoma
57142	Colorectal_Carcinoma
57175	Colorectal_Carcinoma
57178	Colorectal_Carcinoma
57188	Colorectal_Carcinoma
57338	Colorectal_Carcinoma
57453	Colorectal_Carcinoma
57468	Colorectal_Carcinoma
57470	Colorectal_Carcinoma
57502	Colorectal_Carcinoma
57547	Colorectal_Carcinoma
57573	Colorectal_Carcinoma
57614	Colorectal_Carcinoma
57617	Colorectal_Carcinoma
58508	Colorectal_Carcinoma
59269	Colorectal_Carcinoma
59345	Colorectal_Carcinoma
59352	Colorectal_Carcinoma
60385	Colorectal_Carcinoma
60412	Colorectal_Carcinoma
63904	Colorectal_Carcinoma
63951	Colorectal_Carcinoma
64084	Colorectal_Carcinoma
64101	Colorectal_Carcinoma
64151	Colorectal_Carcinoma
64232	Colorectal_Carcinoma
64321	Colorectal_Carcinoma
64359	Colorectal_Carcinoma
64377	Colorectal_Carcinoma
64396	Colorectal_Carcinoma
64399	Colorectal_Carcinoma
64405	Colorectal_Carcinoma
64411	Colorectal_Carcinoma
64748	Colorectal_Carcinoma
64919	Colorectal_Carcinoma
64946	Colorectal_Carcinoma
65012	Colorectal_Carcinoma
65125	Colorectal_Carcinoma
66037	Colorectal_Carcinoma
