Gene	Disease
43	Conventional_Clear_Cell_Renal_Cell_Carcinoma
95	Conventional_Clear_Cell_Renal_Cell_Carcinoma
210	Conventional_Clear_Cell_Renal_Cell_Carcinoma
216	Conventional_Clear_Cell_Renal_Cell_Carcinoma
238	Conventional_Clear_Cell_Renal_Cell_Carcinoma
240	Conventional_Clear_Cell_Renal_Cell_Carcinoma
242	Conventional_Clear_Cell_Renal_Cell_Carcinoma
307	Conventional_Clear_Cell_Renal_Cell_Carcinoma
317	Conventional_Clear_Cell_Renal_Cell_Carcinoma
332	Conventional_Clear_Cell_Renal_Cell_Carcinoma
353	Conventional_Clear_Cell_Renal_Cell_Carcinoma
472	Conventional_Clear_Cell_Renal_Cell_Carcinoma
590	Conventional_Clear_Cell_Renal_Cell_Carcinoma
657	Conventional_Clear_Cell_Renal_Cell_Carcinoma
822	Conventional_Clear_Cell_Renal_Cell_Carcinoma
835	Conventional_Clear_Cell_Renal_Cell_Carcinoma
949	Conventional_Clear_Cell_Renal_Cell_Carcinoma
1265	Conventional_Clear_Cell_Renal_Cell_Carcinoma
1381	Conventional_Clear_Cell_Renal_Cell_Carcinoma
1410	Conventional_Clear_Cell_Renal_Cell_Carcinoma
1508	Conventional_Clear_Cell_Renal_Cell_Carcinoma
1509	Conventional_Clear_Cell_Renal_Cell_Carcinoma
1612	Conventional_Clear_Cell_Renal_Cell_Carcinoma
1938	Conventional_Clear_Cell_Renal_Cell_Carcinoma
2034	Conventional_Clear_Cell_Renal_Cell_Carcinoma
2064	Conventional_Clear_Cell_Renal_Cell_Carcinoma
2081	Conventional_Clear_Cell_Renal_Cell_Carcinoma
2321	Conventional_Clear_Cell_Renal_Cell_Carcinoma
2324	Conventional_Clear_Cell_Renal_Cell_Carcinoma
2475	Conventional_Clear_Cell_Renal_Cell_Carcinoma
2705	Conventional_Clear_Cell_Renal_Cell_Carcinoma
2886	Conventional_Clear_Cell_Renal_Cell_Carcinoma
2944	Conventional_Clear_Cell_Renal_Cell_Carcinoma
2950	Conventional_Clear_Cell_Renal_Cell_Carcinoma
2952	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3035	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3313	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3315	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3329	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3440	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3566	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3569	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3570	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3596	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3778	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3791	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3855	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3856	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3882	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3897	Conventional_Clear_Cell_Renal_Cell_Carcinoma
3945	Conventional_Clear_Cell_Renal_Cell_Carcinoma
4074	Conventional_Clear_Cell_Renal_Cell_Carcinoma
4233	Conventional_Clear_Cell_Renal_Cell_Carcinoma
4286	Conventional_Clear_Cell_Renal_Cell_Carcinoma
4585	Conventional_Clear_Cell_Renal_Cell_Carcinoma
4771	Conventional_Clear_Cell_Renal_Cell_Carcinoma
4919	Conventional_Clear_Cell_Renal_Cell_Carcinoma
4968	Conventional_Clear_Cell_Renal_Cell_Carcinoma
5037	Conventional_Clear_Cell_Renal_Cell_Carcinoma
5058	Conventional_Clear_Cell_Renal_Cell_Carcinoma
5162	Conventional_Clear_Cell_Renal_Cell_Carcinoma
5230	Conventional_Clear_Cell_Renal_Cell_Carcinoma
5290	Conventional_Clear_Cell_Renal_Cell_Carcinoma
5443	Conventional_Clear_Cell_Renal_Cell_Carcinoma
5546	Conventional_Clear_Cell_Renal_Cell_Carcinoma
5599	Conventional_Clear_Cell_Renal_Cell_Carcinoma
5728	Conventional_Clear_Cell_Renal_Cell_Carcinoma
5743	Conventional_Clear_Cell_Renal_Cell_Carcinoma
5816	Conventional_Clear_Cell_Renal_Cell_Carcinoma
5970	Conventional_Clear_Cell_Renal_Cell_Carcinoma
6261	Conventional_Clear_Cell_Renal_Cell_Carcinoma
6423	Conventional_Clear_Cell_Renal_Cell_Carcinoma
6513	Conventional_Clear_Cell_Renal_Cell_Carcinoma
6526	Conventional_Clear_Cell_Renal_Cell_Carcinoma
6648	Conventional_Clear_Cell_Renal_Cell_Carcinoma
6921	Conventional_Clear_Cell_Renal_Cell_Carcinoma
6927	Conventional_Clear_Cell_Renal_Cell_Carcinoma
6928	Conventional_Clear_Cell_Renal_Cell_Carcinoma
7010	Conventional_Clear_Cell_Renal_Cell_Carcinoma
7030	Conventional_Clear_Cell_Renal_Cell_Carcinoma
7052	Conventional_Clear_Cell_Renal_Cell_Carcinoma
7157	Conventional_Clear_Cell_Renal_Cell_Carcinoma
7248	Conventional_Clear_Cell_Renal_Cell_Carcinoma
7249	Conventional_Clear_Cell_Renal_Cell_Carcinoma
7403	Conventional_Clear_Cell_Renal_Cell_Carcinoma
7428	Conventional_Clear_Cell_Renal_Cell_Carcinoma
8019	Conventional_Clear_Cell_Renal_Cell_Carcinoma
8028	Conventional_Clear_Cell_Renal_Cell_Carcinoma
8242	Conventional_Clear_Cell_Renal_Cell_Carcinoma
8289	Conventional_Clear_Cell_Renal_Cell_Carcinoma
8314	Conventional_Clear_Cell_Renal_Cell_Carcinoma
8407	Conventional_Clear_Cell_Renal_Cell_Carcinoma
8633	Conventional_Clear_Cell_Renal_Cell_Carcinoma
8738	Conventional_Clear_Cell_Renal_Cell_Carcinoma
8743	Conventional_Clear_Cell_Renal_Cell_Carcinoma
8790	Conventional_Clear_Cell_Renal_Cell_Carcinoma
8821	Conventional_Clear_Cell_Renal_Cell_Carcinoma
9045	Conventional_Clear_Cell_Renal_Cell_Carcinoma
9370	Conventional_Clear_Cell_Renal_Cell_Carcinoma
9745	Conventional_Clear_Cell_Renal_Cell_Carcinoma
9817	Conventional_Clear_Cell_Renal_Cell_Carcinoma
9820	Conventional_Clear_Cell_Renal_Cell_Carcinoma
10397	Conventional_Clear_Cell_Renal_Cell_Carcinoma
10404	Conventional_Clear_Cell_Renal_Cell_Carcinoma
10461	Conventional_Clear_Cell_Renal_Cell_Carcinoma
10950	Conventional_Clear_Cell_Renal_Cell_Carcinoma
11214	Conventional_Clear_Cell_Renal_Cell_Carcinoma
11236	Conventional_Clear_Cell_Renal_Cell_Carcinoma
22858	Conventional_Clear_Cell_Renal_Cell_Carcinoma
23042	Conventional_Clear_Cell_Renal_Cell_Carcinoma
23224	Conventional_Clear_Cell_Renal_Cell_Carcinoma
23532	Conventional_Clear_Cell_Renal_Cell_Carcinoma
25844	Conventional_Clear_Cell_Renal_Cell_Carcinoma
25953	Conventional_Clear_Cell_Renal_Cell_Carcinoma
29072	Conventional_Clear_Cell_Renal_Cell_Carcinoma
50944	Conventional_Clear_Cell_Renal_Cell_Carcinoma
53353	Conventional_Clear_Cell_Renal_Cell_Carcinoma
53904	Conventional_Clear_Cell_Renal_Cell_Carcinoma
54790	Conventional_Clear_Cell_Renal_Cell_Carcinoma
55193	Conventional_Clear_Cell_Renal_Cell_Carcinoma
55367	Conventional_Clear_Cell_Renal_Cell_Carcinoma
55654	Conventional_Clear_Cell_Renal_Cell_Carcinoma
55745	Conventional_Clear_Cell_Renal_Cell_Carcinoma
55781	Conventional_Clear_Cell_Renal_Cell_Carcinoma
56776	Conventional_Clear_Cell_Renal_Cell_Carcinoma
57731	Conventional_Clear_Cell_Renal_Cell_Carcinoma
65061	Conventional_Clear_Cell_Renal_Cell_Carcinoma
65267	Conventional_Clear_Cell_Renal_Cell_Carcinoma
79026	Conventional_Clear_Cell_Renal_Cell_Carcinoma
79444	Conventional_Clear_Cell_Renal_Cell_Carcinoma
81562	Conventional_Clear_Cell_Renal_Cell_Carcinoma
84433	Conventional_Clear_Cell_Renal_Cell_Carcinoma
84925	Conventional_Clear_Cell_Renal_Cell_Carcinoma
85443	Conventional_Clear_Cell_Renal_Cell_Carcinoma
89795	Conventional_Clear_Cell_Renal_Cell_Carcinoma
91661	Conventional_Clear_Cell_Renal_Cell_Carcinoma
91662	Conventional_Clear_Cell_Renal_Cell_Carcinoma
91752	Conventional_Clear_Cell_Renal_Cell_Carcinoma
114788	Conventional_Clear_Cell_Renal_Cell_Carcinoma
120892	Conventional_Clear_Cell_Renal_Cell_Carcinoma
142685	Conventional_Clear_Cell_Renal_Cell_Carcinoma
144132	Conventional_Clear_Cell_Renal_Cell_Carcinoma
158584	Conventional_Clear_Cell_Renal_Cell_Carcinoma
201163	Conventional_Clear_Cell_Renal_Cell_Carcinoma
283092	Conventional_Clear_Cell_Renal_Cell_Carcinoma
284013	Conventional_Clear_Cell_Renal_Cell_Carcinoma
343930	Conventional_Clear_Cell_Renal_Cell_Carcinoma
374393	Conventional_Clear_Cell_Renal_Cell_Carcinoma
