Gene	Disease
54455	Cooked_vegetable_intake
114784	Cooked_vegetable_intake
127540	Cooked_vegetable_intake
127703	Cooked_vegetable_intake
284656	Cooked_vegetable_intake
4520	Cooked_vegetable_intake
3633	Cooked_vegetable_intake
10946	Cooked_vegetable_intake
126969	Cooked_vegetable_intake
51686	Cooked_vegetable_intake
11022	Cooked_vegetable_intake
57459	Cooked_vegetable_intake
9909	Cooked_vegetable_intake
200186	Cooked_vegetable_intake
27173	Cooked_vegetable_intake
148327	Cooked_vegetable_intake
10899	Cooked_vegetable_intake
5872	Cooked_vegetable_intake
6232	Cooked_vegetable_intake
91181	Cooked_vegetable_intake
7170	Cooked_vegetable_intake
388701	Cooked_vegetable_intake
25912	Cooked_vegetable_intake
9898	Cooked_vegetable_intake
6041	Cooked_vegetable_intake
3814	Cooked_vegetable_intake
5287	Cooked_vegetable_intake
388730	Cooked_vegetable_intake
5929	Cooked_vegetable_intake
9911	Cooked_vegetable_intake
85414	Cooked_vegetable_intake
29097	Cooked_vegetable_intake
80232	Cooked_vegetable_intake
149111	Cooked_vegetable_intake
89780	Cooked_vegetable_intake
375	Cooked_vegetable_intake
79573	Cooked_vegetable_intake
64801	Cooked_vegetable_intake
375061	Cooked_vegetable_intake
100302691	Cooked_vegetable_intake
100302129	Cooked_vegetable_intake
387640	Cooked_vegetable_intake
8028	Cooked_vegetable_intake
64215	Cooked_vegetable_intake
1847	Cooked_vegetable_intake
2674	Cooked_vegetable_intake
374355	Cooked_vegetable_intake
65975	Cooked_vegetable_intake
406	Cooked_vegetable_intake
25921	Cooked_vegetable_intake
219541	Cooked_vegetable_intake
51075	Cooked_vegetable_intake
643376	Cooked_vegetable_intake
1500	Cooked_vegetable_intake
219995	Cooked_vegetable_intake
22992	Cooked_vegetable_intake
338692	Cooked_vegetable_intake
54961	Cooked_vegetable_intake
5883	Cooked_vegetable_intake
5499	Cooked_vegetable_intake
57571	Cooked_vegetable_intake
5519	Cooked_vegetable_intake
2904	Cooked_vegetable_intake
283461	Cooked_vegetable_intake
8499	Cooked_vegetable_intake
283446	Cooked_vegetable_intake
8739	Cooked_vegetable_intake
11113	Cooked_vegetable_intake
5901	Cooked_vegetable_intake
27199	Cooked_vegetable_intake
10150	Cooked_vegetable_intake
79587	Cooked_vegetable_intake
100129794	Cooked_vegetable_intake
145282	Cooked_vegetable_intake
3169	Cooked_vegetable_intake
64919	Cooked_vegetable_intake
51550	Cooked_vegetable_intake
9895	Cooked_vegetable_intake
122416	Cooked_vegetable_intake
7187	Cooked_vegetable_intake
4212	Cooked_vegetable_intake
80031	Cooked_vegetable_intake
83464	Cooked_vegetable_intake
1489	Cooked_vegetable_intake
283932	Cooked_vegetable_intake
54620	Cooked_vegetable_intake
93129	Cooked_vegetable_intake
9739	Cooked_vegetable_intake
80270	Cooked_vegetable_intake
112755	Cooked_vegetable_intake
6810	Cooked_vegetable_intake
79759	Cooked_vegetable_intake
9726	Cooked_vegetable_intake
339105	Cooked_vegetable_intake
79001	Cooked_vegetable_intake
10295	Cooked_vegetable_intake
84148	Cooked_vegetable_intake
79068	Cooked_vegetable_intake
9501	Cooked_vegetable_intake
284085	Cooked_vegetable_intake
6830	Cooked_vegetable_intake
147011	Cooked_vegetable_intake
83871	Cooked_vegetable_intake
6147	Cooked_vegetable_intake
26808	Cooked_vegetable_intake
26773	Cooked_vegetable_intake
26809	Cooked_vegetable_intake
26772	Cooked_vegetable_intake
116238	Cooked_vegetable_intake
284086	Cooked_vegetable_intake
9618	Cooked_vegetable_intake
55731	Cooked_vegetable_intake
26284	Cooked_vegetable_intake
2145	Cooked_vegetable_intake
100190938	Cooked_vegetable_intake
10266	Cooked_vegetable_intake
2548	Cooked_vegetable_intake
23253	Cooked_vegetable_intake
84924	Cooked_vegetable_intake
339324	Cooked_vegetable_intake
374900	Cooked_vegetable_intake
147923	Cooked_vegetable_intake
199704	Cooked_vegetable_intake
2524	Cooked_vegetable_intake
284358	Cooked_vegetable_intake
54922	Cooked_vegetable_intake
284359	Cooked_vegetable_intake
2523	Cooked_vegetable_intake
26291	Cooked_vegetable_intake
646508	Cooked_vegetable_intake
10130	Cooked_vegetable_intake
55571	Cooked_vegetable_intake
284996	Cooked_vegetable_intake
10290	Cooked_vegetable_intake
29926	Cooked_vegetable_intake
55515	Cooked_vegetable_intake
23363	Cooked_vegetable_intake
84236	Cooked_vegetable_intake
1286	Cooked_vegetable_intake
55230	Cooked_vegetable_intake
149951	Cooked_vegetable_intake
10893	Cooked_vegetable_intake
8200	Cooked_vegetable_intake
