Gene	Disease
10	Coronary_Arteriosclerosis
28	Coronary_Arteriosclerosis
325	Coronary_Arteriosclerosis
335	Coronary_Arteriosclerosis
345	Coronary_Arteriosclerosis
490	Coronary_Arteriosclerosis
959	Coronary_Arteriosclerosis
1030	Coronary_Arteriosclerosis
1401	Coronary_Arteriosclerosis
1636	Coronary_Arteriosclerosis
2056	Coronary_Arteriosclerosis
2099	Coronary_Arteriosclerosis
2100	Coronary_Arteriosclerosis
2784	Coronary_Arteriosclerosis
2982	Coronary_Arteriosclerosis
3162	Coronary_Arteriosclerosis
3654	Coronary_Arteriosclerosis
3667	Coronary_Arteriosclerosis
3949	Coronary_Arteriosclerosis
3988	Coronary_Arteriosclerosis
4018	Coronary_Arteriosclerosis
4049	Coronary_Arteriosclerosis
4314	Coronary_Arteriosclerosis
4846	Coronary_Arteriosclerosis
4879	Coronary_Arteriosclerosis
5069	Coronary_Arteriosclerosis
5175	Coronary_Arteriosclerosis
5444	Coronary_Arteriosclerosis
5743	Coronary_Arteriosclerosis
6272	Coronary_Arteriosclerosis
6347	Coronary_Arteriosclerosis
6387	Coronary_Arteriosclerosis
6943	Coronary_Arteriosclerosis
7015	Coronary_Arteriosclerosis
7099	Coronary_Arteriosclerosis
7189	Coronary_Arteriosclerosis
7422	Coronary_Arteriosclerosis
8613	Coronary_Arteriosclerosis
9365	Coronary_Arteriosclerosis
9518	Coronary_Arteriosclerosis
10019	Coronary_Arteriosclerosis
10221	Coronary_Arteriosclerosis
10544	Coronary_Arteriosclerosis
11173	Coronary_Arteriosclerosis
22808	Coronary_Arteriosclerosis
23294	Coronary_Arteriosclerosis
23564	Coronary_Arteriosclerosis
25802	Coronary_Arteriosclerosis
51129	Coronary_Arteriosclerosis
51530	Coronary_Arteriosclerosis
55759	Coronary_Arteriosclerosis
57608	Coronary_Arteriosclerosis
64240	Coronary_Arteriosclerosis
64241	Coronary_Arteriosclerosis
64968	Coronary_Arteriosclerosis
80310	Coronary_Arteriosclerosis
84439	Coronary_Arteriosclerosis
84830	Coronary_Arteriosclerosis
116519	Coronary_Arteriosclerosis
221692	Coronary_Arteriosclerosis
255738	Coronary_Arteriosclerosis
283450	Coronary_Arteriosclerosis
375056	Coronary_Arteriosclerosis
406938	Coronary_Arteriosclerosis
574447	Coronary_Arteriosclerosis
