Gene	Disease
338	Coronary_heart_disease
348	Coronary_heart_disease
948	Coronary_heart_disease
1524	Coronary_heart_disease
1636	Coronary_heart_disease
2100	Coronary_heart_disease
3667	Coronary_heart_disease
3949	Coronary_heart_disease
4018	Coronary_heart_disease
4314	Coronary_heart_disease
4524	Coronary_heart_disease
5328	Coronary_heart_disease
5444	Coronary_heart_disease
6927	Coronary_heart_disease
6934	Coronary_heart_disease
7941	Coronary_heart_disease
8701	Coronary_heart_disease
22808	Coronary_heart_disease
51530	Coronary_heart_disease
55219	Coronary_heart_disease
64240	Coronary_heart_disease
79001	Coronary_heart_disease
80212	Coronary_heart_disease
407975	Coronary_heart_disease
