Gene	Disease
1401	Crohn_Disease
1788	Crohn_Disease
2335	Crohn_Disease
2358	Crohn_Disease
2524	Crohn_Disease
3123	Crohn_Disease
3458	Crohn_Disease
3479	Crohn_Disease
3559	Crohn_Disease
3569	Crohn_Disease
3586	Crohn_Disease
3593	Crohn_Disease
3717	Crohn_Disease
3952	Crohn_Disease
4088	Crohn_Disease
4485	Crohn_Disease
4524	Crohn_Disease
4583	Crohn_Disease
4689	Crohn_Disease
5465	Crohn_Disease
5468	Crohn_Disease
5771	Crohn_Disease
6347	Crohn_Disease
6556	Crohn_Disease
6583	Crohn_Disease
6584	Crohn_Disease
6774	Crohn_Disease
6932	Crohn_Disease
7099	Crohn_Disease
7124	Crohn_Disease
7297	Crohn_Disease
7448	Crohn_Disease
8929	Crohn_Disease
9370	Crohn_Disease
9971	Crohn_Disease
54106	Crohn_Disease
55054	Crohn_Disease
60468	Crohn_Disease
64127	Crohn_Disease
64167	Crohn_Disease
114548	Crohn_Disease
117289	Crohn_Disease
120892	Crohn_Disease
149233	Crohn_Disease
151306	Crohn_Disease
159296	Crohn_Disease
163486	Crohn_Disease
219771	Crohn_Disease
339145	Crohn_Disease
345611	Crohn_Disease
