Gene	Disease
847	Diabetes_Mellitus_InsulinDependent
969	Diabetes_Mellitus_InsulinDependent
1129	Diabetes_Mellitus_InsulinDependent
1356	Diabetes_Mellitus_InsulinDependent
1401	Diabetes_Mellitus_InsulinDependent
1512	Diabetes_Mellitus_InsulinDependent
1649	Diabetes_Mellitus_InsulinDependent
3117	Diabetes_Mellitus_InsulinDependent
3119	Diabetes_Mellitus_InsulinDependent
3123	Diabetes_Mellitus_InsulinDependent
3240	Diabetes_Mellitus_InsulinDependent
3291	Diabetes_Mellitus_InsulinDependent
3458	Diabetes_Mellitus_InsulinDependent
3479	Diabetes_Mellitus_InsulinDependent
3559	Diabetes_Mellitus_InsulinDependent
3569	Diabetes_Mellitus_InsulinDependent
3586	Diabetes_Mellitus_InsulinDependent
3630	Diabetes_Mellitus_InsulinDependent
3710	Diabetes_Mellitus_InsulinDependent
3767	Diabetes_Mellitus_InsulinDependent
4842	Diabetes_Mellitus_InsulinDependent
4846	Diabetes_Mellitus_InsulinDependent
5078	Diabetes_Mellitus_InsulinDependent
5588	Diabetes_Mellitus_InsulinDependent
6364	Diabetes_Mellitus_InsulinDependent
6556	Diabetes_Mellitus_InsulinDependent
6774	Diabetes_Mellitus_InsulinDependent
6833	Diabetes_Mellitus_InsulinDependent
6927	Diabetes_Mellitus_InsulinDependent
7124	Diabetes_Mellitus_InsulinDependent
7297	Diabetes_Mellitus_InsulinDependent
9131	Diabetes_Mellitus_InsulinDependent
10019	Diabetes_Mellitus_InsulinDependent
23274	Diabetes_Mellitus_InsulinDependent
26191	Diabetes_Mellitus_InsulinDependent
26291	Diabetes_Mellitus_InsulinDependent
29949	Diabetes_Mellitus_InsulinDependent
50604	Diabetes_Mellitus_InsulinDependent
50943	Diabetes_Mellitus_InsulinDependent
55315	Diabetes_Mellitus_InsulinDependent
60468	Diabetes_Mellitus_InsulinDependent
114904	Diabetes_Mellitus_InsulinDependent
169792	Diabetes_Mellitus_InsulinDependent
246778	Diabetes_Mellitus_InsulinDependent
100506742	Diabetes_Mellitus_InsulinDependent
