Gene	Disease
111	Diabetes_Mellitus_NonInsulinDependent
208	Diabetes_Mellitus_NonInsulinDependent
355	Diabetes_Mellitus_NonInsulinDependent
467	Diabetes_Mellitus_NonInsulinDependent
488	Diabetes_Mellitus_NonInsulinDependent
489	Diabetes_Mellitus_NonInsulinDependent
596	Diabetes_Mellitus_NonInsulinDependent
598	Diabetes_Mellitus_NonInsulinDependent
635	Diabetes_Mellitus_NonInsulinDependent
673	Diabetes_Mellitus_NonInsulinDependent
718	Diabetes_Mellitus_NonInsulinDependent
836	Diabetes_Mellitus_NonInsulinDependent
841	Diabetes_Mellitus_NonInsulinDependent
847	Diabetes_Mellitus_NonInsulinDependent
875	Diabetes_Mellitus_NonInsulinDependent
894	Diabetes_Mellitus_NonInsulinDependent
1036	Diabetes_Mellitus_NonInsulinDependent
1374	Diabetes_Mellitus_NonInsulinDependent
1535	Diabetes_Mellitus_NonInsulinDependent
1544	Diabetes_Mellitus_NonInsulinDependent
1889	Diabetes_Mellitus_NonInsulinDependent
1906	Diabetes_Mellitus_NonInsulinDependent
1909	Diabetes_Mellitus_NonInsulinDependent
1910	Diabetes_Mellitus_NonInsulinDependent
1956	Diabetes_Mellitus_NonInsulinDependent
2113	Diabetes_Mellitus_NonInsulinDependent
2641	Diabetes_Mellitus_NonInsulinDependent
2642	Diabetes_Mellitus_NonInsulinDependent
2645	Diabetes_Mellitus_NonInsulinDependent
2646	Diabetes_Mellitus_NonInsulinDependent
2740	Diabetes_Mellitus_NonInsulinDependent
2784	Diabetes_Mellitus_NonInsulinDependent
2813	Diabetes_Mellitus_NonInsulinDependent
2820	Diabetes_Mellitus_NonInsulinDependent
2876	Diabetes_Mellitus_NonInsulinDependent
2888	Diabetes_Mellitus_NonInsulinDependent
2944	Diabetes_Mellitus_NonInsulinDependent
3039	Diabetes_Mellitus_NonInsulinDependent
3087	Diabetes_Mellitus_NonInsulinDependent
3098	Diabetes_Mellitus_NonInsulinDependent
3127	Diabetes_Mellitus_NonInsulinDependent
3159	Diabetes_Mellitus_NonInsulinDependent
3162	Diabetes_Mellitus_NonInsulinDependent
3172	Diabetes_Mellitus_NonInsulinDependent
3240	Diabetes_Mellitus_NonInsulinDependent
3263	Diabetes_Mellitus_NonInsulinDependent
3375	Diabetes_Mellitus_NonInsulinDependent
3383	Diabetes_Mellitus_NonInsulinDependent
3397	Diabetes_Mellitus_NonInsulinDependent
3597	Diabetes_Mellitus_NonInsulinDependent
3630	Diabetes_Mellitus_NonInsulinDependent
3636	Diabetes_Mellitus_NonInsulinDependent
3643	Diabetes_Mellitus_NonInsulinDependent
3651	Diabetes_Mellitus_NonInsulinDependent
3667	Diabetes_Mellitus_NonInsulinDependent
3672	Diabetes_Mellitus_NonInsulinDependent
3767	Diabetes_Mellitus_NonInsulinDependent
3784	Diabetes_Mellitus_NonInsulinDependent
3952	Diabetes_Mellitus_NonInsulinDependent
3953	Diabetes_Mellitus_NonInsulinDependent
3990	Diabetes_Mellitus_NonInsulinDependent
4090	Diabetes_Mellitus_NonInsulinDependent
4143	Diabetes_Mellitus_NonInsulinDependent
4544	Diabetes_Mellitus_NonInsulinDependent
4760	Diabetes_Mellitus_NonInsulinDependent
4773	Diabetes_Mellitus_NonInsulinDependent
4790	Diabetes_Mellitus_NonInsulinDependent
4825	Diabetes_Mellitus_NonInsulinDependent
4843	Diabetes_Mellitus_NonInsulinDependent
4846	Diabetes_Mellitus_NonInsulinDependent
4853	Diabetes_Mellitus_NonInsulinDependent
4968	Diabetes_Mellitus_NonInsulinDependent
5066	Diabetes_Mellitus_NonInsulinDependent
5078	Diabetes_Mellitus_NonInsulinDependent
5080	Diabetes_Mellitus_NonInsulinDependent
5126	Diabetes_Mellitus_NonInsulinDependent
5167	Diabetes_Mellitus_NonInsulinDependent
5184	Diabetes_Mellitus_NonInsulinDependent
5465	Diabetes_Mellitus_NonInsulinDependent
5468	Diabetes_Mellitus_NonInsulinDependent
5506	Diabetes_Mellitus_NonInsulinDependent
5579	Diabetes_Mellitus_NonInsulinDependent
5629	Diabetes_Mellitus_NonInsulinDependent
5770	Diabetes_Mellitus_NonInsulinDependent
5891	Diabetes_Mellitus_NonInsulinDependent
5970	Diabetes_Mellitus_NonInsulinDependent
6049	Diabetes_Mellitus_NonInsulinDependent
6277	Diabetes_Mellitus_NonInsulinDependent
6344	Diabetes_Mellitus_NonInsulinDependent
6424	Diabetes_Mellitus_NonInsulinDependent
6462	Diabetes_Mellitus_NonInsulinDependent
6480	Diabetes_Mellitus_NonInsulinDependent
6506	Diabetes_Mellitus_NonInsulinDependent
6513	Diabetes_Mellitus_NonInsulinDependent
6514	Diabetes_Mellitus_NonInsulinDependent
6517	Diabetes_Mellitus_NonInsulinDependent
6581	Diabetes_Mellitus_NonInsulinDependent
6616	Diabetes_Mellitus_NonInsulinDependent
6647	Diabetes_Mellitus_NonInsulinDependent
6648	Diabetes_Mellitus_NonInsulinDependent
6833	Diabetes_Mellitus_NonInsulinDependent
6927	Diabetes_Mellitus_NonInsulinDependent
