Gene	Disease
5590	Exposure_to_tobacco_smoke_outside_home
8761	Exposure_to_tobacco_smoke_outside_home
677834	Exposure_to_tobacco_smoke_outside_home
23139	Exposure_to_tobacco_smoke_outside_home
8503	Exposure_to_tobacco_smoke_outside_home
400765	Exposure_to_tobacco_smoke_outside_home
83873	Exposure_to_tobacco_smoke_outside_home
2773	Exposure_to_tobacco_smoke_outside_home
2780	Exposure_to_tobacco_smoke_outside_home
5906	Exposure_to_tobacco_smoke_outside_home
55811	Exposure_to_tobacco_smoke_outside_home
460	Exposure_to_tobacco_smoke_outside_home
127829	Exposure_to_tobacco_smoke_outside_home
115019	Exposure_to_tobacco_smoke_outside_home
55432	Exposure_to_tobacco_smoke_outside_home
5208	Exposure_to_tobacco_smoke_outside_home
9859	Exposure_to_tobacco_smoke_outside_home
10806	Exposure_to_tobacco_smoke_outside_home
10000	Exposure_to_tobacco_smoke_outside_home
84989	Exposure_to_tobacco_smoke_outside_home
221035	Exposure_to_tobacco_smoke_outside_home
818	Exposure_to_tobacco_smoke_outside_home
5328	Exposure_to_tobacco_smoke_outside_home
414236	Exposure_to_tobacco_smoke_outside_home
54838	Exposure_to_tobacco_smoke_outside_home
1586	Exposure_to_tobacco_smoke_outside_home
57412	Exposure_to_tobacco_smoke_outside_home
54805	Exposure_to_tobacco_smoke_outside_home
22978	Exposure_to_tobacco_smoke_outside_home
55327	Exposure_to_tobacco_smoke_outside_home
497258	Exposure_to_tobacco_smoke_outside_home
627	Exposure_to_tobacco_smoke_outside_home
341019	Exposure_to_tobacco_smoke_outside_home
1656	Exposure_to_tobacco_smoke_outside_home
10956	Exposure_to_tobacco_smoke_outside_home
196446	Exposure_to_tobacco_smoke_outside_home
79023	Exposure_to_tobacco_smoke_outside_home
55010	Exposure_to_tobacco_smoke_outside_home
5367	Exposure_to_tobacco_smoke_outside_home
3479	Exposure_to_tobacco_smoke_outside_home
488	Exposure_to_tobacco_smoke_outside_home
1840	Exposure_to_tobacco_smoke_outside_home
8437	Exposure_to_tobacco_smoke_outside_home
23483	Exposure_to_tobacco_smoke_outside_home
160897	Exposure_to_tobacco_smoke_outside_home
22821	Exposure_to_tobacco_smoke_outside_home
90673	Exposure_to_tobacco_smoke_outside_home
4738	Exposure_to_tobacco_smoke_outside_home
51292	Exposure_to_tobacco_smoke_outside_home
26277	Exposure_to_tobacco_smoke_outside_home
4053	Exposure_to_tobacco_smoke_outside_home
57156	Exposure_to_tobacco_smoke_outside_home
