Gene	Disease
123	Fatty_Liver
330	Fatty_Liver
338	Fatty_Liver
412	Fatty_Liver
468	Fatty_Liver
540	Fatty_Liver
847	Fatty_Liver
866	Fatty_Liver
1051	Fatty_Liver
1281	Fatty_Liver
1545	Fatty_Liver
1571	Fatty_Liver
1588	Fatty_Liver
1649	Fatty_Liver
2147	Fatty_Liver
2149	Fatty_Liver
2875	Fatty_Liver
2876	Fatty_Liver
2879	Fatty_Liver
3032	Fatty_Liver
3038	Fatty_Liver
3087	Fatty_Liver
3169	Fatty_Liver
3440	Fatty_Liver
3576	Fatty_Liver
3630	Fatty_Liver
3949	Fatty_Liver
3952	Fatty_Liver
3953	Fatty_Liver
4143	Fatty_Liver
4547	Fatty_Liver
4609	Fatty_Liver
4780	Fatty_Liver
5054	Fatty_Liver
5443	Fatty_Liver
5444	Fatty_Liver
5465	Fatty_Liver
5467	Fatty_Liver
5686	Fatty_Liver
5728	Fatty_Liver
5757	Fatty_Liver
6347	Fatty_Liver
6514	Fatty_Liver
6647	Fatty_Liver
6648	Fatty_Liver
6720	Fatty_Liver
7018	Fatty_Liver
7099	Fatty_Liver
7124	Fatty_Liver
7351	Fatty_Liver
7494	Fatty_Liver
8431	Fatty_Liver
8856	Fatty_Liver
9315	Fatty_Liver
9376	Fatty_Liver
9420	Fatty_Liver
9572	Fatty_Liver
9971	Fatty_Liver
10062	Fatty_Liver
11035	Fatty_Liver
23171	Fatty_Liver
23411	Fatty_Liver
26291	Fatty_Liver
51129	Fatty_Liver
51547	Fatty_Liver
51635	Fatty_Liver
54205	Fatty_Liver
55748	Fatty_Liver
79661	Fatty_Liver
80339	Fatty_Liver
284111	Fatty_Liver
406903	Fatty_Liver
406924	Fatty_Liver
406931	Fatty_Liver
406942	Fatty_Liver
406946	Fatty_Liver
406952	Fatty_Liver
406959	Fatty_Liver
406974	Fatty_Liver
407002	Fatty_Liver
407037	Fatty_Liver
407040	Fatty_Liver
442892	Fatty_Liver
494333	Fatty_Liver
574434	Fatty_Liver
574506	Fatty_Liver
664617	Fatty_Liver
100313923	Fatty_Liver
