Gene	Disease
54874	Filtered_coffee_intake
333926	Filtered_coffee_intake
257106	Filtered_coffee_intake
390010	Filtered_coffee_intake
7189	Filtered_coffee_intake
341883	Filtered_coffee_intake
81614	Filtered_coffee_intake
8482	Filtered_coffee_intake
1543	Filtered_coffee_intake
1544	Filtered_coffee_intake
1445	Filtered_coffee_intake
79748	Filtered_coffee_intake
594855	Filtered_coffee_intake
25989	Filtered_coffee_intake
10066	Filtered_coffee_intake
4351	Filtered_coffee_intake
57184	Filtered_coffee_intake
9377	Filtered_coffee_intake
54913	Filtered_coffee_intake
192683	Filtered_coffee_intake
60490	Filtered_coffee_intake
124751	Filtered_coffee_intake
6154	Filtered_coffee_intake
9706	Filtered_coffee_intake
10642	Filtered_coffee_intake
11011	Filtered_coffee_intake
25800	Filtered_coffee_intake
10155	Filtered_coffee_intake
26122	Filtered_coffee_intake
140706	Filtered_coffee_intake
9254	Filtered_coffee_intake
285331	Filtered_coffee_intake
57732	Filtered_coffee_intake
10799	Filtered_coffee_intake
22999	Filtered_coffee_intake
196	Filtered_coffee_intake
27000	Filtered_coffee_intake
203245	Filtered_coffee_intake
114789	Filtered_coffee_intake
