Gene	Disease
148398	Frequency_of_friend_family_visits
26155	Frequency_of_friend_family_visits
84069	Frequency_of_friend_family_visits
3362	Frequency_of_friend_family_visits
255104	Frequency_of_friend_family_visits
4985	Frequency_of_friend_family_visits
6487	Frequency_of_friend_family_visits
9048	Frequency_of_friend_family_visits
9670	Frequency_of_friend_family_visits
6536	Frequency_of_friend_family_visits
55182	Frequency_of_friend_family_visits
8438	Frequency_of_friend_family_visits
10489	Frequency_of_friend_family_visits
257194	Frequency_of_friend_family_visits
256435	Frequency_of_friend_family_visits
50999	Frequency_of_friend_family_visits
343099	Frequency_of_friend_family_visits
1810	Frequency_of_friend_family_visits
1806	Frequency_of_friend_family_visits
400765	Frequency_of_friend_family_visits
57863	Frequency_of_friend_family_visits
4009	Frequency_of_friend_family_visits
22874	Frequency_of_friend_family_visits
221037	Frequency_of_friend_family_visits
100302150	Frequency_of_friend_family_visits
84989	Frequency_of_friend_family_visits
221035	Frequency_of_friend_family_visits
57178	Frequency_of_friend_family_visits
66005	Frequency_of_friend_family_visits
9793	Frequency_of_friend_family_visits
79841	Frequency_of_friend_family_visits
23360	Frequency_of_friend_family_visits
23279	Frequency_of_friend_family_visits
26011	Frequency_of_friend_family_visits
143684	Frequency_of_friend_family_visits
9702	Frequency_of_friend_family_visits
8898	Frequency_of_friend_family_visits
50863	Frequency_of_friend_family_visits
4815	Frequency_of_friend_family_visits
2059	Frequency_of_friend_family_visits
29951	Frequency_of_friend_family_visits
140461	Frequency_of_friend_family_visits
121275	Frequency_of_friend_family_visits
121274	Frequency_of_friend_family_visits
8091	Frequency_of_friend_family_visits
282809	Frequency_of_friend_family_visits
8693	Frequency_of_friend_family_visits
605	Frequency_of_friend_family_visits
26960	Frequency_of_friend_family_visits
81624	Frequency_of_friend_family_visits
57596	Frequency_of_friend_family_visits
115708	Frequency_of_friend_family_visits
321	Frequency_of_friend_family_visits
79834	Frequency_of_friend_family_visits
10363	Frequency_of_friend_family_visits
7755	Frequency_of_friend_family_visits
7760	Frequency_of_friend_family_visits
27327	Frequency_of_friend_family_visits
4150	Frequency_of_friend_family_visits
112476	Frequency_of_friend_family_visits
9961	Frequency_of_friend_family_visits
10143	Frequency_of_friend_family_visits
23293	Frequency_of_friend_family_visits
63826	Frequency_of_friend_family_visits
9196	Frequency_of_friend_family_visits
58485	Frequency_of_friend_family_visits
116840	Frequency_of_friend_family_visits
201161	Frequency_of_friend_family_visits
5606	Frequency_of_friend_family_visits
3768	Frequency_of_friend_family_visits
147179	Frequency_of_friend_family_visits
54894	Frequency_of_friend_family_visits
124535	Frequency_of_friend_family_visits
2186	Frequency_of_friend_family_visits
284018	Frequency_of_friend_family_visits
3838	Frequency_of_friend_family_visits
1837	Frequency_of_friend_family_visits
1005	Frequency_of_friend_family_visits
26251	Frequency_of_friend_family_visits
22850	Frequency_of_friend_family_visits
84552	Frequency_of_friend_family_visits
91304	Frequency_of_friend_family_visits
811	Frequency_of_friend_family_visits
199699	Frequency_of_friend_family_visits
3780	Frequency_of_friend_family_visits
9745	Frequency_of_friend_family_visits
1653	Frequency_of_friend_family_visits
51232	Frequency_of_friend_family_visits
6654	Frequency_of_friend_family_visits
3899	Frequency_of_friend_family_visits
6326	Frequency_of_friend_family_visits
29789	Frequency_of_friend_family_visits
348751	Frequency_of_friend_family_visits
285175	Frequency_of_friend_family_visits
6666	Frequency_of_friend_family_visits
1789	Frequency_of_friend_family_visits
22919	Frequency_of_friend_family_visits
388795	Frequency_of_friend_family_visits
140730	Frequency_of_friend_family_visits
57580	Frequency_of_friend_family_visits
10564	Frequency_of_friend_family_visits
1434	Frequency_of_friend_family_visits
6780	Frequency_of_friend_family_visits
55661	Frequency_of_friend_family_visits
57169	Frequency_of_friend_family_visits
441951	Frequency_of_friend_family_visits
692057	Frequency_of_friend_family_visits
79716	Frequency_of_friend_family_visits
2778	Frequency_of_friend_family_visits
114036	Frequency_of_friend_family_visits
51227	Frequency_of_friend_family_visits
7267	Frequency_of_friend_family_visits
257203	Frequency_of_friend_family_visits
11077	Frequency_of_friend_family_visits
23076	Frequency_of_friend_family_visits
25777	Frequency_of_friend_family_visits
2033	Frequency_of_friend_family_visits
83746	Frequency_of_friend_family_visits
150356	Frequency_of_friend_family_visits
5905	Frequency_of_friend_family_visits
23264	Frequency_of_friend_family_visits
7008	Frequency_of_friend_family_visits
10766	Frequency_of_friend_family_visits
84844	Frequency_of_friend_family_visits
50	Frequency_of_friend_family_visits
171568	Frequency_of_friend_family_visits
27254	Frequency_of_friend_family_visits
27351	Frequency_of_friend_family_visits
2547	Frequency_of_friend_family_visits
79640	Frequency_of_friend_family_visits
150365	Frequency_of_friend_family_visits
79879	Frequency_of_friend_family_visits
23171	Frequency_of_friend_family_visits
10777	Frequency_of_friend_family_visits
6405	Frequency_of_friend_family_visits
27086	Frequency_of_friend_family_visits
253559	Frequency_of_friend_family_visits
54464	Frequency_of_friend_family_visits
545	Frequency_of_friend_family_visits
5357	Frequency_of_friend_family_visits
6657	Frequency_of_friend_family_visits
54165	Frequency_of_friend_family_visits
26043	Frequency_of_friend_family_visits
165918	Frequency_of_friend_family_visits
54848	Frequency_of_friend_family_visits
152940	Frequency_of_friend_family_visits
50859	Frequency_of_friend_family_visits
3842	Frequency_of_friend_family_visits
115548	Frequency_of_friend_family_visits
134285	Frequency_of_friend_family_visits
1946	Frequency_of_friend_family_visits
64097	Frequency_of_friend_family_visits
654322	Frequency_of_friend_family_visits
56951	Frequency_of_friend_family_visits
10385	Frequency_of_friend_family_visits
