Gene	Disease
1945	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
1944	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
115019	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
55657	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
26297	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
7166	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
113174	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
219938	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
93589	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
11153	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
23479	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
26277	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
79007	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
2622	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
51031	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
126259	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
55201	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
25789	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
3241	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
30845	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
56261	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
54437	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
8999	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
439936	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
5145	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
6569	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
54438	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
221687	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
23376	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
9457	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
256130	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
619434	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
6096	Gas_or_solid_fuel_cooking_heating_A_gas_fire_that_you_use_regularly_in_winter_time
