Gene	Disease
118424	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
54587	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
54998	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
22802	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
9629	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
81611	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
23632	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
51107	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
79630	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
9129	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
23248	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
80222	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
1893	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
339500	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
10771	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
51317	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
113251	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
5042	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
9236	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
145788	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
9245	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
51704	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
218	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
3773	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
9581	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
7444	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
55120	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
10314	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
1373	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
1457	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
285362	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
10644	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
389203	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
55568	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
84539	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
285971	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
285888	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
320	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
256691	Handedness_chirality_laterality_Use_both_right_and_left_hands_equally
