Gene	Disease
1996	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
57708	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
23169	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
1806	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
400765	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
10768	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
114814	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
100302401	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
80019	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
26287	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
387712	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
11023	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
282974	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
254225	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
143570	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
9789	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
143884	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
219899	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
51267	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
80212	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
144348	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
7011	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
55632	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
23256	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
51218	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
146059	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
5955	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
646892	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
1800	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
5119	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
8447	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
7531	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
23293	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
8742	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
407977	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
8741	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
26168	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
968	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
9526	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
6665	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
9513	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
6462	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
112483	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
283987	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
25941	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
90480	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
1048	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
160	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
80199	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
81857	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
53635	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
11284	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
84335	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
79735	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
59283	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
10128	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
7444	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
3176	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
1781	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
8828	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
151477	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
10564	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
1434	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
6780	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
441951	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
692057	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
9334	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
100144597	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
64800	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
114112	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
2555	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
6164	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
6239	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
64577	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
340146	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
59351	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
221935	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
85865	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
93986	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
55750	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
286042	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
9258	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
90459	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
8658	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
4482	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
94137	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
203076	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
83595	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
54984	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
286046	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
66036	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
83648	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
640	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
2626	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
613210	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
613209	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
613211	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
9821	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
50484	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
51366	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
23414	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
25822	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
138724	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
2189	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
5774	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
6812	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
138428	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
158248	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
27433	Hands_free_device_speakerphone_use_with_mobile_phone_in_last_3_month
