Gene	Disease
23261	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
79932	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
7802	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
29889	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
1117	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
79084	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
128346	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
481	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
79805	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
84991	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
22984	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
51063	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
255022	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
5741	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
745	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
746	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
2237	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
9415	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
3992	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
256710	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
144404	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
54509	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
23067	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
51562	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
55148	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
4692	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
9727	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
8938	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
115939	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
84572	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
64718	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
51547	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
4097	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
282618	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
57622	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
9535	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
1089	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
1087	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
8807	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
401014	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
23626	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
9885	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
84541	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
152015	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
54946	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
10840	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
5359	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
10242	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
389203	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
8404	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
839	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
55521	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
91522	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
57396	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
347734	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
4794	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
10370	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
284	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
360	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
81932	Home_area_population_density_urban_or_rural_England_Wales_Urban_less_sparse
