Gene	Disease
23261	Home_location_north_co_ordinate_rounded
11313	Home_location_north_co_ordinate_rounded
2582	Home_location_north_co_ordinate_rounded
1269	Home_location_north_co_ordinate_rounded
55629	Home_location_north_co_ordinate_rounded
10772	Home_location_north_co_ordinate_rounded
127294	Home_location_north_co_ordinate_rounded
5792	Home_location_north_co_ordinate_rounded
1376	Home_location_north_co_ordinate_rounded
4116	Home_location_north_co_ordinate_rounded
7804	Home_location_north_co_ordinate_rounded
1117	Home_location_north_co_ordinate_rounded
200035	Home_location_north_co_ordinate_rounded
7139	Home_location_north_co_ordinate_rounded
7100	Home_location_north_co_ordinate_rounded
114548	Home_location_north_co_ordinate_rounded
5588	Home_location_north_co_ordinate_rounded
9790	Home_location_north_co_ordinate_rounded
399823	Home_location_north_co_ordinate_rounded
10539	Home_location_north_co_ordinate_rounded
2915	Home_location_north_co_ordinate_rounded
341032	Home_location_north_co_ordinate_rounded
8082	Home_location_north_co_ordinate_rounded
341359	Home_location_north_co_ordinate_rounded
390321	Home_location_north_co_ordinate_rounded
254786	Home_location_north_co_ordinate_rounded
390327	Home_location_north_co_ordinate_rounded
403284	Home_location_north_co_ordinate_rounded
5869	Home_location_north_co_ordinate_rounded
6821	Home_location_north_co_ordinate_rounded
64375	Home_location_north_co_ordinate_rounded
6231	Home_location_north_co_ordinate_rounded
2065	Home_location_north_co_ordinate_rounded
117177	Home_location_north_co_ordinate_rounded
23316	Home_location_north_co_ordinate_rounded
6910	Home_location_north_co_ordinate_rounded
9478	Home_location_north_co_ordinate_rounded
9761	Home_location_north_co_ordinate_rounded
84747	Home_location_north_co_ordinate_rounded
35	Home_location_north_co_ordinate_rounded
6541	Home_location_north_co_ordinate_rounded
23143	Home_location_north_co_ordinate_rounded
341676	Home_location_north_co_ordinate_rounded
1282	Home_location_north_co_ordinate_rounded
55701	Home_location_north_co_ordinate_rounded
11035	Home_location_north_co_ordinate_rounded
8747	Home_location_north_co_ordinate_rounded
317760	Home_location_north_co_ordinate_rounded
567	Home_location_north_co_ordinate_rounded
140691	Home_location_north_co_ordinate_rounded
3040	Home_location_north_co_ordinate_rounded
3039	Home_location_north_co_ordinate_rounded
7727	Home_location_north_co_ordinate_rounded
79585	Home_location_north_co_ordinate_rounded
9093	Home_location_north_co_ordinate_rounded
342346	Home_location_north_co_ordinate_rounded
3299	Home_location_north_co_ordinate_rounded
5306	Home_location_north_co_ordinate_rounded
59344	Home_location_north_co_ordinate_rounded
252983	Home_location_north_co_ordinate_rounded
3131	Home_location_north_co_ordinate_rounded
7298	Home_location_north_co_ordinate_rounded
55556	Home_location_north_co_ordinate_rounded
56984	Home_location_north_co_ordinate_rounded
79959	Home_location_north_co_ordinate_rounded
4772	Home_location_north_co_ordinate_rounded
56949	Home_location_north_co_ordinate_rounded
100131801	Home_location_north_co_ordinate_rounded
126006	Home_location_north_co_ordinate_rounded
6813	Home_location_north_co_ordinate_rounded
11140	Home_location_north_co_ordinate_rounded
5141	Home_location_north_co_ordinate_rounded
9817	Home_location_north_co_ordinate_rounded
125972	Home_location_north_co_ordinate_rounded
2217	Home_location_north_co_ordinate_rounded
57333	Home_location_north_co_ordinate_rounded
554235	Home_location_north_co_ordinate_rounded
11025	Home_location_north_co_ordinate_rounded
79168	Home_location_north_co_ordinate_rounded
342931	Home_location_north_co_ordinate_rounded
130271	Home_location_north_co_ordinate_rounded
57217	Home_location_north_co_ordinate_rounded
9378	Home_location_north_co_ordinate_rounded
151516	Home_location_north_co_ordinate_rounded
400960	Home_location_north_co_ordinate_rounded
5093	Home_location_north_co_ordinate_rounded
6439	Home_location_north_co_ordinate_rounded
164832	Home_location_north_co_ordinate_rounded
9486	Home_location_north_co_ordinate_rounded
84620	Home_location_north_co_ordinate_rounded
129684	Home_location_north_co_ordinate_rounded
4249	Home_location_north_co_ordinate_rounded
80122	Home_location_north_co_ordinate_rounded
23518	Home_location_north_co_ordinate_rounded
406915	Home_location_north_co_ordinate_rounded
23190	Home_location_north_co_ordinate_rounded
3938	Home_location_north_co_ordinate_rounded
4175	Home_location_north_co_ordinate_rounded
9936	Home_location_north_co_ordinate_rounded
4632	Home_location_north_co_ordinate_rounded
5798	Home_location_north_co_ordinate_rounded
55968	Home_location_north_co_ordinate_rounded
10326	Home_location_north_co_ordinate_rounded
25943	Home_location_north_co_ordinate_rounded
5126	Home_location_north_co_ordinate_rounded
149934	Home_location_north_co_ordinate_rounded
724033	Home_location_north_co_ordinate_rounded
2139	Home_location_north_co_ordinate_rounded
55653	Home_location_north_co_ordinate_rounded
50861	Home_location_north_co_ordinate_rounded
51750	Home_location_north_co_ordinate_rounded
140685	Home_location_north_co_ordinate_rounded
23515	Home_location_north_co_ordinate_rounded
8911	Home_location_north_co_ordinate_rounded
91392	Home_location_north_co_ordinate_rounded
115560	Home_location_north_co_ordinate_rounded
57456	Home_location_north_co_ordinate_rounded
56992	Home_location_north_co_ordinate_rounded
