Gene	Disease
26155	Hot_drink_temperature
339451	Hot_drink_temperature
401934	Hot_drink_temperature
65220	Hot_drink_temperature
2782	Hot_drink_temperature
163688	Hot_drink_temperature
339456	Hot_drink_temperature
6497	Hot_drink_temperature
23207	Hot_drink_temperature
50809	Hot_drink_temperature
8672	Hot_drink_temperature
100302155	Hot_drink_temperature
1889	Hot_drink_temperature
10076	Hot_drink_temperature
9682	Hot_drink_temperature
128209	Hot_drink_temperature
4774	Hot_drink_temperature
3716	Hot_drink_temperature
431707	Hot_drink_temperature
1806	Hot_drink_temperature
574406	Hot_drink_temperature
5692	Hot_drink_temperature
23126	Hot_drink_temperature
8751	Hot_drink_temperature
1945	Hot_drink_temperature
1944	Hot_drink_temperature
1942	Hot_drink_temperature
55974	Hot_drink_temperature
54344	Hot_drink_temperature
200185	Hot_drink_temperature
80128	Hot_drink_temperature
7059	Hot_drink_temperature
4580	Hot_drink_temperature
407046	Hot_drink_temperature
5087	Hot_drink_temperature
149297	Hot_drink_temperature
100126349	Hot_drink_temperature
57795	Hot_drink_temperature
3140	Hot_drink_temperature
51278	Hot_drink_temperature
255928	Hot_drink_temperature
9859	Hot_drink_temperature
10806	Hot_drink_temperature
219771	Hot_drink_temperature
170370	Hot_drink_temperature
253430	Hot_drink_temperature
55847	Hot_drink_temperature
219790	Hot_drink_temperature
220202	Hot_drink_temperature
80351	Hot_drink_temperature
79803	Hot_drink_temperature
54805	Hot_drink_temperature
22978	Hot_drink_temperature
22986	Hot_drink_temperature
4255	Hot_drink_temperature
256536	Hot_drink_temperature
8045	Hot_drink_temperature
53841	Hot_drink_temperature
81532	Hot_drink_temperature
1850	Hot_drink_temperature
338651	Hot_drink_temperature
387264	Hot_drink_temperature
7003	Hot_drink_temperature
55553	Hot_drink_temperature
55327	Hot_drink_temperature
497258	Hot_drink_temperature
627	Hot_drink_temperature
90139	Hot_drink_temperature
51317	Hot_drink_temperature
8567	Hot_drink_temperature
4607	Hot_drink_temperature
6688	Hot_drink_temperature
91252	Hot_drink_temperature
5702	Hot_drink_temperature
5913	Hot_drink_temperature
10658	Hot_drink_temperature
4722	Hot_drink_temperature
114971	Hot_drink_temperature
55709	Hot_drink_temperature
710	Hot_drink_temperature
219539	Hot_drink_temperature
10978	Hot_drink_temperature
25921	Hot_drink_temperature
219541	Hot_drink_temperature
51075	Hot_drink_temperature
643376	Hot_drink_temperature
1500	Hot_drink_temperature
219956	Hot_drink_temperature
219954	Hot_drink_temperature
219957	Hot_drink_temperature
2011	Hot_drink_temperature
283248	Hot_drink_temperature
79829	Hot_drink_temperature
1351	Hot_drink_temperature
55611	Hot_drink_temperature
28992	Hot_drink_temperature
23769	Hot_drink_temperature
10963	Hot_drink_temperature
83706	Hot_drink_temperature
83707	Hot_drink_temperature
55561	Hot_drink_temperature
55291	Hot_drink_temperature
55298	Hot_drink_temperature
10068	Hot_drink_temperature
4926	Hot_drink_temperature
220074	Hot_drink_temperature
55004	Hot_drink_temperature
25906	Hot_drink_temperature
84957	Hot_drink_temperature
23201	Hot_drink_temperature
143684	Hot_drink_temperature
9702	Hot_drink_temperature
253935	Hot_drink_temperature
1813	Hot_drink_temperature
57646	Hot_drink_temperature
50863	Hot_drink_temperature
6540	Hot_drink_temperature
5927	Hot_drink_temperature
84318	Hot_drink_temperature
283358	Hot_drink_temperature
775	Hot_drink_temperature
10436	Hot_drink_temperature
11331	Hot_drink_temperature
677777	Hot_drink_temperature
10162	Hot_drink_temperature
716	Hot_drink_temperature
253128	Hot_drink_temperature
2	Hot_drink_temperature
8082	Hot_drink_temperature
341359	Hot_drink_temperature
144245	Hot_drink_temperature
144402	Hot_drink_temperature
114134	Hot_drink_temperature
120892	Hot_drink_temperature
677794	Hot_drink_temperature
57701	Hot_drink_temperature
9498	Hot_drink_temperature
283377	Hot_drink_temperature
5908	Hot_drink_temperature
28981	Hot_drink_temperature
10094	Hot_drink_temperature
51184	Hot_drink_temperature
29902	Hot_drink_temperature
51699	Hot_drink_temperature
144715	Hot_drink_temperature
160760	Hot_drink_temperature
79600	Hot_drink_temperature
11113	Hot_drink_temperature
10795	Hot_drink_temperature
10631	Hot_drink_temperature
7223	Hot_drink_temperature
10160	Hot_drink_temperature
5583	Hot_drink_temperature
64093	Hot_drink_temperature
9369	Hot_drink_temperature
123096	Hot_drink_temperature
116179	Hot_drink_temperature
9836	Hot_drink_temperature
161823	Hot_drink_temperature
27229	Hot_drink_temperature
7158	Hot_drink_temperature
9677	Hot_drink_temperature
1159	Hot_drink_temperature
161497	Hot_drink_temperature
117155	Hot_drink_temperature
548596	Hot_drink_temperature
440278	Hot_drink_temperature
2923	Hot_drink_temperature
80237	Hot_drink_temperature
10169	Hot_drink_temperature
619189	Hot_drink_temperature
25764	Hot_drink_temperature
4236	Hot_drink_temperature
79968	Hot_drink_temperature
84978	Hot_drink_temperature
123346	Hot_drink_temperature
585	Hot_drink_temperature
83440	Hot_drink_temperature
80381	Hot_drink_temperature
100287616	Hot_drink_temperature
4016	Hot_drink_temperature
3671	Hot_drink_temperature
64220	Hot_drink_temperature
80125	Hot_drink_temperature
1583	Hot_drink_temperature
8482	Hot_drink_temperature
10620	Hot_drink_temperature
1198	Hot_drink_temperature
80153	Hot_drink_temperature
1543	Hot_drink_temperature
1544	Hot_drink_temperature
1445	Hot_drink_temperature
79748	Hot_drink_temperature
594855	Hot_drink_temperature
25989	Hot_drink_temperature
10066	Hot_drink_temperature
4351	Hot_drink_temperature
57184	Hot_drink_temperature
9377	Hot_drink_temperature
54913	Hot_drink_temperature
192683	Hot_drink_temperature
60490	Hot_drink_temperature
56905	Hot_drink_temperature
653643	Hot_drink_temperature
54939	Hot_drink_temperature
79661	Hot_drink_temperature
4123	Hot_drink_temperature
25942	Hot_drink_temperature
5780	Hot_drink_temperature
10073	Hot_drink_temperature
55272	Hot_drink_temperature
257364	Hot_drink_temperature
10363	Hot_drink_temperature
5045	Hot_drink_temperature
2242	Hot_drink_temperature
644192	Hot_drink_temperature
145814	Hot_drink_temperature
8912	Hot_drink_temperature
1877	Hot_drink_temperature
1775	Hot_drink_temperature
1632	Hot_drink_temperature
650655	Hot_drink_temperature
899	Hot_drink_temperature
7874	Hot_drink_temperature
27327	Hot_drink_temperature
4313	Hot_drink_temperature
84752	Hot_drink_temperature
29109	Hot_drink_temperature
6553	Hot_drink_temperature
55815	Hot_drink_temperature
80152	Hot_drink_temperature
10204	Hot_drink_temperature
23644	Hot_drink_temperature
123904	Hot_drink_temperature
1506	Hot_drink_temperature
5699	Hot_drink_temperature
6560	Hot_drink_temperature
4775	Hot_drink_temperature
80004	Hot_drink_temperature
23659	Hot_drink_temperature
27183	Hot_drink_temperature
64146	Hot_drink_temperature
51388	Hot_drink_temperature
146456	Hot_drink_temperature
7014	Hot_drink_temperature
440348	Hot_drink_temperature
497190	Hot_drink_temperature
55159	Hot_drink_temperature
197259	Hot_drink_temperature
124935	Hot_drink_temperature
114826	Hot_drink_temperature
201232	Hot_drink_temperature
162515	Hot_drink_temperature
8742	Hot_drink_temperature
407977	Hot_drink_temperature
6462	Hot_drink_temperature
112483	Hot_drink_temperature
6154	Hot_drink_temperature
10743	Hot_drink_temperature
140771	Hot_drink_temperature
51168	Hot_drink_temperature
3996	Hot_drink_temperature
2314	Hot_drink_temperature
7156	Hot_drink_temperature
140775	Hot_drink_temperature
254272	Hot_drink_temperature
11216	Hot_drink_temperature
644945	Hot_drink_temperature
124930	Hot_drink_temperature
84940	Hot_drink_temperature
85464	Hot_drink_temperature
124842	Hot_drink_temperature
80174	Hot_drink_temperature
4185	Hot_drink_temperature
10052	Hot_drink_temperature
10882	Hot_drink_temperature
4836	Hot_drink_temperature
113026	Hot_drink_temperature
79777	Hot_drink_temperature
10614	Hot_drink_temperature
124790	Hot_drink_temperature
4137	Hot_drink_temperature
246744	Hot_drink_temperature
100506084	Hot_drink_temperature
4905	Hot_drink_temperature
7473	Hot_drink_temperature
80320	Hot_drink_temperature
55163	Hot_drink_temperature
79170	Hot_drink_temperature
80279	Hot_drink_temperature
51226	Hot_drink_temperature
8631	Hot_drink_temperature
3218	Hot_drink_temperature
284076	Hot_drink_temperature
84073	Hot_drink_temperature
55040	Hot_drink_temperature
1353	Hot_drink_temperature
124540	Hot_drink_temperature
26115	Hot_drink_temperature
1534	Hot_drink_temperature
5578	Hot_drink_temperature
57332	Hot_drink_temperature
125058	Hot_drink_temperature
10458	Hot_drink_temperature
25794	Hot_drink_temperature
9123	Hot_drink_temperature
4864	Hot_drink_temperature
374864	Hot_drink_temperature
284260	Hot_drink_temperature
6860	Hot_drink_temperature
83473	Hot_drink_temperature
84064	Hot_drink_temperature
652991	Hot_drink_temperature
80323	Hot_drink_temperature
6925	Hot_drink_temperature
284273	Hot_drink_temperature
257062	Hot_drink_temperature
163154	Hot_drink_temperature
56931	Hot_drink_temperature
1463	Hot_drink_temperature
404037	Hot_drink_temperature
51079	Hot_drink_temperature
374887	Hot_drink_temperature
148113	Hot_drink_temperature
9745	Hot_drink_temperature
55957	Hot_drink_temperature
126393	Hot_drink_temperature
388536	Hot_drink_temperature
29950	Hot_drink_temperature
24139	Hot_drink_temperature
1760	Hot_drink_temperature
1762	Hot_drink_temperature
81492	Hot_drink_temperature
79673	Hot_drink_temperature
6664	Hot_drink_temperature
55252	Hot_drink_temperature
8884	Hot_drink_temperature
51374	Hot_drink_temperature
790	Hot_drink_temperature
7781	Hot_drink_temperature
285126	Hot_drink_temperature
57159	Hot_drink_temperature
7349	Hot_drink_temperature
4358	Hot_drink_temperature
2976	Hot_drink_temperature
8890	Hot_drink_temperature
9784	Hot_drink_temperature
130557	Hot_drink_temperature
5496	Hot_drink_temperature
29959	Hot_drink_temperature
200634	Hot_drink_temperature
26160	Hot_drink_temperature
64838	Hot_drink_temperature
2646	Hot_drink_temperature
9637	Hot_drink_temperature
90423	Hot_drink_temperature
23433	Hot_drink_temperature
5281	Hot_drink_temperature
9419	Hot_drink_temperature
4072	Hot_drink_temperature
7444	Hot_drink_temperature
55120	Hot_drink_temperature
23301	Hot_drink_temperature
100169989	Hot_drink_temperature
51057	Hot_drink_temperature
4190	Hot_drink_temperature
23233	Hot_drink_temperature
80059	Hot_drink_temperature
7535	Hot_drink_temperature
129521	Hot_drink_temperature
79031	Hot_drink_temperature
57628	Hot_drink_temperature
2019	Hot_drink_temperature
344148	Hot_drink_temperature
130013	Hot_drink_temperature
905	Hot_drink_temperature
401014	Hot_drink_temperature
1803	Hot_drink_temperature
2641	Hot_drink_temperature
64135	Hot_drink_temperature
2591	Hot_drink_temperature
6323	Hot_drink_temperature
254042	Hot_drink_temperature
3238	Hot_drink_temperature
3232	Hot_drink_temperature
3233	Hot_drink_temperature
66037	Hot_drink_temperature
5334	Hot_drink_temperature
205327	Hot_drink_temperature
129450	Hot_drink_temperature
26010	Hot_drink_temperature
150864	Hot_drink_temperature
3579	Hot_drink_temperature
3577	Hot_drink_temperature
10109	Hot_drink_temperature
151306	Hot_drink_temperature
14	Hot_drink_temperature
25953	Hot_drink_temperature
64114	Hot_drink_temperature
2637	Hot_drink_temperature
401036	Hot_drink_temperature
10267	Hot_drink_temperature
140885	Hot_drink_temperature
