Gene	Disease
204	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
10969	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
1579	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
5586	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
2959	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
912	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
388714	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
23418	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
163486	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
79573	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
64801	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
10000	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
9644	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
340980	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
57689	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
55343	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
1408	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
9479	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
710	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
219539	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
10978	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
25921	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
219541	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
51075	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
643376	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
1500	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
143684	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
9702	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
8898	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
5869	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
6821	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
64375	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
6231	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
2065	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
23344	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
140465	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
6601	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
3429	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
2567	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
54469	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
204219	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
64131	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
23293	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
63826	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
201176	How_are_people_in_household_related_to_participant_Husband,_wife_or_partner
