Gene	Disease
79639	Intake_of_sugar_added_to_coffee
5236	Intake_of_sugar_added_to_coffee
8751	Intake_of_sugar_added_to_coffee
8444	Intake_of_sugar_added_to_coffee
497258	Intake_of_sugar_added_to_coffee
627	Intake_of_sugar_added_to_coffee
10202	Intake_of_sugar_added_to_coffee
79068	Intake_of_sugar_added_to_coffee
10143	Intake_of_sugar_added_to_coffee
51341	Intake_of_sugar_added_to_coffee
57716	Intake_of_sugar_added_to_coffee
29950	Intake_of_sugar_added_to_coffee
6664	Intake_of_sugar_added_to_coffee
109	Intake_of_sugar_added_to_coffee
79823	Intake_of_sugar_added_to_coffee
7520	Intake_of_sugar_added_to_coffee
8537	Intake_of_sugar_added_to_coffee
23544	Intake_of_sugar_added_to_coffee
55722	Intake_of_sugar_added_to_coffee
170591	Intake_of_sugar_added_to_coffee
1105	Intake_of_sugar_added_to_coffee
6643	Intake_of_sugar_added_to_coffee
6310	Intake_of_sugar_added_to_coffee
389400	Intake_of_sugar_added_to_coffee
653	Intake_of_sugar_added_to_coffee
563	Intake_of_sugar_added_to_coffee
93986	Intake_of_sugar_added_to_coffee
100129654	Intake_of_sugar_added_to_coffee
286187	Intake_of_sugar_added_to_coffee
10987	Intake_of_sugar_added_to_coffee
79848	Intake_of_sugar_added_to_coffee
286319	Intake_of_sugar_added_to_coffee
80173	Intake_of_sugar_added_to_coffee
64922	Intake_of_sugar_added_to_coffee
