Gene	Disease
84065	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
84958	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
23223	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
6240	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
28992	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
23769	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
55138	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
5544	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
64207	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
348094	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
54550	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
9535	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
126272	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
163126	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
342933	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
9736	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
7514	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
26058	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
3769	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
55502	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
3911	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
80020	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
285331	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
79598	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
23036	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
57150	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
206412	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
135114	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
60487	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
5879	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
221955	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
11014	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
2592	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
3590	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
286362	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
254295	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
22845	Job_coding_secondary_school_teacher_or_teaching_professional_including_head_teacher
