Gene	Disease
19	Kidney_Failure_Chronic
38	Kidney_Failure_Chronic
213	Kidney_Failure_Chronic
353	Kidney_Failure_Chronic
847	Kidney_Failure_Chronic
873	Kidney_Failure_Chronic
949	Kidney_Failure_Chronic
968	Kidney_Failure_Chronic
1374	Kidney_Failure_Chronic
1401	Kidney_Failure_Chronic
1535	Kidney_Failure_Chronic
1536	Kidney_Failure_Chronic
1555	Kidney_Failure_Chronic
1557	Kidney_Failure_Chronic
1636	Kidney_Failure_Chronic
1839	Kidney_Failure_Chronic
2056	Kidney_Failure_Chronic
2168	Kidney_Failure_Chronic
2194	Kidney_Failure_Chronic
2981	Kidney_Failure_Chronic
3156	Kidney_Failure_Chronic
3162	Kidney_Failure_Chronic
3479	Kidney_Failure_Chronic
3569	Kidney_Failure_Chronic
4481	Kidney_Failure_Chronic
4627	Kidney_Failure_Chronic
4790	Kidney_Failure_Chronic
4803	Kidney_Failure_Chronic
5054	Kidney_Failure_Chronic
5076	Kidney_Failure_Chronic
5465	Kidney_Failure_Chronic
5742	Kidney_Failure_Chronic
5743	Kidney_Failure_Chronic
5970	Kidney_Failure_Chronic
6347	Kidney_Failure_Chronic
6720	Kidney_Failure_Chronic
6721	Kidney_Failure_Chronic
7040	Kidney_Failure_Chronic
7124	Kidney_Failure_Chronic
9370	Kidney_Failure_Chronic
9619	Kidney_Failure_Chronic
50507	Kidney_Failure_Chronic
51085	Kidney_Failure_Chronic
51094	Kidney_Failure_Chronic
51726	Kidney_Failure_Chronic
56729	Kidney_Failure_Chronic
57817	Kidney_Failure_Chronic
653361	Kidney_Failure_Chronic
