Gene	Disease
65220	Lamb_mutton_intake
2782	Lamb_mutton_intake
23261	Lamb_mutton_intake
23585	Lamb_mutton_intake
6006	Lamb_mutton_intake
84842	Lamb_mutton_intake
4595	Lamb_mutton_intake
114034	Lamb_mutton_intake
10420	Lamb_mutton_intake
3595	Lamb_mutton_intake
26135	Lamb_mutton_intake
257194	Lamb_mutton_intake
388730	Lamb_mutton_intake
5929	Lamb_mutton_intake
25778	Lamb_mutton_intake
9911	Lamb_mutton_intake
81788	Lamb_mutton_intake
5784	Lamb_mutton_intake
148789	Lamb_mutton_intake
340900	Lamb_mutton_intake
80114	Lamb_mutton_intake
4601	Lamb_mutton_intake
79892	Lamb_mutton_intake
81930	Lamb_mutton_intake
196074	Lamb_mutton_intake
51144	Lamb_mutton_intake
9793	Lamb_mutton_intake
4038	Lamb_mutton_intake
79096	Lamb_mutton_intake
29763	Lamb_mutton_intake
10978	Lamb_mutton_intake
25921	Lamb_mutton_intake
219541	Lamb_mutton_intake
51075	Lamb_mutton_intake
643376	Lamb_mutton_intake
1500	Lamb_mutton_intake
9376	Lamb_mutton_intake
10235	Lamb_mutton_intake
5837	Lamb_mutton_intake
4815	Lamb_mutton_intake
57101	Lamb_mutton_intake
23468	Lamb_mutton_intake
3178	Lamb_mutton_intake
55117	Lamb_mutton_intake
79023	Lamb_mutton_intake
55010	Lamb_mutton_intake
5367	Lamb_mutton_intake
3479	Lamb_mutton_intake
10198	Lamb_mutton_intake
91574	Lamb_mutton_intake
8099	Lamb_mutton_intake
8100	Lamb_mutton_intake
5101	Lamb_mutton_intake
4857	Lamb_mutton_intake
283578	Lamb_mutton_intake
57596	Lamb_mutton_intake
7187	Lamb_mutton_intake
64423	Lamb_mutton_intake
8926	Lamb_mutton_intake
85455	Lamb_mutton_intake
9960	Lamb_mutton_intake
91433	Lamb_mutton_intake
79585	Lamb_mutton_intake
114990	Lamb_mutton_intake
9093	Lamb_mutton_intake
57407	Lamb_mutton_intake
3163	Lamb_mutton_intake
29965	Lamb_mutton_intake
7874	Lamb_mutton_intake
400506	Lamb_mutton_intake
124152	Lamb_mutton_intake
388228	Lamb_mutton_intake
728741	Lamb_mutton_intake
728689	Lamb_mutton_intake
55911	Lamb_mutton_intake
246778	Lamb_mutton_intake
26471	Lamb_mutton_intake
6799	Lamb_mutton_intake
6817	Lamb_mutton_intake
728734	Lamb_mutton_intake
11273	Lamb_mutton_intake
7284	Lamb_mutton_intake
25970	Lamb_mutton_intake
487	Lamb_mutton_intake
23090	Lamb_mutton_intake
1009	Lamb_mutton_intake
6532	Lamb_mutton_intake
162394	Lamb_mutton_intake
47	Lamb_mutton_intake
201176	Lamb_mutton_intake
9842	Lamb_mutton_intake
1394	Lamb_mutton_intake
100128977	Lamb_mutton_intake
162540	Lamb_mutton_intake
4137	Lamb_mutton_intake
246744	Lamb_mutton_intake
284058	Lamb_mutton_intake
644246	Lamb_mutton_intake
100506084	Lamb_mutton_intake
9884	Lamb_mutton_intake
474170	Lamb_mutton_intake
51326	Lamb_mutton_intake
4905	Lamb_mutton_intake
7473	Lamb_mutton_intake
3214	Lamb_mutton_intake
22834	Lamb_mutton_intake
57332	Lamb_mutton_intake
57521	Lamb_mutton_intake
10458	Lamb_mutton_intake
55666	Lamb_mutton_intake
83539	Lamb_mutton_intake
4782	Lamb_mutton_intake
10270	Lamb_mutton_intake
26993	Lamb_mutton_intake
1891	Lamb_mutton_intake
3191	Lamb_mutton_intake
2901	Lamb_mutton_intake
64763	Lamb_mutton_intake
5452	Lamb_mutton_intake
162989	Lamb_mutton_intake
116115	Lamb_mutton_intake
10452	Lamb_mutton_intake
348	Lamb_mutton_intake
341	Lamb_mutton_intake
342	Lamb_mutton_intake
284358	Lamb_mutton_intake
54922	Lamb_mutton_intake
284359	Lamb_mutton_intake
2523	Lamb_mutton_intake
26291	Lamb_mutton_intake
114335	Lamb_mutton_intake
59348	Lamb_mutton_intake
109	Lamb_mutton_intake
7444	Lamb_mutton_intake
55120	Lamb_mutton_intake
100169989	Lamb_mutton_intake
151313	Lamb_mutton_intake
7535	Lamb_mutton_intake
23505	Lamb_mutton_intake
401014	Lamb_mutton_intake
390	Lamb_mutton_intake
9936	Lamb_mutton_intake
150864	Lamb_mutton_intake
9427	Lamb_mutton_intake
26058	Lamb_mutton_intake
3769	Lamb_mutton_intake
25791	Lamb_mutton_intake
54658	Lamb_mutton_intake
54575	Lamb_mutton_intake
54600	Lamb_mutton_intake
54577	Lamb_mutton_intake
54578	Lamb_mutton_intake
