Gene	Disease
25	Large_cell_carcinoma_of_lung
545	Large_cell_carcinoma_of_lung
660	Large_cell_carcinoma_of_lung
695	Large_cell_carcinoma_of_lung
814	Large_cell_carcinoma_of_lung
2042	Large_cell_carcinoma_of_lung
2044	Large_cell_carcinoma_of_lung
2260	Large_cell_carcinoma_of_lung
2475	Large_cell_carcinoma_of_lung
4750	Large_cell_carcinoma_of_lung
4916	Large_cell_carcinoma_of_lung
4921	Large_cell_carcinoma_of_lung
6098	Large_cell_carcinoma_of_lung
7273	Large_cell_carcinoma_of_lung
8295	Large_cell_carcinoma_of_lung
8573	Large_cell_carcinoma_of_lung
9113	Large_cell_carcinoma_of_lung
9578	Large_cell_carcinoma_of_lung
10221	Large_cell_carcinoma_of_lung
10746	Large_cell_carcinoma_of_lung
22853	Large_cell_carcinoma_of_lung
27330	Large_cell_carcinoma_of_lung
57538	Large_cell_carcinoma_of_lung
65267	Large_cell_carcinoma_of_lung
65975	Large_cell_carcinoma_of_lung
84446	Large_cell_carcinoma_of_lung
84630	Large_cell_carcinoma_of_lung
84700	Large_cell_carcinoma_of_lung
85443	Large_cell_carcinoma_of_lung
140803	Large_cell_carcinoma_of_lung
167359	Large_cell_carcinoma_of_lung
255239	Large_cell_carcinoma_of_lung
