Gene	Disease
26155	Leisure_social_activities_Religious_group
23261	Leisure_social_activities_Religious_group
10250	Leisure_social_activities_Religious_group
6487	Leisure_social_activities_Religious_group
9048	Leisure_social_activities_Religious_group
9670	Leisure_social_activities_Religious_group
1802	Leisure_social_activities_Religious_group
8704	Leisure_social_activities_Religious_group
9295	Leisure_social_activities_Religious_group
58511	Leisure_social_activities_Religious_group
343472	Leisure_social_activities_Religious_group
10768	Leisure_social_activities_Religious_group
51592	Leisure_social_activities_Religious_group
4893	Leisure_social_activities_Religious_group
7812	Leisure_social_activities_Religious_group
80143	Leisure_social_activities_Religious_group
81609	Leisure_social_activities_Religious_group
11189	Leisure_social_activities_Religious_group
284485	Leisure_social_activities_Religious_group
51686	Leisure_social_activities_Religious_group
9191	Leisure_social_activities_Religious_group
51506	Leisure_social_activities_Religious_group
339416	Leisure_social_activities_Religious_group
55157	Leisure_social_activities_Religious_group
60674	Leisure_social_activities_Religious_group
84614	Leisure_social_activities_Religious_group
1604	Leisure_social_activities_Religious_group
56950	Leisure_social_activities_Religious_group
128153	Leisure_social_activities_Religious_group
10659	Leisure_social_activities_Religious_group
22921	Leisure_social_activities_Religious_group
8030	Leisure_social_activities_Religious_group
288	Leisure_social_activities_Religious_group
7414	Leisure_social_activities_Religious_group
26985	Leisure_social_activities_Religious_group
132	Leisure_social_activities_Religious_group
143187	Leisure_social_activities_Religious_group
387712	Leisure_social_activities_Religious_group
1132	Leisure_social_activities_Religious_group
9828	Leisure_social_activities_Religious_group
84957	Leisure_social_activities_Religious_group
23201	Leisure_social_activities_Religious_group
1207	Leisure_social_activities_Religious_group
282679	Leisure_social_activities_Religious_group
51773	Leisure_social_activities_Religious_group
5547	Leisure_social_activities_Religious_group
85463	Leisure_social_activities_Religious_group
29951	Leisure_social_activities_Religious_group
2065	Leisure_social_activities_Religious_group
3458	Leisure_social_activities_Religious_group
144448	Leisure_social_activities_Religious_group
84125	Leisure_social_activities_Religious_group
8092	Leisure_social_activities_Religious_group
26259	Leisure_social_activities_Religious_group
54997	Leisure_social_activities_Religious_group
23457	Leisure_social_activities_Religious_group
79676	Leisure_social_activities_Religious_group
51329	Leisure_social_activities_Religious_group
57605	Leisure_social_activities_Religious_group
10198	Leisure_social_activities_Religious_group
91574	Leisure_social_activities_Religious_group
8099	Leisure_social_activities_Religious_group
6433	Leisure_social_activities_Religious_group
53342	Leisure_social_activities_Religious_group
64328	Leisure_social_activities_Religious_group
647174	Leisure_social_activities_Religious_group
26512	Leisure_social_activities_Religious_group
122183	Leisure_social_activities_Religious_group
27253	Leisure_social_activities_Religious_group
