Gene	Disease
9923	Light_smokers,_at_least_100_smokes_in_lifetime
5792	Light_smokers,_at_least_100_smokes_in_lifetime
9682	Light_smokers,_at_least_100_smokes_in_lifetime
7170	Light_smokers,_at_least_100_smokes_in_lifetime
5788	Light_smokers,_at_least_100_smokes_in_lifetime
56256	Light_smokers,_at_least_100_smokes_in_lifetime
220929	Light_smokers,_at_least_100_smokes_in_lifetime
253264	Light_smokers,_at_least_100_smokes_in_lifetime
54805	Light_smokers,_at_least_100_smokes_in_lifetime
22978	Light_smokers,_at_least_100_smokes_in_lifetime
10522	Light_smokers,_at_least_100_smokes_in_lifetime
283232	Light_smokers,_at_least_100_smokes_in_lifetime
3739	Light_smokers,_at_least_100_smokes_in_lifetime
2346	Light_smokers,_at_least_100_smokes_in_lifetime
283092	Light_smokers,_at_least_100_smokes_in_lifetime
283131	Light_smokers,_at_least_100_smokes_in_lifetime
1521	Light_smokers,_at_least_100_smokes_in_lifetime
9158	Light_smokers,_at_least_100_smokes_in_lifetime
11007	Light_smokers,_at_least_100_smokes_in_lifetime
8061	Light_smokers,_at_least_100_smokes_in_lifetime
144699	Light_smokers,_at_least_100_smokes_in_lifetime
5869	Light_smokers,_at_least_100_smokes_in_lifetime
6821	Light_smokers,_at_least_100_smokes_in_lifetime
2065	Light_smokers,_at_least_100_smokes_in_lifetime
9478	Light_smokers,_at_least_100_smokes_in_lifetime
84747	Light_smokers,_at_least_100_smokes_in_lifetime
35	Light_smokers,_at_least_100_smokes_in_lifetime
283480	Light_smokers,_at_least_100_smokes_in_lifetime
55860	Light_smokers,_at_least_100_smokes_in_lifetime
5684	Light_smokers,_at_least_100_smokes_in_lifetime
5926	Light_smokers,_at_least_100_smokes_in_lifetime
6495	Light_smokers,_at_least_100_smokes_in_lifetime
22890	Light_smokers,_at_least_100_smokes_in_lifetime
8747	Light_smokers,_at_least_100_smokes_in_lifetime
9369	Light_smokers,_at_least_100_smokes_in_lifetime
3658	Light_smokers,_at_least_100_smokes_in_lifetime
123688	Light_smokers,_at_least_100_smokes_in_lifetime
5685	Light_smokers,_at_least_100_smokes_in_lifetime
1138	Light_smokers,_at_least_100_smokes_in_lifetime
1136	Light_smokers,_at_least_100_smokes_in_lifetime
1143	Light_smokers,_at_least_100_smokes_in_lifetime
11173	Light_smokers,_at_least_100_smokes_in_lifetime
10933	Light_smokers,_at_least_100_smokes_in_lifetime
999	Light_smokers,_at_least_100_smokes_in_lifetime
79613	Light_smokers,_at_least_100_smokes_in_lifetime
256223	Light_smokers,_at_least_100_smokes_in_lifetime
7266	Light_smokers,_at_least_100_smokes_in_lifetime
28511	Light_smokers,_at_least_100_smokes_in_lifetime
201181	Light_smokers,_at_least_100_smokes_in_lifetime
10350	Light_smokers,_at_least_100_smokes_in_lifetime
6925	Light_smokers,_at_least_100_smokes_in_lifetime
2525	Light_smokers,_at_least_100_smokes_in_lifetime
3726	Light_smokers,_at_least_100_smokes_in_lifetime
7001	Light_smokers,_at_least_100_smokes_in_lifetime
10535	Light_smokers,_at_least_100_smokes_in_lifetime
23040	Light_smokers,_at_least_100_smokes_in_lifetime
150992	Light_smokers,_at_least_100_smokes_in_lifetime
80705	Light_smokers,_at_least_100_smokes_in_lifetime
129531	Light_smokers,_at_least_100_smokes_in_lifetime
254773	Light_smokers,_at_least_100_smokes_in_lifetime
129530	Light_smokers,_at_least_100_smokes_in_lifetime
10190	Light_smokers,_at_least_100_smokes_in_lifetime
9669	Light_smokers,_at_least_100_smokes_in_lifetime
51455	Light_smokers,_at_least_100_smokes_in_lifetime
10010	Light_smokers,_at_least_100_smokes_in_lifetime
3755	Light_smokers,_at_least_100_smokes_in_lifetime
337967	Light_smokers,_at_least_100_smokes_in_lifetime
337979	Light_smokers,_at_least_100_smokes_in_lifetime
337966	Light_smokers,_at_least_100_smokes_in_lifetime
337975	Light_smokers,_at_least_100_smokes_in_lifetime
100151643	Light_smokers,_at_least_100_smokes_in_lifetime
337879	Light_smokers,_at_least_100_smokes_in_lifetime
9922	Light_smokers,_at_least_100_smokes_in_lifetime
55129	Light_smokers,_at_least_100_smokes_in_lifetime
3699	Light_smokers,_at_least_100_smokes_in_lifetime
285203	Light_smokers,_at_least_100_smokes_in_lifetime
253559	Light_smokers,_at_least_100_smokes_in_lifetime
83894	Light_smokers,_at_least_100_smokes_in_lifetime
4208	Light_smokers,_at_least_100_smokes_in_lifetime
2651	Light_smokers,_at_least_100_smokes_in_lifetime
414778	Light_smokers,_at_least_100_smokes_in_lifetime
3139	Light_smokers,_at_least_100_smokes_in_lifetime
57497	Light_smokers,_at_least_100_smokes_in_lifetime
57464	Light_smokers,_at_least_100_smokes_in_lifetime
137970	Light_smokers,_at_least_100_smokes_in_lifetime
286	Light_smokers,_at_least_100_smokes_in_lifetime
4062	Light_smokers,_at_least_100_smokes_in_lifetime
