Gene	Disease
1802	Loud_music_exposure_frequency
653149	Loud_music_exposure_frequency
9019	Loud_music_exposure_frequency
81563	Loud_music_exposure_frequency
51706	Loud_music_exposure_frequency
728130	Loud_music_exposure_frequency
143662	Loud_music_exposure_frequency
10658	Loud_music_exposure_frequency
4722	Loud_music_exposure_frequency
55709	Loud_music_exposure_frequency
399888	Loud_music_exposure_frequency
114900	Loud_music_exposure_frequency
23788	Loud_music_exposure_frequency
4684	Loud_music_exposure_frequency
146330	Loud_music_exposure_frequency
5170	Loud_music_exposure_frequency
84961	Loud_music_exposure_frequency
5469	Loud_music_exposure_frequency
51755	Loud_music_exposure_frequency
84669	Loud_music_exposure_frequency
124773	Loud_music_exposure_frequency
10513	Loud_music_exposure_frequency
284018	Loud_music_exposure_frequency
54831	Loud_music_exposure_frequency
10452	Loud_music_exposure_frequency
348	Loud_music_exposure_frequency
29761	Loud_music_exposure_frequency
10317	Loud_music_exposure_frequency
56894	Loud_music_exposure_frequency
8320	Loud_music_exposure_frequency
11259	Loud_music_exposure_frequency
55646	Loud_music_exposure_frequency
27123	Loud_music_exposure_frequency
133418	Loud_music_exposure_frequency
26249	Loud_music_exposure_frequency
375612	Loud_music_exposure_frequency
6733	Loud_music_exposure_frequency
136306	Loud_music_exposure_frequency
