Gene	Disease
540	Malignant_neoplasm_of_kidney
558	Malignant_neoplasm_of_kidney
595	Malignant_neoplasm_of_kidney
673	Malignant_neoplasm_of_kidney
675	Malignant_neoplasm_of_kidney
883	Malignant_neoplasm_of_kidney
1027	Malignant_neoplasm_of_kidney
1543	Malignant_neoplasm_of_kidney
1978	Malignant_neoplasm_of_kidney
2271	Malignant_neoplasm_of_kidney
2952	Malignant_neoplasm_of_kidney
3558	Malignant_neoplasm_of_kidney
3604	Malignant_neoplasm_of_kidney
4233	Malignant_neoplasm_of_kidney
4771	Malignant_neoplasm_of_kidney
5243	Malignant_neoplasm_of_kidney
5594	Malignant_neoplasm_of_kidney
5595	Malignant_neoplasm_of_kidney
5728	Malignant_neoplasm_of_kidney
5743	Malignant_neoplasm_of_kidney
5894	Malignant_neoplasm_of_kidney
5902	Malignant_neoplasm_of_kidney
6390	Malignant_neoplasm_of_kidney
6528	Malignant_neoplasm_of_kidney
6596	Malignant_neoplasm_of_kidney
6648	Malignant_neoplasm_of_kidney
6790	Malignant_neoplasm_of_kidney
7157	Malignant_neoplasm_of_kidney
7166	Malignant_neoplasm_of_kidney
7178	Malignant_neoplasm_of_kidney
7249	Malignant_neoplasm_of_kidney
7428	Malignant_neoplasm_of_kidney
8314	Malignant_neoplasm_of_kidney
8743	Malignant_neoplasm_of_kidney
9235	Malignant_neoplasm_of_kidney
10397	Malignant_neoplasm_of_kidney
26052	Malignant_neoplasm_of_kidney
27306	Malignant_neoplasm_of_kidney
29089	Malignant_neoplasm_of_kidney
54880	Malignant_neoplasm_of_kidney
57817	Malignant_neoplasm_of_kidney
63979	Malignant_neoplasm_of_kidney
83593	Malignant_neoplasm_of_kidney
157570	Malignant_neoplasm_of_kidney
201163	Malignant_neoplasm_of_kidney
