Gene	Disease
207	Malignant_neoplasm_of_ovary
208	Malignant_neoplasm_of_ovary
240	Malignant_neoplasm_of_ovary
242	Malignant_neoplasm_of_ovary
306	Malignant_neoplasm_of_ovary
331	Malignant_neoplasm_of_ovary
332	Malignant_neoplasm_of_ovary
360	Malignant_neoplasm_of_ovary
374	Malignant_neoplasm_of_ovary
467	Malignant_neoplasm_of_ovary
540	Malignant_neoplasm_of_ovary
545	Malignant_neoplasm_of_ovary
607	Malignant_neoplasm_of_ovary
672	Malignant_neoplasm_of_ovary
673	Malignant_neoplasm_of_ovary
675	Malignant_neoplasm_of_ovary
857	Malignant_neoplasm_of_ovary
894	Malignant_neoplasm_of_ovary
898	Malignant_neoplasm_of_ovary
902	Malignant_neoplasm_of_ovary
999	Malignant_neoplasm_of_ovary
1027	Malignant_neoplasm_of_ovary
1499	Malignant_neoplasm_of_ovary
1545	Malignant_neoplasm_of_ovary
1647	Malignant_neoplasm_of_ovary
1796	Malignant_neoplasm_of_ovary
1801	Malignant_neoplasm_of_ovary
1909	Malignant_neoplasm_of_ovary
1956	Malignant_neoplasm_of_ovary
2064	Malignant_neoplasm_of_ovary
2069	Malignant_neoplasm_of_ovary
2072	Malignant_neoplasm_of_ovary
2074	Malignant_neoplasm_of_ovary
2099	Malignant_neoplasm_of_ovary
2122	Malignant_neoplasm_of_ovary
2194	Malignant_neoplasm_of_ovary
2246	Malignant_neoplasm_of_ovary
2348	Malignant_neoplasm_of_ovary
2475	Malignant_neoplasm_of_ovary
2516	Malignant_neoplasm_of_ovary
2898	Malignant_neoplasm_of_ovary
2956	Malignant_neoplasm_of_ovary
3219	Malignant_neoplasm_of_ovary
3231	Malignant_neoplasm_of_ovary
3235	Malignant_neoplasm_of_ovary
3237	Malignant_neoplasm_of_ovary
3569	Malignant_neoplasm_of_ovary
3572	Malignant_neoplasm_of_ovary
3576	Malignant_neoplasm_of_ovary
3590	Malignant_neoplasm_of_ovary
3845	Malignant_neoplasm_of_ovary
4072	Malignant_neoplasm_of_ovary
4233	Malignant_neoplasm_of_ovary
4288	Malignant_neoplasm_of_ovary
4292	Malignant_neoplasm_of_ovary
4361	Malignant_neoplasm_of_ovary
4436	Malignant_neoplasm_of_ovary
4609	Malignant_neoplasm_of_ovary
4831	Malignant_neoplasm_of_ovary
4978	Malignant_neoplasm_of_ovary
5071	Malignant_neoplasm_of_ovary
5290	Malignant_neoplasm_of_ovary
5295	Malignant_neoplasm_of_ovary
5378	Malignant_neoplasm_of_ovary
5395	Malignant_neoplasm_of_ovary
5501	Malignant_neoplasm_of_ovary
5594	Malignant_neoplasm_of_ovary
5595	Malignant_neoplasm_of_ovary
5604	Malignant_neoplasm_of_ovary
5655	Malignant_neoplasm_of_ovary
5728	Malignant_neoplasm_of_ovary
5819	Malignant_neoplasm_of_ovary
5889	Malignant_neoplasm_of_ovary
5892	Malignant_neoplasm_of_ovary
5934	Malignant_neoplasm_of_ovary
6502	Malignant_neoplasm_of_ovary
6513	Malignant_neoplasm_of_ovary
6528	Malignant_neoplasm_of_ovary
6597	Malignant_neoplasm_of_ovary
6647	Malignant_neoplasm_of_ovary
6648	Malignant_neoplasm_of_ovary
6678	Malignant_neoplasm_of_ovary
6774	Malignant_neoplasm_of_ovary
6794	Malignant_neoplasm_of_ovary
6935	Malignant_neoplasm_of_ovary
7015	Malignant_neoplasm_of_ovary
7099	Malignant_neoplasm_of_ovary
7157	Malignant_neoplasm_of_ovary
7158	Malignant_neoplasm_of_ovary
7298	Malignant_neoplasm_of_ovary
7476	Malignant_neoplasm_of_ovary
8314	Malignant_neoplasm_of_ovary
8516	Malignant_neoplasm_of_ovary
8626	Malignant_neoplasm_of_ovary
8631	Malignant_neoplasm_of_ovary
8725	Malignant_neoplasm_of_ovary
8743	Malignant_neoplasm_of_ovary
8991	Malignant_neoplasm_of_ovary
9055	Malignant_neoplasm_of_ovary
9149	Malignant_neoplasm_of_ovary
9474	Malignant_neoplasm_of_ovary
10013	Malignant_neoplasm_of_ovary
10232	Malignant_neoplasm_of_ovary
10381	Malignant_neoplasm_of_ovary
10395	Malignant_neoplasm_of_ovary
10413	Malignant_neoplasm_of_ovary
10533	Malignant_neoplasm_of_ovary
10645	Malignant_neoplasm_of_ovary
10772	Malignant_neoplasm_of_ovary
10775	Malignant_neoplasm_of_ovary
11170	Malignant_neoplasm_of_ovary
22800	Malignant_neoplasm_of_ovary
23210	Malignant_neoplasm_of_ovary
23213	Malignant_neoplasm_of_ovary
25803	Malignant_neoplasm_of_ovary
25976	Malignant_neoplasm_of_ovary
29086	Malignant_neoplasm_of_ovary
51029	Malignant_neoplasm_of_ovary
51755	Malignant_neoplasm_of_ovary
54796	Malignant_neoplasm_of_ovary
54801	Malignant_neoplasm_of_ovary
54894	Malignant_neoplasm_of_ovary
55379	Malignant_neoplasm_of_ovary
56952	Malignant_neoplasm_of_ovary
60487	Malignant_neoplasm_of_ovary
79084	Malignant_neoplasm_of_ovary
79156	Malignant_neoplasm_of_ovary
83636	Malignant_neoplasm_of_ovary
83990	Malignant_neoplasm_of_ovary
90355	Malignant_neoplasm_of_ovary
90506	Malignant_neoplasm_of_ovary
92421	Malignant_neoplasm_of_ovary
94025	Malignant_neoplasm_of_ovary
115761	Malignant_neoplasm_of_ovary
284058	Malignant_neoplasm_of_ovary
285601	Malignant_neoplasm_of_ovary
387775	Malignant_neoplasm_of_ovary
