Gene	Disease
28	Malignant_neoplasm_of_pancreas
196	Malignant_neoplasm_of_pancreas
208	Malignant_neoplasm_of_pancreas
324	Malignant_neoplasm_of_pancreas
472	Malignant_neoplasm_of_pancreas
546	Malignant_neoplasm_of_pancreas
558	Malignant_neoplasm_of_pancreas
598	Malignant_neoplasm_of_pancreas
672	Malignant_neoplasm_of_pancreas
675	Malignant_neoplasm_of_pancreas
688	Malignant_neoplasm_of_pancreas
699	Malignant_neoplasm_of_pancreas
960	Malignant_neoplasm_of_pancreas
999	Malignant_neoplasm_of_pancreas
1029	Malignant_neoplasm_of_pancreas
1209	Malignant_neoplasm_of_pancreas
1268	Malignant_neoplasm_of_pancreas
1269	Malignant_neoplasm_of_pancreas
1499	Malignant_neoplasm_of_pancreas
1616	Malignant_neoplasm_of_pancreas
1647	Malignant_neoplasm_of_pancreas
1806	Malignant_neoplasm_of_pancreas
1890	Malignant_neoplasm_of_pancreas
1956	Malignant_neoplasm_of_pancreas
2030	Malignant_neoplasm_of_pancreas
2033	Malignant_neoplasm_of_pancreas
2202	Malignant_neoplasm_of_pancreas
2258	Malignant_neoplasm_of_pancreas
2494	Malignant_neoplasm_of_pancreas
2543	Malignant_neoplasm_of_pancreas
3091	Malignant_neoplasm_of_pancreas
3164	Malignant_neoplasm_of_pancreas
3439	Malignant_neoplasm_of_pancreas
3440	Malignant_neoplasm_of_pancreas
3442	Malignant_neoplasm_of_pancreas
3576	Malignant_neoplasm_of_pancreas
3651	Malignant_neoplasm_of_pancreas
3791	Malignant_neoplasm_of_pancreas
3845	Malignant_neoplasm_of_pancreas
3939	Malignant_neoplasm_of_pancreas
4061	Malignant_neoplasm_of_pancreas
4072	Malignant_neoplasm_of_pancreas
4089	Malignant_neoplasm_of_pancreas
4221	Malignant_neoplasm_of_pancreas
4313	Malignant_neoplasm_of_pancreas
4318	Malignant_neoplasm_of_pancreas
4609	Malignant_neoplasm_of_pancreas
4792	Malignant_neoplasm_of_pancreas
5328	Malignant_neoplasm_of_pancreas
5349	Malignant_neoplasm_of_pancreas
5468	Malignant_neoplasm_of_pancreas
5727	Malignant_neoplasm_of_pancreas
5728	Malignant_neoplasm_of_pancreas
5743	Malignant_neoplasm_of_pancreas
5744	Malignant_neoplasm_of_pancreas
5909	Malignant_neoplasm_of_pancreas
5925	Malignant_neoplasm_of_pancreas
5932	Malignant_neoplasm_of_pancreas
6364	Malignant_neoplasm_of_pancreas
6416	Malignant_neoplasm_of_pancreas
6648	Malignant_neoplasm_of_pancreas
6690	Malignant_neoplasm_of_pancreas
6750	Malignant_neoplasm_of_pancreas
6751	Malignant_neoplasm_of_pancreas
6752	Malignant_neoplasm_of_pancreas
6753	Malignant_neoplasm_of_pancreas
6774	Malignant_neoplasm_of_pancreas
6794	Malignant_neoplasm_of_pancreas
6847	Malignant_neoplasm_of_pancreas
7015	Malignant_neoplasm_of_pancreas
7040	Malignant_neoplasm_of_pancreas
7052	Malignant_neoplasm_of_pancreas
7124	Malignant_neoplasm_of_pancreas
7157	Malignant_neoplasm_of_pancreas
7249	Malignant_neoplasm_of_pancreas
7298	Malignant_neoplasm_of_pancreas
7423	Malignant_neoplasm_of_pancreas
7428	Malignant_neoplasm_of_pancreas
7490	Malignant_neoplasm_of_pancreas
7980	Malignant_neoplasm_of_pancreas
8314	Malignant_neoplasm_of_pancreas
8626	Malignant_neoplasm_of_pancreas
8743	Malignant_neoplasm_of_pancreas
8795	Malignant_neoplasm_of_pancreas
8829	Malignant_neoplasm_of_pancreas
8837	Malignant_neoplasm_of_pancreas
9564	Malignant_neoplasm_of_pancreas
10232	Malignant_neoplasm_of_pancreas
11009	Malignant_neoplasm_of_pancreas
11199	Malignant_neoplasm_of_pancreas
23022	Malignant_neoplasm_of_pancreas
27086	Malignant_neoplasm_of_pancreas
54465	Malignant_neoplasm_of_pancreas
54894	Malignant_neoplasm_of_pancreas
79728	Malignant_neoplasm_of_pancreas
79783	Malignant_neoplasm_of_pancreas
84133	Malignant_neoplasm_of_pancreas
285282	Malignant_neoplasm_of_pancreas
100133941	Malignant_neoplasm_of_pancreas
100302235	Malignant_neoplasm_of_pancreas
100499467	Malignant_neoplasm_of_pancreas
100507056	Malignant_neoplasm_of_pancreas
