Gene	Disease
324	Mesothelioma
847	Mesothelioma
999	Mesothelioma
1027	Mesothelioma
1029	Mesothelioma
1734	Mesothelioma
1956	Mesothelioma
1958	Mesothelioma
2099	Mesothelioma
2246	Mesothelioma
2247	Mesothelioma
2272	Mesothelioma
2475	Mesothelioma
2662	Mesothelioma
2719	Mesothelioma
2934	Mesothelioma
2944	Mesothelioma
3458	Mesothelioma
4582	Mesothelioma
4771	Mesothelioma
4831	Mesothelioma
5154	Mesothelioma
5241	Mesothelioma
6648	Mesothelioma
6696	Mesothelioma
6850	Mesothelioma
7296	Mesothelioma
7515	Mesothelioma
7517	Mesothelioma
8314	Mesothelioma
10232	Mesothelioma
11186	Mesothelioma
22827	Mesothelioma
23210	Mesothelioma
23741	Mesothelioma
54716	Mesothelioma
55600	Mesothelioma
56034	Mesothelioma
84700	Mesothelioma
94274	Mesothelioma
100128252	Mesothelioma
