Gene	Disease
1952	Milk_type_used_Full_cream
84722	Milk_type_used_Full_cream
10000	Milk_type_used_Full_cream
1109	Milk_type_used_Full_cream
57700	Milk_type_used_Full_cream
142940	Milk_type_used_Full_cream
8525	Milk_type_used_Full_cream
4192	Milk_type_used_Full_cream
1132	Milk_type_used_Full_cream
55626	Milk_type_used_Full_cream
283254	Milk_type_used_Full_cream
9776	Milk_type_used_Full_cream
392	Milk_type_used_Full_cream
79797	Milk_type_used_Full_cream
2147	Milk_type_used_Full_cream
9793	Milk_type_used_Full_cream
4038	Milk_type_used_Full_cream
4607	Milk_type_used_Full_cream
6688	Milk_type_used_Full_cream
91252	Milk_type_used_Full_cream
5702	Milk_type_used_Full_cream
5913	Milk_type_used_Full_cream
10658	Milk_type_used_Full_cream
4722	Milk_type_used_Full_cream
114971	Milk_type_used_Full_cream
55709	Milk_type_used_Full_cream
399888	Milk_type_used_Full_cream
114900	Milk_type_used_Full_cream
23788	Milk_type_used_Full_cream
79841	Milk_type_used_Full_cream
23360	Milk_type_used_Full_cream
23279	Milk_type_used_Full_cream
63901	Milk_type_used_Full_cream
27289	Milk_type_used_Full_cream
3223	Milk_type_used_Full_cream
3221	Milk_type_used_Full_cream
3222	Milk_type_used_Full_cream
1848	Milk_type_used_Full_cream
121642	Milk_type_used_Full_cream
5587	Milk_type_used_Full_cream
79068	Milk_type_used_Full_cream
84299	Milk_type_used_Full_cream
5709	Milk_type_used_Full_cream
1440	Milk_type_used_Full_cream
9862	Milk_type_used_Full_cream
7067	Milk_type_used_Full_cream
9572	Milk_type_used_Full_cream
339287	Milk_type_used_Full_cream
93134	Milk_type_used_Full_cream
54811	Milk_type_used_Full_cream
162993	Milk_type_used_Full_cream
80714	Milk_type_used_Full_cream
284370	Milk_type_used_Full_cream
7138	Milk_type_used_Full_cream
109	Milk_type_used_Full_cream
22979	Milk_type_used_Full_cream
5443	Milk_type_used_Full_cream
87178	Milk_type_used_Full_cream
54842	Milk_type_used_Full_cream
22803	Milk_type_used_Full_cream
4821	Milk_type_used_Full_cream
284749	Milk_type_used_Full_cream
2033	Milk_type_used_Full_cream
83746	Milk_type_used_Full_cream
150356	Milk_type_used_Full_cream
5905	Milk_type_used_Full_cream
150372	Milk_type_used_Full_cream
729230	Milk_type_used_Full_cream
902	Milk_type_used_Full_cream
153396	Milk_type_used_Full_cream
645323	Milk_type_used_Full_cream
4208	Milk_type_used_Full_cream
221476	Milk_type_used_Full_cream
27115	Milk_type_used_Full_cream
441263	Milk_type_used_Full_cream
4899	Milk_type_used_Full_cream
389690	Milk_type_used_Full_cream
90865	Milk_type_used_Full_cream
55582	Milk_type_used_Full_cream
84267	Milk_type_used_Full_cream
