Gene	Disease
90529	Milk_type_used_Never_rarely_have_milk
57185	Milk_type_used_Never_rarely_have_milk
11123	Milk_type_used_Never_rarely_have_milk
54874	Milk_type_used_Never_rarely_have_milk
653519	Milk_type_used_Never_rarely_have_milk
2894	Milk_type_used_Never_rarely_have_milk
80351	Milk_type_used_Never_rarely_have_milk
79946	Milk_type_used_Never_rarely_have_milk
1075	Milk_type_used_Never_rarely_have_milk
143684	Milk_type_used_Never_rarely_have_milk
9702	Milk_type_used_Never_rarely_have_milk
8898	Milk_type_used_Never_rarely_have_milk
4684	Milk_type_used_Never_rarely_have_milk
6302	Milk_type_used_Never_rarely_have_milk
1019	Milk_type_used_Never_rarely_have_milk
1594	Milk_type_used_Never_rarely_have_milk
4234	Milk_type_used_Never_rarely_have_milk
10102	Milk_type_used_Never_rarely_have_milk
10677	Milk_type_used_Never_rarely_have_milk
10106	Milk_type_used_Never_rarely_have_milk
8683	Milk_type_used_Never_rarely_have_milk
8655	Milk_type_used_Never_rarely_have_milk
9921	Milk_type_used_Never_rarely_have_milk
51367	Milk_type_used_Never_rarely_have_milk
121665	Milk_type_used_Never_rarely_have_milk
319085	Milk_type_used_Never_rarely_have_milk
1583	Milk_type_used_Never_rarely_have_milk
5373	Milk_type_used_Never_rarely_have_milk
55512	Milk_type_used_Never_rarely_have_milk
1723	Milk_type_used_Never_rarely_have_milk
3240	Milk_type_used_Never_rarely_have_milk
3250	Milk_type_used_Never_rarely_have_milk
83449	Milk_type_used_Never_rarely_have_milk
100505591	Milk_type_used_Never_rarely_have_milk
8792	Milk_type_used_Never_rarely_have_milk
115704	Milk_type_used_Never_rarely_have_milk
80131	Milk_type_used_Never_rarely_have_milk
5609	Milk_type_used_Never_rarely_have_milk
125958	Milk_type_used_Never_rarely_have_milk
79086	Milk_type_used_Never_rarely_have_milk
2524	Milk_type_used_Never_rarely_have_milk
55120	Milk_type_used_Never_rarely_have_milk
80122	Milk_type_used_Never_rarely_have_milk
23518	Milk_type_used_Never_rarely_have_milk
406915	Milk_type_used_Never_rarely_have_milk
23190	Milk_type_used_Never_rarely_have_milk
3938	Milk_type_used_Never_rarely_have_milk
4175	Milk_type_used_Never_rarely_have_milk
116987	Milk_type_used_Never_rarely_have_milk
57337	Milk_type_used_Never_rarely_have_milk
8087	Milk_type_used_Never_rarely_have_milk
131118	Milk_type_used_Never_rarely_have_milk
345222	Milk_type_used_Never_rarely_have_milk
3083	Milk_type_used_Never_rarely_have_milk
2555	Milk_type_used_Never_rarely_have_milk
9061	Milk_type_used_Never_rarely_have_milk
23657	Milk_type_used_Never_rarely_have_milk
6189	Milk_type_used_Never_rarely_have_milk
152503	Milk_type_used_Never_rarely_have_milk
8944	Milk_type_used_Never_rarely_have_milk
2890	Milk_type_used_Never_rarely_have_milk
404220	Milk_type_used_Never_rarely_have_milk
3113	Milk_type_used_Never_rarely_have_milk
3115	Milk_type_used_Never_rarely_have_milk
168374	Milk_type_used_Never_rarely_have_milk
100271927	Milk_type_used_Never_rarely_have_milk
6440	Milk_type_used_Never_rarely_have_milk
1052	Milk_type_used_Never_rarely_have_milk
5591	Milk_type_used_Never_rarely_have_milk
4173	Milk_type_used_Never_rarely_have_milk
7336	Milk_type_used_Never_rarely_have_milk
203062	Milk_type_used_Never_rarely_have_milk
23071	Milk_type_used_Never_rarely_have_milk
57706	Milk_type_used_Never_rarely_have_milk
