Gene	Disease
3104	Milk_type_used_Skimmed
9903	Milk_type_used_Skimmed
148479	Milk_type_used_Skimmed
55735	Milk_type_used_Skimmed
257194	Milk_type_used_Skimmed
9910	Milk_type_used_Skimmed
9293	Milk_type_used_Skimmed
55315	Milk_type_used_Skimmed
6157	Milk_type_used_Skimmed
341019	Milk_type_used_Skimmed
1408	Milk_type_used_Skimmed
51317	Milk_type_used_Skimmed
8525	Milk_type_used_Skimmed
55626	Milk_type_used_Skimmed
283254	Milk_type_used_Skimmed
9776	Milk_type_used_Skimmed
392	Milk_type_used_Skimmed
2147	Milk_type_used_Skimmed
4607	Milk_type_used_Skimmed
6688	Milk_type_used_Skimmed
91252	Milk_type_used_Skimmed
5702	Milk_type_used_Skimmed
5913	Milk_type_used_Skimmed
10658	Milk_type_used_Skimmed
4722	Milk_type_used_Skimmed
114971	Milk_type_used_Skimmed
55709	Milk_type_used_Skimmed
399888	Milk_type_used_Skimmed
114900	Milk_type_used_Skimmed
23788	Milk_type_used_Skimmed
79841	Milk_type_used_Skimmed
23360	Milk_type_used_Skimmed
23279	Milk_type_used_Skimmed
441608	Milk_type_used_Skimmed
390190	Milk_type_used_Skimmed
390191	Milk_type_used_Skimmed
57558	Milk_type_used_Skimmed
9846	Milk_type_used_Skimmed
79731	Milk_type_used_Skimmed
4319	Milk_type_used_Skimmed
4684	Milk_type_used_Skimmed
116519	Milk_type_used_Skimmed
50846	Milk_type_used_Skimmed
57701	Milk_type_used_Skimmed
100286844	Milk_type_used_Skimmed
144233	Milk_type_used_Skimmed
196475	Milk_type_used_Skimmed
326625	Milk_type_used_Skimmed
1045	Milk_type_used_Skimmed
646625	Milk_type_used_Skimmed
9362	Milk_type_used_Skimmed
9101	Milk_type_used_Skimmed
373509	Milk_type_used_Skimmed
54822	Milk_type_used_Skimmed
4643	Milk_type_used_Skimmed
145773	Milk_type_used_Skimmed
653808	Milk_type_used_Skimmed
79068	Milk_type_used_Skimmed
23277	Milk_type_used_Skimmed
146691	Milk_type_used_Skimmed
91647	Milk_type_used_Skimmed
79018	Milk_type_used_Skimmed
1819	Milk_type_used_Skimmed
3959	Milk_type_used_Skimmed
124583	Milk_type_used_Skimmed
25789	Milk_type_used_Skimmed
1463	Milk_type_used_Skimmed
404037	Milk_type_used_Skimmed
53345	Milk_type_used_Skimmed
57794	Milk_type_used_Skimmed
54815	Milk_type_used_Skimmed
83983	Milk_type_used_Skimmed
51079	Milk_type_used_Skimmed
374887	Milk_type_used_Skimmed
148113	Milk_type_used_Skimmed
80714	Milk_type_used_Skimmed
27033	Milk_type_used_Skimmed
79713	Milk_type_used_Skimmed
199746	Milk_type_used_Skimmed
55851	Milk_type_used_Skimmed
55957	Milk_type_used_Skimmed
126393	Milk_type_used_Skimmed
341	Milk_type_used_Skimmed
338	Milk_type_used_Skimmed
22979	Milk_type_used_Skimmed
5443	Milk_type_used_Skimmed
2034	Milk_type_used_Skimmed
27332	Milk_type_used_Skimmed
8673	Milk_type_used_Skimmed
10791	Milk_type_used_Skimmed
51255	Milk_type_used_Skimmed
10713	Milk_type_used_Skimmed
130013	Milk_type_used_Skimmed
905	Milk_type_used_Skimmed
10203	Milk_type_used_Skimmed
7035	Milk_type_used_Skimmed
6120	Milk_type_used_Skimmed
151050	Milk_type_used_Skimmed
4632	Milk_type_used_Skimmed
55502	Milk_type_used_Skimmed
128821	Milk_type_used_Skimmed
4282	Milk_type_used_Skimmed
653689	Milk_type_used_Skimmed
1652	Milk_type_used_Skimmed
10766	Milk_type_used_Skimmed
84844	Milk_type_used_Skimmed
50	Milk_type_used_Skimmed
171568	Milk_type_used_Skimmed
27254	Milk_type_used_Skimmed
5372	Milk_type_used_Skimmed
27351	Milk_type_used_Skimmed
2547	Milk_type_used_Skimmed
79640	Milk_type_used_Skimmed
150365	Milk_type_used_Skimmed
79879	Milk_type_used_Skimmed
6942	Milk_type_used_Skimmed
1238	Milk_type_used_Skimmed
1582	Milk_type_used_Skimmed
23150	Milk_type_used_Skimmed
79929	Milk_type_used_Skimmed
55486	Milk_type_used_Skimmed
5099	Milk_type_used_Skimmed
51802	Milk_type_used_Skimmed
6999	Milk_type_used_Skimmed
1462	Milk_type_used_Skimmed
10866	Milk_type_used_Skimmed
5961	Milk_type_used_Skimmed
1750	Milk_type_used_Skimmed
858	Milk_type_used_Skimmed
55750	Milk_type_used_Skimmed
285962	Milk_type_used_Skimmed
494551	Milk_type_used_Skimmed
6742	Milk_type_used_Skimmed
50831	Milk_type_used_Skimmed
50832	Milk_type_used_Skimmed
54429	Milk_type_used_Skimmed
130075	Milk_type_used_Skimmed
23601	Milk_type_used_Skimmed
57180	Milk_type_used_Skimmed
54714	Milk_type_used_Skimmed
4325	Milk_type_used_Skimmed
83988	Milk_type_used_Skimmed
114788	Milk_type_used_Skimmed
4781	Milk_type_used_Skimmed
58499	Milk_type_used_Skimmed
8019	Milk_type_used_Skimmed
