Gene	Disease
60	Myocardial_Ischemia
153	Myocardial_Ischemia
154	Myocardial_Ischemia
166	Myocardial_Ischemia
183	Myocardial_Ischemia
203	Myocardial_Ischemia
226	Myocardial_Ischemia
334	Myocardial_Ischemia
374	Myocardial_Ischemia
389	Myocardial_Ischemia
406	Myocardial_Ischemia
476	Myocardial_Ischemia
595	Myocardial_Ischemia
713	Myocardial_Ischemia
811	Myocardial_Ischemia
817	Myocardial_Ischemia
821	Myocardial_Ischemia
894	Myocardial_Ischemia
948	Myocardial_Ischemia
952	Myocardial_Ischemia
1000	Myocardial_Ischemia
1052	Myocardial_Ischemia
1075	Myocardial_Ischemia
1153	Myocardial_Ischemia
1326	Myocardial_Ischemia
1329	Myocardial_Ischemia
1375	Myocardial_Ischemia
1398	Myocardial_Ischemia
1401	Myocardial_Ischemia
1432	Myocardial_Ischemia
1499	Myocardial_Ischemia
1634	Myocardial_Ischemia
1737	Myocardial_Ischemia
1843	Myocardial_Ischemia
1848	Myocardial_Ischemia
1906	Myocardial_Ischemia
1959	Myocardial_Ischemia
2006	Myocardial_Ischemia
2029	Myocardial_Ischemia
2052	Myocardial_Ischemia
2053	Myocardial_Ischemia
2150	Myocardial_Ischemia
2152	Myocardial_Ischemia
2171	Myocardial_Ischemia
2246	Myocardial_Ischemia
2247	Myocardial_Ischemia
2628	Myocardial_Ischemia
2634	Myocardial_Ischemia
2643	Myocardial_Ischemia
2690	Myocardial_Ischemia
2710	Myocardial_Ischemia
2729	Myocardial_Ischemia
2768	Myocardial_Ischemia
2920	Myocardial_Ischemia
2938	Myocardial_Ischemia
2946	Myocardial_Ischemia
2950	Myocardial_Ischemia
2992	Myocardial_Ischemia
3030	Myocardial_Ischemia
3082	Myocardial_Ischemia
3097	Myocardial_Ischemia
3098	Myocardial_Ischemia
3099	Myocardial_Ischemia
3146	Myocardial_Ischemia
3158	Myocardial_Ischemia
3162	Myocardial_Ischemia
3164	Myocardial_Ischemia
3303	Myocardial_Ischemia
3306	Myocardial_Ischemia
3313	Myocardial_Ischemia
3383	Myocardial_Ischemia
3397	Myocardial_Ischemia
3399	Myocardial_Ischemia
3459	Myocardial_Ischemia
3479	Myocardial_Ischemia
3486	Myocardial_Ischemia
3552	Myocardial_Ischemia
3553	Myocardial_Ischemia
3569	Myocardial_Ischemia
3572	Myocardial_Ischemia
3627	Myocardial_Ischemia
3659	Myocardial_Ischemia
3717	Myocardial_Ischemia
3726	Myocardial_Ischemia
3764	Myocardial_Ischemia
3791	Myocardial_Ischemia
4223	Myocardial_Ischemia
4254	Myocardial_Ischemia
4329	Myocardial_Ischemia
4478	Myocardial_Ischemia
4599	Myocardial_Ischemia
4691	Myocardial_Ischemia
4734	Myocardial_Ischemia
4792	Myocardial_Ischemia
4846	Myocardial_Ischemia
4878	Myocardial_Ischemia
5034	Myocardial_Ischemia
5037	Myocardial_Ischemia
5142	Myocardial_Ischemia
5160	Myocardial_Ischemia
5166	Myocardial_Ischemia
5209	Myocardial_Ischemia
5213	Myocardial_Ischemia
5236	Myocardial_Ischemia
5320	Myocardial_Ischemia
5443	Myocardial_Ischemia
5471	Myocardial_Ischemia
5495	Myocardial_Ischemia
5515	Myocardial_Ischemia
5534	Myocardial_Ischemia
5581	Myocardial_Ischemia
5693	Myocardial_Ischemia
5786	Myocardial_Ischemia
5834	Myocardial_Ischemia
5868	Myocardial_Ischemia
6139	Myocardial_Ischemia
6252	Myocardial_Ischemia
6258	Myocardial_Ischemia
6262	Myocardial_Ischemia
6347	Myocardial_Ischemia
6348	Myocardial_Ischemia
6351	Myocardial_Ischemia
6376	Myocardial_Ischemia
6401	Myocardial_Ischemia
6403	Myocardial_Ischemia
6533	Myocardial_Ischemia
6546	Myocardial_Ischemia
6648	Myocardial_Ischemia
6678	Myocardial_Ischemia
6776	Myocardial_Ischemia
6817	Myocardial_Ischemia
6890	Myocardial_Ischemia
6934	Myocardial_Ischemia
6935	Myocardial_Ischemia
7037	Myocardial_Ischemia
7091	Myocardial_Ischemia
7112	Myocardial_Ischemia
7124	Myocardial_Ischemia
7139	Myocardial_Ischemia
7296	Myocardial_Ischemia
7357	Myocardial_Ischemia
7386	Myocardial_Ischemia
7412	Myocardial_Ischemia
7422	Myocardial_Ischemia
7538	Myocardial_Ischemia
7846	Myocardial_Ischemia
7879	Myocardial_Ischemia
8313	Myocardial_Ischemia
8553	Myocardial_Ischemia
8773	Myocardial_Ischemia
9021	Myocardial_Ischemia
9314	Myocardial_Ischemia
9370	Myocardial_Ischemia
9451	Myocardial_Ischemia
9518	Myocardial_Ischemia
9588	Myocardial_Ischemia
9637	Myocardial_Ischemia
10059	Myocardial_Ischemia
10462	Myocardial_Ischemia
10611	Myocardial_Ischemia
10928	Myocardial_Ischemia
10959	Myocardial_Ischemia
10965	Myocardial_Ischemia
22919	Myocardial_Ischemia
23491	Myocardial_Ischemia
27020	Myocardial_Ischemia
28984	Myocardial_Ischemia
54738	Myocardial_Ischemia
60674	Myocardial_Ischemia
79924	Myocardial_Ischemia
81876	Myocardial_Ischemia
83939	Myocardial_Ischemia
83992	Myocardial_Ischemia
91543	Myocardial_Ischemia
117579	Myocardial_Ischemia
201475	Myocardial_Ischemia
