Gene	Disease
675	Nephroblastoma
1028	Nephroblastoma
1293	Nephroblastoma
1499	Nephroblastoma
2239	Nephroblastoma
2719	Nephroblastoma
3481	Nephroblastoma
4149	Nephroblastoma
4216	Nephroblastoma
4298	Nephroblastoma
4613	Nephroblastoma
4841	Nephroblastoma
5978	Nephroblastoma
6495	Nephroblastoma
7157	Nephroblastoma
7273	Nephroblastoma
7428	Nephroblastoma
7490	Nephroblastoma
8289	Nephroblastoma
9319	Nephroblastoma
10155	Nephroblastoma
10664	Nephroblastoma
10736	Nephroblastoma
11010	Nephroblastoma
11281	Nephroblastoma
23405	Nephroblastoma
29102	Nephroblastoma
54487	Nephroblastoma
54880	Nephroblastoma
57510	Nephroblastoma
63035	Nephroblastoma
79728	Nephroblastoma
129563	Nephroblastoma
139285	Nephroblastoma
171023	Nephroblastoma
283120	Nephroblastoma
