Gene	Disease
207	NonSmall_Cell_Lung_Carcinoma
208	NonSmall_Cell_Lung_Carcinoma
238	NonSmall_Cell_Lung_Carcinoma
324	NonSmall_Cell_Lung_Carcinoma
332	NonSmall_Cell_Lung_Carcinoma
356	NonSmall_Cell_Lung_Carcinoma
374	NonSmall_Cell_Lung_Carcinoma
467	NonSmall_Cell_Lung_Carcinoma
558	NonSmall_Cell_Lung_Carcinoma
673	NonSmall_Cell_Lung_Carcinoma
768	NonSmall_Cell_Lung_Carcinoma
841	NonSmall_Cell_Lung_Carcinoma
847	NonSmall_Cell_Lung_Carcinoma
902	NonSmall_Cell_Lung_Carcinoma
928	NonSmall_Cell_Lung_Carcinoma
931	NonSmall_Cell_Lung_Carcinoma
972	NonSmall_Cell_Lung_Carcinoma
1012	NonSmall_Cell_Lung_Carcinoma
1029	NonSmall_Cell_Lung_Carcinoma
1113	NonSmall_Cell_Lung_Carcinoma
1294	NonSmall_Cell_Lung_Carcinoma
1440	NonSmall_Cell_Lung_Carcinoma
1474	NonSmall_Cell_Lung_Carcinoma
1540	NonSmall_Cell_Lung_Carcinoma
1571	NonSmall_Cell_Lung_Carcinoma
1612	NonSmall_Cell_Lung_Carcinoma
1645	NonSmall_Cell_Lung_Carcinoma
1728	NonSmall_Cell_Lung_Carcinoma
1845	NonSmall_Cell_Lung_Carcinoma
1869	NonSmall_Cell_Lung_Carcinoma
1870	NonSmall_Cell_Lung_Carcinoma
1871	NonSmall_Cell_Lung_Carcinoma
1875	NonSmall_Cell_Lung_Carcinoma
1876	NonSmall_Cell_Lung_Carcinoma
1956	NonSmall_Cell_Lung_Carcinoma
2023	NonSmall_Cell_Lung_Carcinoma
2026	NonSmall_Cell_Lung_Carcinoma
2064	NonSmall_Cell_Lung_Carcinoma
2067	NonSmall_Cell_Lung_Carcinoma
2254	NonSmall_Cell_Lung_Carcinoma
2260	NonSmall_Cell_Lung_Carcinoma
2263	NonSmall_Cell_Lung_Carcinoma
2272	NonSmall_Cell_Lung_Carcinoma
2305	NonSmall_Cell_Lung_Carcinoma
