Gene	Disease
10691	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
51441	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
221035	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
23316	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
9612	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
11211	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
5891	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
79895	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
50615	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
84080	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
388284	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
4335	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
1394	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
100128977	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
4137	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
246744	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
284058	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
100506084	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
474170	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
51326	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
4905	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
7473	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
23031	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
5143	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
80745	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
6326	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
150291	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
22880	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
80319	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
401232	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
4835	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
6745	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
613210	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
6156	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
84955	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
5339	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
55848	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
79109	Non_butter_spread_type_details_Olive_oil_based_spread_eg_Bertolli
