Gene	Disease
148811	Non_butter_spread_type_details_Soft_tub_margarine
29982	Non_butter_spread_type_details_Soft_tub_margarine
221037	Non_butter_spread_type_details_Soft_tub_margarine
100302150	Non_butter_spread_type_details_Soft_tub_margarine
84989	Non_butter_spread_type_details_Soft_tub_margarine
7003	Non_butter_spread_type_details_Soft_tub_margarine
5702	Non_butter_spread_type_details_Soft_tub_margarine
5913	Non_butter_spread_type_details_Soft_tub_margarine
55709	Non_butter_spread_type_details_Soft_tub_margarine
5795	Non_butter_spread_type_details_Soft_tub_margarine
79703	Non_butter_spread_type_details_Soft_tub_margarine
5091	Non_butter_spread_type_details_Soft_tub_margarine
78999	Non_butter_spread_type_details_Soft_tub_margarine
254439	Non_butter_spread_type_details_Soft_tub_margarine
143684	Non_butter_spread_type_details_Soft_tub_margarine
9702	Non_butter_spread_type_details_Soft_tub_margarine
8898	Non_butter_spread_type_details_Soft_tub_margarine
57569	Non_butter_spread_type_details_Soft_tub_margarine
29127	Non_butter_spread_type_details_Soft_tub_margarine
55967	Non_butter_spread_type_details_Soft_tub_margarine
5641	Non_butter_spread_type_details_Soft_tub_margarine
91862	Non_butter_spread_type_details_Soft_tub_margarine
23035	Non_butter_spread_type_details_Soft_tub_margarine
164	Non_butter_spread_type_details_Soft_tub_margarine
692111	Non_butter_spread_type_details_Soft_tub_margarine
342371	Non_butter_spread_type_details_Soft_tub_margarine
9798	Non_butter_spread_type_details_Soft_tub_margarine
55565	Non_butter_spread_type_details_Soft_tub_margarine
51226	Non_butter_spread_type_details_Soft_tub_margarine
4779	Non_butter_spread_type_details_Soft_tub_margarine
339210	Non_butter_spread_type_details_Soft_tub_margarine
79665	Non_butter_spread_type_details_Soft_tub_margarine
8710	Non_butter_spread_type_details_Soft_tub_margarine
147381	Non_butter_spread_type_details_Soft_tub_margarine
84444	Non_butter_spread_type_details_Soft_tub_margarine
341	Non_butter_spread_type_details_Soft_tub_margarine
7288	Non_butter_spread_type_details_Soft_tub_margarine
4924	Non_butter_spread_type_details_Soft_tub_margarine
406915	Non_butter_spread_type_details_Soft_tub_margarine
26154	Non_butter_spread_type_details_Soft_tub_margarine
400932	Non_butter_spread_type_details_Soft_tub_margarine
11102	Non_butter_spread_type_details_Soft_tub_margarine
114112	Non_butter_spread_type_details_Soft_tub_margarine
116931	Non_butter_spread_type_details_Soft_tub_margarine
29909	Non_butter_spread_type_details_Soft_tub_margarine
9934	Non_butter_spread_type_details_Soft_tub_margarine
53836	Non_butter_spread_type_details_Soft_tub_margarine
53829	Non_butter_spread_type_details_Soft_tub_margarine
64805	Non_butter_spread_type_details_Soft_tub_margarine
51319	Non_butter_spread_type_details_Soft_tub_margarine
29970	Non_butter_spread_type_details_Soft_tub_margarine
118	Non_butter_spread_type_details_Soft_tub_margarine
80319	Non_butter_spread_type_details_Soft_tub_margarine
7920	Non_butter_spread_type_details_Soft_tub_margarine
80737	Non_butter_spread_type_details_Soft_tub_margarine
63943	Non_butter_spread_type_details_Soft_tub_margarine
10554	Non_butter_spread_type_details_Soft_tub_margarine
6048	Non_butter_spread_type_details_Soft_tub_margarine
50508	Non_butter_spread_type_details_Soft_tub_margarine
9732	Non_butter_spread_type_details_Soft_tub_margarine
79109	Non_butter_spread_type_details_Soft_tub_margarine
