Gene	Disease
124	Nonalcoholic_Fatty_Liver_Disease
125	Nonalcoholic_Fatty_Liver_Disease
127	Nonalcoholic_Fatty_Liver_Disease
191	Nonalcoholic_Fatty_Liver_Disease
196	Nonalcoholic_Fatty_Liver_Disease
216	Nonalcoholic_Fatty_Liver_Disease
217	Nonalcoholic_Fatty_Liver_Disease
219	Nonalcoholic_Fatty_Liver_Disease
355	Nonalcoholic_Fatty_Liver_Disease
847	Nonalcoholic_Fatty_Liver_Disease
929	Nonalcoholic_Fatty_Liver_Disease
949	Nonalcoholic_Fatty_Liver_Disease
1244	Nonalcoholic_Fatty_Liver_Disease
1374	Nonalcoholic_Fatty_Liver_Disease
1437	Nonalcoholic_Fatty_Liver_Disease
1544	Nonalcoholic_Fatty_Liver_Disease
1571	Nonalcoholic_Fatty_Liver_Disease
1586	Nonalcoholic_Fatty_Liver_Disease
1636	Nonalcoholic_Fatty_Liver_Disease
1728	Nonalcoholic_Fatty_Liver_Disease
2147	Nonalcoholic_Fatty_Liver_Disease
2350	Nonalcoholic_Fatty_Liver_Disease
2494	Nonalcoholic_Fatty_Liver_Disease
2938	Nonalcoholic_Fatty_Liver_Disease
2944	Nonalcoholic_Fatty_Liver_Disease
2950	Nonalcoholic_Fatty_Liver_Disease
2952	Nonalcoholic_Fatty_Liver_Disease
3552	Nonalcoholic_Fatty_Liver_Disease
3562	Nonalcoholic_Fatty_Liver_Disease
3565	Nonalcoholic_Fatty_Liver_Disease
3717	Nonalcoholic_Fatty_Liver_Disease
3949	Nonalcoholic_Fatty_Liver_Disease
3952	Nonalcoholic_Fatty_Liver_Disease
3976	Nonalcoholic_Fatty_Liver_Disease
4312	Nonalcoholic_Fatty_Liver_Disease
4780	Nonalcoholic_Fatty_Liver_Disease
5055	Nonalcoholic_Fatty_Liver_Disease
5166	Nonalcoholic_Fatty_Liver_Disease
5244	Nonalcoholic_Fatty_Liver_Disease
5465	Nonalcoholic_Fatty_Liver_Disease
5467	Nonalcoholic_Fatty_Liver_Disease
5551	Nonalcoholic_Fatty_Liver_Disease
5566	Nonalcoholic_Fatty_Liver_Disease
5578	Nonalcoholic_Fatty_Liver_Disease
5580	Nonalcoholic_Fatty_Liver_Disease
5581	Nonalcoholic_Fatty_Liver_Disease
5728	Nonalcoholic_Fatty_Liver_Disease
5897	Nonalcoholic_Fatty_Liver_Disease
5962	Nonalcoholic_Fatty_Liver_Disease
6720	Nonalcoholic_Fatty_Liver_Disease
7040	Nonalcoholic_Fatty_Liver_Disease
7133	Nonalcoholic_Fatty_Liver_Disease
7436	Nonalcoholic_Fatty_Liver_Disease
7494	Nonalcoholic_Fatty_Liver_Disease
8517	Nonalcoholic_Fatty_Liver_Disease
8614	Nonalcoholic_Fatty_Liver_Disease
8659	Nonalcoholic_Fatty_Liver_Disease
9370	Nonalcoholic_Fatty_Liver_Disease
9971	Nonalcoholic_Fatty_Liver_Disease
10400	Nonalcoholic_Fatty_Liver_Disease
23411	Nonalcoholic_Fatty_Liver_Disease
26291	Nonalcoholic_Fatty_Liver_Disease
27087	Nonalcoholic_Fatty_Liver_Disease
27102	Nonalcoholic_Fatty_Liver_Disease
27232	Nonalcoholic_Fatty_Liver_Disease
53345	Nonalcoholic_Fatty_Liver_Disease
57761	Nonalcoholic_Fatty_Liver_Disease
80339	Nonalcoholic_Fatty_Liver_Disease
152831	Nonalcoholic_Fatty_Liver_Disease
284217	Nonalcoholic_Fatty_Liver_Disease
