Gene	Disease
23499	Number_of_full_brothers
10000	Number_of_full_brothers
254427	Number_of_full_brothers
57178	Number_of_full_brothers
57522	Number_of_full_brothers
112487	Number_of_full_brothers
2856	Number_of_full_brothers
57578	Number_of_full_brothers
89978	Number_of_full_brothers
10125	Number_of_full_brothers
55066	Number_of_full_brothers
201305	Number_of_full_brothers
29098	Number_of_full_brothers
644246	Number_of_full_brothers
9884	Number_of_full_brothers
114876	Number_of_full_brothers
997	Number_of_full_brothers
610	Number_of_full_brothers
360200	Number_of_full_brothers
26517	Number_of_full_brothers
284433	Number_of_full_brothers
100130519	Number_of_full_brothers
3036	Number_of_full_brothers
79898	Number_of_full_brothers
50649	Number_of_full_brothers
1803	Number_of_full_brothers
4691	Number_of_full_brothers
6082	Number_of_full_brothers
25826	Number_of_full_brothers
63924	Number_of_full_brothers
5576	Number_of_full_brothers
788	Number_of_full_brothers
646450	Number_of_full_brothers
10425	Number_of_full_brothers
54681	Number_of_full_brothers
11180	Number_of_full_brothers
55152	Number_of_full_brothers
25915	Number_of_full_brothers
54870	Number_of_full_brothers
10869	Number_of_full_brothers
3913	Number_of_full_brothers
64925	Number_of_full_brothers
646498	Number_of_full_brothers
387	Number_of_full_brothers
8927	Number_of_full_brothers
389118	Number_of_full_brothers
339894	Number_of_full_brothers
7469	Number_of_full_brothers
27089	Number_of_full_brothers
116842	Number_of_full_brothers
133522	Number_of_full_brothers
56923	Number_of_full_brothers
1794	Number_of_full_brothers
80315	Number_of_full_brothers
133491	Number_of_full_brothers
51617	Number_of_full_brothers
80741	Number_of_full_brothers
3303	Number_of_full_brothers
116254	Number_of_full_brothers
11104	Number_of_full_brothers
9113	Number_of_full_brothers
348995	Number_of_full_brothers
5110	Number_of_full_brothers
84918	Number_of_full_brothers
81706	Number_of_full_brothers
84988	Number_of_full_brothers
2875	Number_of_full_brothers
113655	Number_of_full_brothers
9401	Number_of_full_brothers
9684	Number_of_full_brothers
441381	Number_of_full_brothers
414919	Number_of_full_brothers
8727	Number_of_full_brothers
2801	Number_of_full_brothers
402381	Number_of_full_brothers
