Gene	Disease
1613	Ovarian_Mucinous_Adenocarcinoma
2051	Ovarian_Mucinous_Adenocarcinoma
2065	Ovarian_Mucinous_Adenocarcinoma
2475	Ovarian_Mucinous_Adenocarcinoma
3055	Ovarian_Mucinous_Adenocarcinoma
4145	Ovarian_Mucinous_Adenocarcinoma
4638	Ovarian_Mucinous_Adenocarcinoma
4919	Ovarian_Mucinous_Adenocarcinoma
5218	Ovarian_Mucinous_Adenocarcinoma
6199	Ovarian_Mucinous_Adenocarcinoma
6259	Ovarian_Mucinous_Adenocarcinoma
7273	Ovarian_Mucinous_Adenocarcinoma
8295	Ovarian_Mucinous_Adenocarcinoma
8408	Ovarian_Mucinous_Adenocarcinoma
8999	Ovarian_Mucinous_Adenocarcinoma
9020	Ovarian_Mucinous_Adenocarcinoma
9625	Ovarian_Mucinous_Adenocarcinoma
9833	Ovarian_Mucinous_Adenocarcinoma
10188	Ovarian_Mucinous_Adenocarcinoma
10290	Ovarian_Mucinous_Adenocarcinoma
23139	Ovarian_Mucinous_Adenocarcinoma
26750	Ovarian_Mucinous_Adenocarcinoma
29959	Ovarian_Mucinous_Adenocarcinoma
53904	Ovarian_Mucinous_Adenocarcinoma
54861	Ovarian_Mucinous_Adenocarcinoma
65266	Ovarian_Mucinous_Adenocarcinoma
80216	Ovarian_Mucinous_Adenocarcinoma
120892	Ovarian_Mucinous_Adenocarcinoma
152110	Ovarian_Mucinous_Adenocarcinoma
388228	Ovarian_Mucinous_Adenocarcinoma
494551	Ovarian_Mucinous_Adenocarcinoma
