Gene	Disease
93183	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
3766	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
6900	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
25778	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
81328	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
81309	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
84767	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
390148	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
10798	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
282770	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
338674	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
219447	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
120586	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
390151	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
390152	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
219453	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
390154	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
219469	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
390157	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
219477	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
390162	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
390167	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
219493	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
6749	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
653247	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
84698	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
11010	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
11103	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
6710	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
55727	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
7528	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
145946	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
3029	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
27076	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
11237	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
54915	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
55954	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
84164	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
3957	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
401097	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
80319	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
654322	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
84651	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
643394	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
81545	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
6208	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
3340	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
285676	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
721	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
1589	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
9805	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
55033	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
84725	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
6733	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
137872	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
25934	Own_or_rent_accommodation_lived_in_Own_with_a_mortgage
