Gene	Disease
84618	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
51440	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
5792	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
9682	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
6487	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
9048	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
9670	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
1802	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
6536	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
8503	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
10103	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
55624	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
541468	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
5142	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
1810	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
127385	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
9970	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
88	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
259230	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
84545	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
57715	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
84445	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
10360	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
30819	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
5309	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
8729	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
5662	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
79176	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
23410	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
390036	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
10944	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
338645	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
497258	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
627	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
84767	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
390148	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
10798	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
282770	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
338674	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
219447	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
120586	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
390151	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
390152	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
81168	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
219453	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
282775	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
219464	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
390154	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
390155	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
219469	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
390157	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
219477	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
390162	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
219482	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
219484	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
390167	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
390168	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
338675	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
219493	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
57124	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
338699	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
60492	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
143684	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
9702	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
8898	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
23086	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
7753	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
4013	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
6540	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
5927	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
84318	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
4973	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
27289	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
85478	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
51303	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
377	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
7480	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
5204	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
8428	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
9362	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
4901	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
10577	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
122961	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
57617	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
4088	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
79719	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
257364	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
204219	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
197335	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
89941	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
9028	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
10273	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
339123	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
84219	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
146330	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
8938	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
115939	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
84572	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
64718	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
283951	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
92017	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
3683	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
79724	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
146542	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
146540	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
283932	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
54620	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
112755	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
6810	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
79759	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
9726	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
339105	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
79001	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
10295	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
84148	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
5652	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
146547	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
84937	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
57551	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
6777	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
284076	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
65264	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
11267	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
2695	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
27092	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
786	Own_or_rent_accommodation_lived_in_Rent_from_local_authority,_local_council,_housing_association
