Gene	Disease
142	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
216	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
478	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
1639	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
1644	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
1813	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
2629	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
2668	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
2936	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
4137	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
4803	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
5071	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
5173	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
5368	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
5428	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
5580	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
5617	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
6571	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
6622	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
7054	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
8575	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
8854	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
11315	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
23400	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
27429	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
55532	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
65018	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
120892	PARKINSON_DISEASE_2_AUTOSOMAL_RECESSIVE_JUVENILE
