Gene	Disease
219293	Past_tobacco_smoking
55629	Past_tobacco_smoking
10772	Past_tobacco_smoking
5928	Past_tobacco_smoking
149076	Past_tobacco_smoking
127550	Past_tobacco_smoking
1912	Past_tobacco_smoking
5792	Past_tobacco_smoking
9682	Past_tobacco_smoking
6487	Past_tobacco_smoking
1996	Past_tobacco_smoking
127795	Past_tobacco_smoking
5142	Past_tobacco_smoking
257194	Past_tobacco_smoking
51086	Past_tobacco_smoking
55170	Past_tobacco_smoking
10451	Past_tobacco_smoking
85369	Past_tobacco_smoking
257	Past_tobacco_smoking
260425	Past_tobacco_smoking
10745	Past_tobacco_smoking
54665	Past_tobacco_smoking
26191	Past_tobacco_smoking
3321	Past_tobacco_smoking
9398	Past_tobacco_smoking
57459	Past_tobacco_smoking
7170	Past_tobacco_smoking
388701	Past_tobacco_smoking
25912	Past_tobacco_smoking
9898	Past_tobacco_smoking
10456	Past_tobacco_smoking
1141	Past_tobacco_smoking
103	Past_tobacco_smoking
1942	Past_tobacco_smoking
55974	Past_tobacco_smoking
54344	Past_tobacco_smoking
200185	Past_tobacco_smoking
80128	Past_tobacco_smoking
4582	Past_tobacco_smoking
7059	Past_tobacco_smoking
4580	Past_tobacco_smoking
9722	Past_tobacco_smoking
2329	Past_tobacco_smoking
339416	Past_tobacco_smoking
55157	Past_tobacco_smoking
60674	Past_tobacco_smoking
126859	Past_tobacco_smoking
56956	Past_tobacco_smoking
255928	Past_tobacco_smoking
56256	Past_tobacco_smoking
6894	Past_tobacco_smoking
84288	Past_tobacco_smoking
403239	Past_tobacco_smoking
10531	Past_tobacco_smoking
222389	Past_tobacco_smoking
100302129	Past_tobacco_smoking
387640	Past_tobacco_smoking
8028	Past_tobacco_smoking
64215	Past_tobacco_smoking
10730	Past_tobacco_smoking
8829	Past_tobacco_smoking
221002	Past_tobacco_smoking
983	Past_tobacco_smoking
84159	Past_tobacco_smoking
83401	Past_tobacco_smoking
5309	Past_tobacco_smoking
8729	Past_tobacco_smoking
5662	Past_tobacco_smoking
79176	Past_tobacco_smoking
79004	Past_tobacco_smoking
79946	Past_tobacco_smoking
10121	Past_tobacco_smoking
51684	Past_tobacco_smoking
81603	Past_tobacco_smoking
403	Past_tobacco_smoking
118980	Past_tobacco_smoking
54838	Past_tobacco_smoking
1586	Past_tobacco_smoking
57412	Past_tobacco_smoking
54805	Past_tobacco_smoking
22978	Past_tobacco_smoking
9118	Past_tobacco_smoking
84108	Past_tobacco_smoking
22986	Past_tobacco_smoking
4892	Past_tobacco_smoking
387712	Past_tobacco_smoking
283089	Past_tobacco_smoking
340784	Past_tobacco_smoking
119587	Past_tobacco_smoking
390038	Past_tobacco_smoking
143503	Past_tobacco_smoking
81285	Past_tobacco_smoking
26496	Past_tobacco_smoking
4004	Past_tobacco_smoking
9866	Past_tobacco_smoking
3767	Past_tobacco_smoking
55327	Past_tobacco_smoking
497258	Past_tobacco_smoking
627	Past_tobacco_smoking
341019	Past_tobacco_smoking
5896	Past_tobacco_smoking
9479	Past_tobacco_smoking
143678	Past_tobacco_smoking
9409	Past_tobacco_smoking
51317	Past_tobacco_smoking
90993	Past_tobacco_smoking
8525	Past_tobacco_smoking
55626	Past_tobacco_smoking
283254	Past_tobacco_smoking
9776	Past_tobacco_smoking
392	Past_tobacco_smoking
79797	Past_tobacco_smoking
390195	Past_tobacco_smoking
219981	Past_tobacco_smoking
219982	Past_tobacco_smoking
219983	Past_tobacco_smoking
116085	Past_tobacco_smoking
9379	Past_tobacco_smoking
60494	Past_tobacco_smoking
120114	Past_tobacco_smoking
692075	Past_tobacco_smoking
4684	Past_tobacco_smoking
414899	Past_tobacco_smoking
26497	Past_tobacco_smoking
26494	Past_tobacco_smoking
