Gene	Disease
100302276	Plays_computer_games
646262	Plays_computer_games
23028	Plays_computer_games
7798	Plays_computer_games
10236	Plays_computer_games
80818	Plays_computer_games
8289	Plays_computer_games
55650	Plays_computer_games
84243	Plays_computer_games
2810	Plays_computer_games
54707	Plays_computer_games
63906	Plays_computer_games
10726	Plays_computer_games
8431	Plays_computer_games
388610	Plays_computer_games
114784	Plays_computer_games
127540	Plays_computer_games
2882	Plays_computer_games
5142	Plays_computer_games
257194	Plays_computer_games
343263	Plays_computer_games
6272	Plays_computer_games
5686	Plays_computer_games
284612	Plays_computer_games
127002	Plays_computer_games
284613	Plays_computer_games
57463	Plays_computer_games
204851	Plays_computer_games
5565	Plays_computer_games
2330	Plays_computer_games
51027	Plays_computer_games
9900	Plays_computer_games
10262	Plays_computer_games
10903	Plays_computer_games
11311	Plays_computer_games
51177	Plays_computer_games
81611	Plays_computer_games
23632	Plays_computer_games
51107	Plays_computer_games
79630	Plays_computer_games
9129	Plays_computer_games
23248	Plays_computer_games
80222	Plays_computer_games
1893	Plays_computer_games
79626	Plays_computer_games
79005	Plays_computer_games
388695	Plays_computer_games
29765	Plays_computer_games
10456	Plays_computer_games
55732	Plays_computer_games
92342	Plays_computer_games
57147	Plays_computer_games
22920	Plays_computer_games
23215	Plays_computer_games
777	Plays_computer_games
23271	Plays_computer_games
2848	Plays_computer_games
64710	Plays_computer_games
55740	Plays_computer_games
5664	Plays_computer_games
2590	Plays_computer_games
200150	Plays_computer_games
10771	Plays_computer_games
22982	Plays_computer_games
5599	Plays_computer_games
170370	Plays_computer_games
22891	Plays_computer_games
119504	Plays_computer_games
54788	Plays_computer_games
3778	Plays_computer_games
729238	Plays_computer_games
4143	Plays_computer_games
143241	Plays_computer_games
84332	Plays_computer_games
81619	Plays_computer_games
84896	Plays_computer_games
10580	Plays_computer_games
54838	Plays_computer_games
1586	Plays_computer_games
57412	Plays_computer_games
1847	Plays_computer_games
51703	Plays_computer_games
64429	Plays_computer_games
119587	Plays_computer_games
1488	Plays_computer_games
282973	Plays_computer_games
10570	Plays_computer_games
51286	Plays_computer_games
7275	Plays_computer_games
79608	Plays_computer_games
50862	Plays_computer_games
10894	Plays_computer_games
63982	Plays_computer_games
341019	Plays_computer_games
120526	Plays_computer_games
79832	Plays_computer_games
57689	Plays_computer_games
1643	Plays_computer_games
53	Plays_computer_games
10062	Plays_computer_games
8567	Plays_computer_games
4607	Plays_computer_games
91252	Plays_computer_games
5702	Plays_computer_games
5913	Plays_computer_games
10658	Plays_computer_games
4722	Plays_computer_games
55709	Plays_computer_games
399888	Plays_computer_games
5795	Plays_computer_games
349667	Plays_computer_games
8501	Plays_computer_games
219541	Plays_computer_games
219968	Plays_computer_games
9404	Plays_computer_games
80829	Plays_computer_games
1270	Plays_computer_games
10249	Plays_computer_games
7423	Plays_computer_games
2286	Plays_computer_games
26472	Plays_computer_games
5331	Plays_computer_games
572	Plays_computer_games
56834	Plays_computer_games
2101	Plays_computer_games
51504	Plays_computer_games
25824	Plays_computer_games
220359	Plays_computer_games
55690	Plays_computer_games
10897	Plays_computer_games
256472	Plays_computer_games
57124	Plays_computer_games
9610	Plays_computer_games
25855	Plays_computer_games
3177	Plays_computer_games
6712	Plays_computer_games
79703	Plays_computer_games
9986	Plays_computer_games
5091	Plays_computer_games
78999	Plays_computer_games
254439	Plays_computer_games
91683	Plays_computer_games
2915	Plays_computer_games
54970	Plays_computer_games
255239	Plays_computer_games
1813	Plays_computer_games
63876	Plays_computer_games
27087	Plays_computer_games
4839	Plays_computer_games
1108	Plays_computer_games
57121	Plays_computer_games
8079	Plays_computer_games
5763	Plays_computer_games
6660	Plays_computer_games
144360	Plays_computer_games
79962	Plays_computer_games
65244	Plays_computer_games
23468	Plays_computer_games
3178	Plays_computer_games
4778	Plays_computer_games
196475	Plays_computer_games
83892	Plays_computer_games
89910	Plays_computer_games
326625	Plays_computer_games
4598	Plays_computer_games
79369	Plays_computer_games
56616	Plays_computer_games
2971	Plays_computer_games
219402	Plays_computer_games
2322	Plays_computer_games
27253	Plays_computer_games
22873	Plays_computer_games
266722	Plays_computer_games
5587	Plays_computer_games
4149	Plays_computer_games
8816	Plays_computer_games
8892	Plays_computer_games
27030	Plays_computer_games
97	Plays_computer_games
79696	Plays_computer_games
91754	Plays_computer_games
10972	Plays_computer_games
64207	Plays_computer_games
9252	Plays_computer_games
4308	Plays_computer_games
11339	Plays_computer_games
51203	Plays_computer_games
51103	Plays_computer_games
23168	Plays_computer_games
3706	Plays_computer_games
4058	Plays_computer_games
23269	Plays_computer_games
80031	Plays_computer_games
9960	Plays_computer_games
283807	Plays_computer_games
8925	Plays_computer_games
27020	Plays_computer_games
79834	Plays_computer_games
10363	Plays_computer_games
3419	Plays_computer_games
1381	Plays_computer_games
9455	Plays_computer_games
26276	Plays_computer_games
283948	Plays_computer_games
645811	Plays_computer_games
7249	Plays_computer_games
2903	Plays_computer_games
400500	Plays_computer_games
27327	Plays_computer_games
115584	Plays_computer_games
146395	Plays_computer_games
253982	Plays_computer_games
253980	Plays_computer_games
124446	Plays_computer_games
79724	Plays_computer_games
1489	Plays_computer_games
283932	Plays_computer_games
54620	Plays_computer_games
93129	Plays_computer_games
9739	Plays_computer_games
80270	Plays_computer_games
112755	Plays_computer_games
6810	Plays_computer_games
79759	Plays_computer_games
9726	Plays_computer_games
339105	Plays_computer_games
79001	Plays_computer_games
10295	Plays_computer_games
84148	Plays_computer_games
5652	Plays_computer_games
146547	Plays_computer_games
3687	Plays_computer_games
865	Plays_computer_games
55336	Plays_computer_games
3299	Plays_computer_games
