Gene	Disease
400746	Pork_intake
128209	Pork_intake
55929	Pork_intake
84842	Pork_intake
4595	Pork_intake
114034	Pork_intake
10420	Pork_intake
25974	Pork_intake
5052	Pork_intake
23648	Pork_intake
619518	Pork_intake
257194	Pork_intake
653464	Pork_intake
5565	Pork_intake
9722	Pork_intake
388743	Pork_intake
171389	Pork_intake
84067	Pork_intake
1262	Pork_intake
283189	Pork_intake
219539	Pork_intake
10978	Pork_intake
25921	Pork_intake
219541	Pork_intake
51075	Pork_intake
643376	Pork_intake
1500	Pork_intake
341359	Pork_intake
4665	Pork_intake
11247	Pork_intake
6472	Pork_intake
11197	Pork_intake
23592	Pork_intake
56899	Pork_intake
22895	Pork_intake
5901	Pork_intake
83852	Pork_intake
51131	Pork_intake
84650	Pork_intake
3839	Pork_intake
692149	Pork_intake
1106	Pork_intake
1387	Pork_intake
79585	Pork_intake
114990	Pork_intake
7874	Pork_intake
5073	Pork_intake
55697	Pork_intake
100130894	Pork_intake
497190	Pork_intake
55159	Pork_intake
197259	Pork_intake
8383	Pork_intake
8388	Pork_intake
51087	Pork_intake
388336	Pork_intake
10458	Pork_intake
9658	Pork_intake
92960	Pork_intake
140467	Pork_intake
2901	Pork_intake
64763	Pork_intake
5452	Pork_intake
162989	Pork_intake
116115	Pork_intake
3991	Pork_intake
284340	Pork_intake
4059	Pork_intake
10452	Pork_intake
348	Pork_intake
341	Pork_intake
284358	Pork_intake
54922	Pork_intake
284359	Pork_intake
2523	Pork_intake
26291	Pork_intake
1788	Pork_intake
344405	Pork_intake
7444	Pork_intake
100169989	Pork_intake
3760	Pork_intake
85461	Pork_intake
9320	Pork_intake
130888	Pork_intake
92675	Pork_intake
79913	Pork_intake
140730	Pork_intake
114614	Pork_intake
54148	Pork_intake
58494	Pork_intake
116448	Pork_intake
1859	Pork_intake
55670	Pork_intake
214	Pork_intake
55167	Pork_intake
5096	Pork_intake
10274	Pork_intake
80216	Pork_intake
63973	Pork_intake
51574	Pork_intake
132430	Pork_intake
641365	Pork_intake
641364	Pork_intake
25836	Pork_intake
55100	Pork_intake
2668	Pork_intake
285600	Pork_intake
64839	Pork_intake
57507	Pork_intake
1879	Pork_intake
57451	Pork_intake
3274	Pork_intake
345456	Pork_intake
2161	Pork_intake
51000	Pork_intake
29777	Pork_intake
79692	Pork_intake
10279	Pork_intake
257202	Pork_intake
6892	Pork_intake
1616	Pork_intake
387357	Pork_intake
9031	Pork_intake
26608	Pork_intake
51085	Pork_intake
26024	Pork_intake
10898	Pork_intake
285989	Pork_intake
84124	Pork_intake
23660	Pork_intake
221786	Pork_intake
79027	Pork_intake
157570	Pork_intake
55872	Pork_intake
286133	Pork_intake
27319	Pork_intake
9420	Pork_intake
28957	Pork_intake
203062	Pork_intake
11168	Pork_intake
203238	Pork_intake
51271	Pork_intake
347240	Pork_intake
318	Pork_intake
84688	Pork_intake
203259	Pork_intake
27019	Pork_intake
6709	Pork_intake
389792	Pork_intake
