Gene	Disease
23261	Qualifications_A_levels_AS_levels_or_equivalent
473	Qualifications_A_levels_AS_levels_or_equivalent
26099	Qualifications_A_levels_AS_levels_or_equivalent
374955	Qualifications_A_levels_AS_levels_or_equivalent
163933	Qualifications_A_levels_AS_levels_or_equivalent
29092	Qualifications_A_levels_AS_levels_or_equivalent
54361	Qualifications_A_levels_AS_levels_or_equivalent
80818	Qualifications_A_levels_AS_levels_or_equivalent
2035	Qualifications_A_levels_AS_levels_or_equivalent
399474	Qualifications_A_levels_AS_levels_or_equivalent
6429	Qualifications_A_levels_AS_levels_or_equivalent
64129	Qualifications_A_levels_AS_levels_or_equivalent
3061	Qualifications_A_levels_AS_levels_or_equivalent
553115	Qualifications_A_levels_AS_levels_or_equivalent
1307	Qualifications_A_levels_AS_levels_or_equivalent
90853	Qualifications_A_levels_AS_levels_or_equivalent
57648	Qualifications_A_levels_AS_levels_or_equivalent
64766	Qualifications_A_levels_AS_levels_or_equivalent
79753	Qualifications_A_levels_AS_levels_or_equivalent
7802	Qualifications_A_levels_AS_levels_or_equivalent
29889	Qualifications_A_levels_AS_levels_or_equivalent
7075	Qualifications_A_levels_AS_levels_or_equivalent
991	Qualifications_A_levels_AS_levels_or_equivalent
112950	Qualifications_A_levels_AS_levels_or_equivalent
23334	Qualifications_A_levels_AS_levels_or_equivalent
81888	Qualifications_A_levels_AS_levels_or_equivalent
5792	Qualifications_A_levels_AS_levels_or_equivalent
9682	Qualifications_A_levels_AS_levels_or_equivalent
6487	Qualifications_A_levels_AS_levels_or_equivalent
9048	Qualifications_A_levels_AS_levels_or_equivalent
9670	Qualifications_A_levels_AS_levels_or_equivalent
1802	Qualifications_A_levels_AS_levels_or_equivalent
533	Qualifications_A_levels_AS_levels_or_equivalent
8704	Qualifications_A_levels_AS_levels_or_equivalent
149473	Qualifications_A_levels_AS_levels_or_equivalent
6536	Qualifications_A_levels_AS_levels_or_equivalent
55929	Qualifications_A_levels_AS_levels_or_equivalent
51361	Qualifications_A_levels_AS_levels_or_equivalent
84938	Qualifications_A_levels_AS_levels_or_equivalent
5142	Qualifications_A_levels_AS_levels_or_equivalent
5733	Qualifications_A_levels_AS_levels_or_equivalent
257194	Qualifications_A_levels_AS_levels_or_equivalent
127255	Qualifications_A_levels_AS_levels_or_equivalent
51086	Qualifications_A_levels_AS_levels_or_equivalent
343472	Qualifications_A_levels_AS_levels_or_equivalent
22823	Qualifications_A_levels_AS_levels_or_equivalent
50999	Qualifications_A_levels_AS_levels_or_equivalent
343099	Qualifications_A_levels_AS_levels_or_equivalent
1810	Qualifications_A_levels_AS_levels_or_equivalent
1806	Qualifications_A_levels_AS_levels_or_equivalent
400765	Qualifications_A_levels_AS_levels_or_equivalent
1301	Qualifications_A_levels_AS_levels_or_equivalent
55170	Qualifications_A_levels_AS_levels_or_equivalent
56900	Qualifications_A_levels_AS_levels_or_equivalent
127002	Qualifications_A_levels_AS_levels_or_equivalent
284613	Qualifications_A_levels_AS_levels_or_equivalent
57463	Qualifications_A_levels_AS_levels_or_equivalent
83873	Qualifications_A_levels_AS_levels_or_equivalent
388662	Qualifications_A_levels_AS_levels_or_equivalent
270	Qualifications_A_levels_AS_levels_or_equivalent
4893	Qualifications_A_levels_AS_levels_or_equivalent
7812	Qualifications_A_levels_AS_levels_or_equivalent
80143	Qualifications_A_levels_AS_levels_or_equivalent
3782	Qualifications_A_levels_AS_levels_or_equivalent
387597	Qualifications_A_levels_AS_levels_or_equivalent
27101	Qualifications_A_levels_AS_levels_or_equivalent
63931	Qualifications_A_levels_AS_levels_or_equivalent
9462	Qualifications_A_levels_AS_levels_or_equivalent
81494	Qualifications_A_levels_AS_levels_or_equivalent
2165	Qualifications_A_levels_AS_levels_or_equivalent
259266	Qualifications_A_levels_AS_levels_or_equivalent
360023	Qualifications_A_levels_AS_levels_or_equivalent
23418	Qualifications_A_levels_AS_levels_or_equivalent
