Gene	Disease
135	Rheumatoid_Arthritis
156	Rheumatoid_Arthritis
176	Rheumatoid_Arthritis
177	Rheumatoid_Arthritis
196	Rheumatoid_Arthritis
240	Rheumatoid_Arthritis
306	Rheumatoid_Arthritis
356	Rheumatoid_Arthritis
412	Rheumatoid_Arthritis
471	Rheumatoid_Arthritis
597	Rheumatoid_Arthritis
624	Rheumatoid_Arthritis
633	Rheumatoid_Arthritis
639	Rheumatoid_Arthritis
640	Rheumatoid_Arthritis
652	Rheumatoid_Arthritis
654	Rheumatoid_Arthritis
800	Rheumatoid_Arthritis
847	Rheumatoid_Arthritis
858	Rheumatoid_Arthritis
860	Rheumatoid_Arthritis
861	Rheumatoid_Arthritis
914	Rheumatoid_Arthritis
916	Rheumatoid_Arthritis
921	Rheumatoid_Arthritis
940	Rheumatoid_Arthritis
958	Rheumatoid_Arthritis
1021	Rheumatoid_Arthritis
1235	Rheumatoid_Arthritis
1244	Rheumatoid_Arthritis
1280	Rheumatoid_Arthritis
1356	Rheumatoid_Arthritis
1401	Rheumatoid_Arthritis
1404	Rheumatoid_Arthritis
1437	Rheumatoid_Arthritis
1490	Rheumatoid_Arthritis
1493	Rheumatoid_Arthritis
1509	Rheumatoid_Arthritis
1656	Rheumatoid_Arthritis
1687	Rheumatoid_Arthritis
1719	Rheumatoid_Arthritis
1776	Rheumatoid_Arthritis
1827	Rheumatoid_Arthritis
2023	Rheumatoid_Arthritis
2147	Rheumatoid_Arthritis
2212	Rheumatoid_Arthritis
2289	Rheumatoid_Arthritis
2356	Rheumatoid_Arthritis
2618	Rheumatoid_Arthritis
2625	Rheumatoid_Arthritis
2638	Rheumatoid_Arthritis
2870	Rheumatoid_Arthritis
2920	Rheumatoid_Arthritis
3059	Rheumatoid_Arthritis
3115	Rheumatoid_Arthritis
3118	Rheumatoid_Arthritis
3123	Rheumatoid_Arthritis
3236	Rheumatoid_Arthritis
3237	Rheumatoid_Arthritis
3239	Rheumatoid_Arthritis
3290	Rheumatoid_Arthritis
3394	Rheumatoid_Arthritis
3458	Rheumatoid_Arthritis
3486	Rheumatoid_Arthritis
3491	Rheumatoid_Arthritis
3516	Rheumatoid_Arthritis
3553	Rheumatoid_Arthritis
3557	Rheumatoid_Arthritis
3559	Rheumatoid_Arthritis
3560	Rheumatoid_Arthritis
3569	Rheumatoid_Arthritis
3570	Rheumatoid_Arthritis
3572	Rheumatoid_Arthritis
3576	Rheumatoid_Arthritis
3586	Rheumatoid_Arthritis
3606	Rheumatoid_Arthritis
3654	Rheumatoid_Arthritis
3655	Rheumatoid_Arthritis
3663	Rheumatoid_Arthritis
3798	Rheumatoid_Arthritis
3899	Rheumatoid_Arthritis
3934	Rheumatoid_Arthritis
4082	Rheumatoid_Arthritis
4218	Rheumatoid_Arthritis
4261	Rheumatoid_Arthritis
4282	Rheumatoid_Arthritis
4313	Rheumatoid_Arthritis
4319	Rheumatoid_Arthritis
4321	Rheumatoid_Arthritis
4353	Rheumatoid_Arthritis
4524	Rheumatoid_Arthritis
4688	Rheumatoid_Arthritis
4794	Rheumatoid_Arthritis
4795	Rheumatoid_Arthritis
4982	Rheumatoid_Arthritis
5243	Rheumatoid_Arthritis
5341	Rheumatoid_Arthritis
5444	Rheumatoid_Arthritis
5453	Rheumatoid_Arthritis
5588	Rheumatoid_Arthritis
5673	Rheumatoid_Arthritis
5742	Rheumatoid_Arthritis
5743	Rheumatoid_Arthritis
5747	Rheumatoid_Arthritis
5771	Rheumatoid_Arthritis
5788	Rheumatoid_Arthritis
5911	Rheumatoid_Arthritis
5966	Rheumatoid_Arthritis
6355	Rheumatoid_Arthritis
6366	Rheumatoid_Arthritis
6372	Rheumatoid_Arthritis
6556	Rheumatoid_Arthritis
6583	Rheumatoid_Arthritis
6611	Rheumatoid_Arthritis
6648	Rheumatoid_Arthritis
6772	Rheumatoid_Arthritis
6775	Rheumatoid_Arthritis
7090	Rheumatoid_Arthritis
7097	Rheumatoid_Arthritis
7112	Rheumatoid_Arthritis
7124	Rheumatoid_Arthritis
7127	Rheumatoid_Arthritis
7128	Rheumatoid_Arthritis
7185	Rheumatoid_Arthritis
7189	Rheumatoid_Arthritis
7297	Rheumatoid_Arthritis
7422	Rheumatoid_Arthritis
7852	Rheumatoid_Arthritis
7980	Rheumatoid_Arthritis
8013	Rheumatoid_Arthritis
8200	Rheumatoid_Arthritis
8604	Rheumatoid_Arthritis
8714	Rheumatoid_Arthritis
8740	Rheumatoid_Arthritis
8764	Rheumatoid_Arthritis
8836	Rheumatoid_Arthritis
9052	Rheumatoid_Arthritis
9308	Rheumatoid_Arthritis
9355	Rheumatoid_Arthritis
9370	Rheumatoid_Arthritis
9429	Rheumatoid_Arthritis
10057	Rheumatoid_Arthritis
10125	Rheumatoid_Arthritis
10257	Rheumatoid_Arthritis
10586	Rheumatoid_Arthritis
10628	Rheumatoid_Arthritis
10678	Rheumatoid_Arthritis
22806	Rheumatoid_Arthritis
23569	Rheumatoid_Arthritis
23643	Rheumatoid_Arthritis
26191	Rheumatoid_Arthritis
50943	Rheumatoid_Arthritis
51561	Rheumatoid_Arthritis
