Gene	Disease
339453	Salad_raw_vegetable_intake
29101	Salad_raw_vegetable_intake
6421	Salad_raw_vegetable_intake
9202	Salad_raw_vegetable_intake
79932	Salad_raw_vegetable_intake
23154	Salad_raw_vegetable_intake
339488	Salad_raw_vegetable_intake
127703	Salad_raw_vegetable_intake
63967	Salad_raw_vegetable_intake
192670	Salad_raw_vegetable_intake
26523	Salad_raw_vegetable_intake
192669	Salad_raw_vegetable_intake
257194	Salad_raw_vegetable_intake
343263	Salad_raw_vegetable_intake
6272	Salad_raw_vegetable_intake
5686	Salad_raw_vegetable_intake
284612	Salad_raw_vegetable_intake
127002	Salad_raw_vegetable_intake
284613	Salad_raw_vegetable_intake
440603	Salad_raw_vegetable_intake
10717	Salad_raw_vegetable_intake
10352	Salad_raw_vegetable_intake
51027	Salad_raw_vegetable_intake
9900	Salad_raw_vegetable_intake
10262	Salad_raw_vegetable_intake
10903	Salad_raw_vegetable_intake
57459	Salad_raw_vegetable_intake
6232	Salad_raw_vegetable_intake
7170	Salad_raw_vegetable_intake
388701	Salad_raw_vegetable_intake
25912	Salad_raw_vegetable_intake
9898	Salad_raw_vegetable_intake
10456	Salad_raw_vegetable_intake
9722	Salad_raw_vegetable_intake
2329	Salad_raw_vegetable_intake
54823	Salad_raw_vegetable_intake
10625	Salad_raw_vegetable_intake
100288079	Salad_raw_vegetable_intake
5287	Salad_raw_vegetable_intake
55526	Salad_raw_vegetable_intake
100302129	Salad_raw_vegetable_intake
387640	Salad_raw_vegetable_intake
8028	Salad_raw_vegetable_intake
64215	Salad_raw_vegetable_intake
288	Salad_raw_vegetable_intake
3363	Salad_raw_vegetable_intake
30819	Salad_raw_vegetable_intake
79803	Salad_raw_vegetable_intake
1586	Salad_raw_vegetable_intake
25921	Salad_raw_vegetable_intake
219541	Salad_raw_vegetable_intake
1500	Salad_raw_vegetable_intake
745	Salad_raw_vegetable_intake
9379	Salad_raw_vegetable_intake
402	Salad_raw_vegetable_intake
29907	Salad_raw_vegetable_intake
29901	Salad_raw_vegetable_intake
113130	Salad_raw_vegetable_intake
7542	Salad_raw_vegetable_intake
823	Salad_raw_vegetable_intake
9610	Salad_raw_vegetable_intake
25855	Salad_raw_vegetable_intake
266743	Salad_raw_vegetable_intake
65003	Salad_raw_vegetable_intake
89	Salad_raw_vegetable_intake
6712	Salad_raw_vegetable_intake
79703	Salad_raw_vegetable_intake
9986	Salad_raw_vegetable_intake
5091	Salad_raw_vegetable_intake
78999	Salad_raw_vegetable_intake
120892	Salad_raw_vegetable_intake
79962	Salad_raw_vegetable_intake
65244	Salad_raw_vegetable_intake
83729	Salad_raw_vegetable_intake
283446	Salad_raw_vegetable_intake
83892	Salad_raw_vegetable_intake
89910	Salad_raw_vegetable_intake
326625	Salad_raw_vegetable_intake
4598	Salad_raw_vegetable_intake
55269	Salad_raw_vegetable_intake
10810	Salad_raw_vegetable_intake
57511	Salad_raw_vegetable_intake
5925	Salad_raw_vegetable_intake
10161	Salad_raw_vegetable_intake
100129597	Salad_raw_vegetable_intake
5095	Salad_raw_vegetable_intake
79587	Salad_raw_vegetable_intake
390436	Salad_raw_vegetable_intake
390437	Salad_raw_vegetable_intake
145282	Salad_raw_vegetable_intake
3169	Salad_raw_vegetable_intake
113146	Salad_raw_vegetable_intake
6642	Salad_raw_vegetable_intake
9051	Salad_raw_vegetable_intake
10099	Salad_raw_vegetable_intake
727915	Salad_raw_vegetable_intake
51172	Salad_raw_vegetable_intake
146556	Salad_raw_vegetable_intake
55313	Salad_raw_vegetable_intake
9810	Salad_raw_vegetable_intake
23361	Salad_raw_vegetable_intake
9274	Salad_raw_vegetable_intake
1489	Salad_raw_vegetable_intake
283932	Salad_raw_vegetable_intake
54620	Salad_raw_vegetable_intake
93129	Salad_raw_vegetable_intake
9739	Salad_raw_vegetable_intake
80270	Salad_raw_vegetable_intake
112755	Salad_raw_vegetable_intake
6810	Salad_raw_vegetable_intake
79759	Salad_raw_vegetable_intake
