Gene	Disease
219293	Smoking_status_Never
55229	Smoking_status_Never
50651	Smoking_status_Never
473	Smoking_status_Never
127550	Smoking_status_Never
1912	Smoking_status_Never
10450	Smoking_status_Never
5792	Smoking_status_Never
9682	Smoking_status_Never
6487	Smoking_status_Never
9048	Smoking_status_Never
1802	Smoking_status_Never
8704	Smoking_status_Never
84871	Smoking_status_Never
1996	Smoking_status_Never
115209	Smoking_status_Never
51361	Smoking_status_Never
127795	Smoking_status_Never
5142	Smoking_status_Never
5733	Smoking_status_Never
257194	Smoking_status_Never
51086	Smoking_status_Never
343472	Smoking_status_Never
10451	Smoking_status_Never
85369	Smoking_status_Never
257	Smoking_status_Never
5906	Smoking_status_Never
260425	Smoking_status_Never
10745	Smoking_status_Never
54665	Smoking_status_Never
26191	Smoking_status_Never
440603	Smoking_status_Never
57459	Smoking_status_Never
6232	Smoking_status_Never
91181	Smoking_status_Never
7170	Smoking_status_Never
388701	Smoking_status_Never
25912	Smoking_status_Never
9898	Smoking_status_Never
10456	Smoking_status_Never
1141	Smoking_status_Never
103	Smoking_status_Never
1942	Smoking_status_Never
55974	Smoking_status_Never
54344	Smoking_status_Never
200185	Smoking_status_Never
80128	Smoking_status_Never
4582	Smoking_status_Never
7059	Smoking_status_Never
9722	Smoking_status_Never
2329	Smoking_status_Never
55157	Smoking_status_Never
60674	Smoking_status_Never
126859	Smoking_status_Never
777	Smoking_status_Never
255928	Smoking_status_Never
56256	Smoking_status_Never
5525	Smoking_status_Never
2104	Smoking_status_Never
375056	Smoking_status_Never
8476	Smoking_status_Never
57568	Smoking_status_Never
3775	Smoking_status_Never
6894	Smoking_status_Never
88	Smoking_status_Never
23596	Smoking_status_Never
1122	Smoking_status_Never
84288	Smoking_status_Never
403239	Smoking_status_Never
10771	Smoking_status_Never
23185	Smoking_status_Never
5214	Smoking_status_Never
10531	Smoking_status_Never
10659	Smoking_status_Never
222389	Smoking_status_Never
100302129	Smoking_status_Never
387640	Smoking_status_Never
8028	Smoking_status_Never
64215	Smoking_status_Never
221002	Smoking_status_Never
84159	Smoking_status_Never
170392	Smoking_status_Never
3778	Smoking_status_Never
8945	Smoking_status_Never
5309	Smoking_status_Never
8729	Smoking_status_Never
4791	Smoking_status_Never
5662	Smoking_status_Never
79176	Smoking_status_Never
79004	Smoking_status_Never
79946	Smoking_status_Never
10121	Smoking_status_Never
51684	Smoking_status_Never
81603	Smoking_status_Never
403	Smoking_status_Never
118980	Smoking_status_Never
54838	Smoking_status_Never
1586	Smoking_status_Never
57412	Smoking_status_Never
54805	Smoking_status_Never
22978	Smoking_status_Never
9118	Smoking_status_Never
84108	Smoking_status_Never
6877	Smoking_status_Never
22986	Smoking_status_Never
4892	Smoking_status_Never
840	Smoking_status_Never
387712	Smoking_status_Never
6571	Smoking_status_Never
118987	Smoking_status_Never
10935	Smoking_status_Never
340784	Smoking_status_Never
119587	Smoking_status_Never
390038	Smoking_status_Never
143503	Smoking_status_Never
81285	Smoking_status_Never
26496	Smoking_status_Never
4004	Smoking_status_Never
65975	Smoking_status_Never
9866	Smoking_status_Never
7003	Smoking_status_Never
6207	Smoking_status_Never
26822	Smoking_status_Never
5286	Smoking_status_Never
4925	Smoking_status_Never
374383	Smoking_status_Never
3767	Smoking_status_Never
55327	Smoking_status_Never
497258	Smoking_status_Never
627	Smoking_status_Never
341019	Smoking_status_Never
57689	Smoking_status_Never
90993	Smoking_status_Never
392	Smoking_status_Never
2346	Smoking_status_Never
81318	Smoking_status_Never
119749	Smoking_status_Never
79097	Smoking_status_Never
81327	Smoking_status_Never
219482	Smoking_status_Never
390195	Smoking_status_Never
219981	Smoking_status_Never
219982	Smoking_status_Never
219983	Smoking_status_Never
283234	Smoking_status_Never
8986	Smoking_status_Never
9379	Smoking_status_Never
254102	Smoking_status_Never
10089	Smoking_status_Never
4296	Smoking_status_Never
1521	Smoking_status_Never
9158	Smoking_status_Never
11007	Smoking_status_Never
8061	Smoking_status_Never
390212	Smoking_status_Never
57010	Smoking_status_Never
5031	Smoking_status_Never
60494	Smoking_status_Never
120114	Smoking_status_Never
4684	Smoking_status_Never
6653	Smoking_status_Never
414899	Smoking_status_Never
26497	Smoking_status_Never
26494	Smoking_status_Never
219865	Smoking_status_Never
4900	Smoking_status_Never
50863	Smoking_status_Never
4978	Smoking_status_Never
11228	Smoking_status_Never
196528	Smoking_status_Never
9169	Smoking_status_Never
5213	Smoking_status_Never
140461	Smoking_status_Never
121274	Smoking_status_Never
6334	Smoking_status_Never
6490	Smoking_status_Never
1017	Smoking_status_Never
5869	Smoking_status_Never
6821	Smoking_status_Never
64375	Smoking_status_Never
6231	Smoking_status_Never
2065	Smoking_status_Never
6171	Smoking_status_Never
3798	Smoking_status_Never
79837	Smoking_status_Never
196403	Smoking_status_Never
115557	Smoking_status_Never
3458	Smoking_status_Never
11052	Smoking_status_Never
