Gene	Disease
23261	Time_spent_watching_television_TV
11330	Time_spent_watching_television_TV
63036	Time_spent_watching_television_TV
79594	Time_spent_watching_television_TV
163933	Time_spent_watching_television_TV
8672	Time_spent_watching_television_TV
100302155	Time_spent_watching_television_TV
10250	Time_spent_watching_television_TV
64766	Time_spent_watching_television_TV
5792	Time_spent_watching_television_TV
9682	Time_spent_watching_television_TV
6487	Time_spent_watching_television_TV
9048	Time_spent_watching_television_TV
9670	Time_spent_watching_television_TV
1802	Time_spent_watching_television_TV
533	Time_spent_watching_television_TV
8704	Time_spent_watching_television_TV
149473	Time_spent_watching_television_TV
6536	Time_spent_watching_television_TV
619518	Time_spent_watching_television_TV
51361	Time_spent_watching_television_TV
1573	Time_spent_watching_television_TV
127795	Time_spent_watching_television_TV
84251	Time_spent_watching_television_TV
81573	Time_spent_watching_television_TV
9406	Time_spent_watching_television_TV
8790	Time_spent_watching_television_TV
51086	Time_spent_watching_television_TV
26289	Time_spent_watching_television_TV
79739	Time_spent_watching_television_TV
5567	Time_spent_watching_television_TV
343472	Time_spent_watching_television_TV
22823	Time_spent_watching_television_TV
50999	Time_spent_watching_television_TV
343099	Time_spent_watching_television_TV
1810	Time_spent_watching_television_TV
54874	Time_spent_watching_television_TV
1806	Time_spent_watching_television_TV
400765	Time_spent_watching_television_TV
54112	Time_spent_watching_television_TV
7412	Time_spent_watching_television_TV
55170	Time_spent_watching_television_TV
343263	Time_spent_watching_television_TV
6272	Time_spent_watching_television_TV
5686	Time_spent_watching_television_TV
284612	Time_spent_watching_television_TV
127002	Time_spent_watching_television_TV
284613	Time_spent_watching_television_TV
57463	Time_spent_watching_television_TV
3752	Time_spent_watching_television_TV
81839	Time_spent_watching_television_TV
2330	Time_spent_watching_television_TV
81611	Time_spent_watching_television_TV
9129	Time_spent_watching_television_TV
23248	Time_spent_watching_television_TV
80222	Time_spent_watching_television_TV
1893	Time_spent_watching_television_TV
57459	Time_spent_watching_television_TV
9909	Time_spent_watching_television_TV
200186	Time_spent_watching_television_TV
27173	Time_spent_watching_television_TV
148327	Time_spent_watching_television_TV
10899	Time_spent_watching_television_TV
5872	Time_spent_watching_television_TV
6232	Time_spent_watching_television_TV
91181	Time_spent_watching_television_TV
7170	Time_spent_watching_television_TV
388701	Time_spent_watching_television_TV
25912	Time_spent_watching_television_TV
9898	Time_spent_watching_television_TV
6746	Time_spent_watching_television_TV
56893	Time_spent_watching_television_TV
92312	Time_spent_watching_television_TV
23215	Time_spent_watching_television_TV
4653	Time_spent_watching_television_TV
5279	Time_spent_watching_television_TV
63931	Time_spent_watching_television_TV
100302401	Time_spent_watching_television_TV
80267	Time_spent_watching_television_TV
10625	Time_spent_watching_television_TV
100288079	Time_spent_watching_television_TV
23046	Time_spent_watching_television_TV
55705	Time_spent_watching_television_TV
149345	Time_spent_watching_television_TV
5362	Time_spent_watching_television_TV
57172	Time_spent_watching_television_TV
3756	Time_spent_watching_television_TV
440730	Time_spent_watching_television_TV
6000	Time_spent_watching_television_TV
10806	Time_spent_watching_television_TV
10000	Time_spent_watching_television_TV
10659	Time_spent_watching_television_TV
783	Time_spent_watching_television_TV
10529	Time_spent_watching_television_TV
100302129	Time_spent_watching_television_TV
387640	Time_spent_watching_television_TV
8028	Time_spent_watching_television_TV
64215	Time_spent_watching_television_TV
56243	Time_spent_watching_television_TV
4143	Time_spent_watching_television_TV
143241	Time_spent_watching_television_TV
84332	Time_spent_watching_television_TV
84986	Time_spent_watching_television_TV
10023	Time_spent_watching_television_TV
23401	Time_spent_watching_television_TV
84545	Time_spent_watching_television_TV
57715	Time_spent_watching_television_TV
84445	Time_spent_watching_television_TV
8945	Time_spent_watching_television_TV
25911	Time_spent_watching_television_TV
27343	Time_spent_watching_television_TV
6468	Time_spent_watching_television_TV
10360	Time_spent_watching_television_TV
30819	Time_spent_watching_television_TV
79803	Time_spent_watching_television_TV
57700	Time_spent_watching_television_TV
142940	Time_spent_watching_television_TV
119587	Time_spent_watching_television_TV
9679	Time_spent_watching_television_TV
54764	Time_spent_watching_television_TV
1488	Time_spent_watching_television_TV
92565	Time_spent_watching_television_TV
8038	Time_spent_watching_television_TV
55844	Time_spent_watching_television_TV
57084	Time_spent_watching_television_TV
1479	Time_spent_watching_television_TV
10114	Time_spent_watching_television_TV
26273	Time_spent_watching_television_TV
390181	Time_spent_watching_television_TV
187	Time_spent_watching_television_TV
23193	Time_spent_watching_television_TV
4221	Time_spent_watching_television_TV
57410	Time_spent_watching_television_TV
4054	Time_spent_watching_television_TV
5017	Time_spent_watching_television_TV
1072	Time_spent_watching_television_TV
254122	Time_spent_watching_television_TV
80198	Time_spent_watching_television_TV
30008	Time_spent_watching_television_TV
1521	Time_spent_watching_television_TV
9158	Time_spent_watching_television_TV
11007	Time_spent_watching_television_TV
8061	Time_spent_watching_television_TV
83638	Time_spent_watching_television_TV
1474	Time_spent_watching_television_TV
117144	Time_spent_watching_television_TV
55690	Time_spent_watching_television_TV
64837	Time_spent_watching_television_TV
81876	Time_spent_watching_television_TV
254263	Time_spent_watching_television_TV
10897	Time_spent_watching_television_TV
256472	Time_spent_watching_television_TV
57124	Time_spent_watching_television_TV
9610	Time_spent_watching_television_TV
25855	Time_spent_watching_television_TV
3177	Time_spent_watching_television_TV
6712	Time_spent_watching_television_TV
9986	Time_spent_watching_television_TV
245911	Time_spent_watching_television_TV
26973	Time_spent_watching_television_TV
120114	Time_spent_watching_television_TV
143686	Time_spent_watching_television_TV
143684	Time_spent_watching_television_TV
9702	Time_spent_watching_television_TV
8898	Time_spent_watching_television_TV
143884	Time_spent_watching_television_TV
54733	Time_spent_watching_television_TV
2230	Time_spent_watching_television_TV
1410	Time_spent_watching_television_TV
3316	Time_spent_watching_television_TV
91894	Time_spent_watching_television_TV
85458	Time_spent_watching_television_TV
6392	Time_spent_watching_television_TV
80975	Time_spent_watching_television_TV
9183	Time_spent_watching_television_TV
644672	Time_spent_watching_television_TV
57453	Time_spent_watching_television_TV
50863	Time_spent_watching_television_TV
4978	Time_spent_watching_television_TV
283358	Time_spent_watching_television_TV
8079	Time_spent_watching_television_TV
55885	Time_spent_watching_television_TV
6660	Time_spent_watching_television_TV
65981	Time_spent_watching_television_TV
55716	Time_spent_watching_television_TV
65244	Time_spent_watching_television_TV
1606	Time_spent_watching_television_TV
6490	Time_spent_watching_television_TV
1017	Time_spent_watching_television_TV
5869	Time_spent_watching_television_TV
6821	Time_spent_watching_television_TV
64375	Time_spent_watching_television_TV
