Gene	Disease
3925	Tobacco_smoking_Ex_smoker
5142	Tobacco_smoking_Ex_smoker
257194	Tobacco_smoking_Ex_smoker
5567	Tobacco_smoking_Ex_smoker
81448	Tobacco_smoking_Ex_smoker
8028	Tobacco_smoking_Ex_smoker
64215	Tobacco_smoking_Ex_smoker
90550	Tobacco_smoking_Ex_smoker
1586	Tobacco_smoking_Ex_smoker
57412	Tobacco_smoking_Ex_smoker
54805	Tobacco_smoking_Ex_smoker
22978	Tobacco_smoking_Ex_smoker
340784	Tobacco_smoking_Ex_smoker
4004	Tobacco_smoking_Ex_smoker
9866	Tobacco_smoking_Ex_smoker
399939	Tobacco_smoking_Ex_smoker
4684	Tobacco_smoking_Ex_smoker
83461	Tobacco_smoking_Ex_smoker
8078	Tobacco_smoking_Ex_smoker
7167	Tobacco_smoking_Ex_smoker
84727	Tobacco_smoking_Ex_smoker
55500	Tobacco_smoking_Ex_smoker
79035	Tobacco_smoking_Ex_smoker
283375	Tobacco_smoking_Ex_smoker
283373	Tobacco_smoking_Ex_smoker
93058	Tobacco_smoking_Ex_smoker
1431	Tobacco_smoking_Ex_smoker
10330	Tobacco_smoking_Ex_smoker
9924	Tobacco_smoking_Ex_smoker
51561	Tobacco_smoking_Ex_smoker
6773	Tobacco_smoking_Ex_smoker
319	Tobacco_smoking_Ex_smoker
121551	Tobacco_smoking_Ex_smoker
10961	Tobacco_smoking_Ex_smoker
80018	Tobacco_smoking_Ex_smoker
10906	Tobacco_smoking_Ex_smoker
283450	Tobacco_smoking_Ex_smoker
5781	Tobacco_smoking_Ex_smoker
11021	Tobacco_smoking_Ex_smoker
5319	Tobacco_smoking_Ex_smoker
4440	Tobacco_smoking_Ex_smoker
81693	Tobacco_smoking_Ex_smoker
115509	Tobacco_smoking_Ex_smoker
8735	Tobacco_smoking_Ex_smoker
57332	Tobacco_smoking_Ex_smoker
5831	Tobacco_smoking_Ex_smoker
255275	Tobacco_smoking_Ex_smoker
147111	Tobacco_smoking_Ex_smoker
5300	Tobacco_smoking_Ex_smoker
284406	Tobacco_smoking_Ex_smoker
57573	Tobacco_smoking_Ex_smoker
140612	Tobacco_smoking_Ex_smoker
9687	Tobacco_smoking_Ex_smoker
1653	Tobacco_smoking_Ex_smoker
3344	Tobacco_smoking_Ex_smoker
129285	Tobacco_smoking_Ex_smoker
11037	Tobacco_smoking_Ex_smoker
98	Tobacco_smoking_Ex_smoker
50649	Tobacco_smoking_Ex_smoker
375287	Tobacco_smoking_Ex_smoker
9111	Tobacco_smoking_Ex_smoker
57405	Tobacco_smoking_Ex_smoker
150082	Tobacco_smoking_Ex_smoker
28512	Tobacco_smoking_Ex_smoker
5627	Tobacco_smoking_Ex_smoker
200894	Tobacco_smoking_Ex_smoker
415117	Tobacco_smoking_Ex_smoker
63899	Tobacco_smoking_Ex_smoker
51146	Tobacco_smoking_Ex_smoker
84107	Tobacco_smoking_Ex_smoker
7545	Tobacco_smoking_Ex_smoker
1161	Tobacco_smoking_Ex_smoker
91942	Tobacco_smoking_Ex_smoker
643155	Tobacco_smoking_Ex_smoker
345757	Tobacco_smoking_Ex_smoker
57451	Tobacco_smoking_Ex_smoker
171558	Tobacco_smoking_Ex_smoker
5980	Tobacco_smoking_Ex_smoker
10758	Tobacco_smoking_Ex_smoker
7791	Tobacco_smoking_Ex_smoker
665	Tobacco_smoking_Ex_smoker
1808	Tobacco_smoking_Ex_smoker
2053	Tobacco_smoking_Ex_smoker
1191	Tobacco_smoking_Ex_smoker
115111	Tobacco_smoking_Ex_smoker
4062	Tobacco_smoking_Ex_smoker
50626	Tobacco_smoking_Ex_smoker
90990	Tobacco_smoking_Ex_smoker
8928	Tobacco_smoking_Ex_smoker
340485	Tobacco_smoking_Ex_smoker
445577	Tobacco_smoking_Ex_smoker
